"Period","Fed Gov Interest Expense","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Fed Gov Interest Expense to GDP","Mean_of_Ratio"
"Q3 1994",10544,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,800784,NA,0.00550875791651804
"Q4 1994",10678,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,810788,NA,0.00550875791651804
"Q1 1995",11130,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,823972,NA,0.00550875791651804
"Q2 1995",11783,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,828856,NA,0.00550875791651804
"Q3 1995",11894,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,832976,NA,0.00550875791651804
"Q4 1995",11772,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,840680,NA,0.00550875791651804
"Q1 1996",11601,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,844208,NA,0.00550875791651804
"Q2 1996",11548,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,852904,NA,0.00550875791651804
"Q3 1996",11404,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,864544,NA,0.00550875791651804
"Q4 1996",11114,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,877680,NA,0.00550875791651804
"Q1 1997",10996,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,891748,NA,0.00550875791651804
"Q2 1997",10930,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,899412,NA,0.00550875791651804
"Q3 1997",11011,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,912564,NA,0.00550875791651804
"Q4 1997",10798,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,923980,NA,0.00550875791651804
"Q1 1998",10828,-1.52782830120044,-2.27635497917352,11306.5833333333,-478.583333333334,-314.643939393939,10621.28125,206.71875,-849.249289772727,934612,0.0115855563592164,0.00550875791651804
"Q2 1998",11324,3.60475754803294,-2.27635497917352,11268.3333333333,55.6666666666661,-314.643939393939,10648.28125,675.71875,-849.249289772727,935212,0.0121084844933555,0.00550875791651804
"Q3 1998",10733,-2.52474797929343,-2.27635497917352,11171.5833333333,-438.583333333334,-314.643939393939,10647.90625,85.09375,-849.249289772727,938872,0.0114318032703073,0.00550875791651804
"Q4 1998",11365,5.25097240229672,-2.27635497917352,11137.6666666667,227.333333333334,-314.643939393939,10664.125,700.875,-849.249289772727,953496,0.0119192948895433,0.00550875791651804
"Q1 1999",10775,-0.489471739933506,-2.27635497917352,11068.8333333333,-293.833333333334,-314.643939393939,10664.75,110.25,-849.249289772727,975240,0.0110485624051516,0.00550875791651804
"Q2 1999",11220,-0.918403391027905,-2.27635497917352,11041.5,178.5,-314.643939393939,10688.625,531.375,-849.249289772727,994172,0.0112857734878874,0.00550875791651804
"Q3 1999",10964,2.15224075281841,-2.27635497917352,11004.8333333333,-40.8333333333339,-314.643939393939,10707.9375,256.0625,-849.249289772727,1021308,0.0107352532242967,0.00550875791651804
"Q4 1999",11069,-2.60448746150462,-2.27635497917352,11001.0833333333,67.9166666666661,-314.643939393939,10749.03125,319.96875,-849.249289772727,1040988,0.0106331677214339,0.00550875791651804
"Q1 2000",11120,3.20185614849188,-2.27635497917352,11011.4166666667,108.583333333334,-314.643939393939,10757.28125,362.71875,-849.249289772727,1070188,0.0103906977091875,0.00550875791651804
"Q2 2000",11093,-1.1319073083779,-2.27635497917352,11025,68,-314.643939393939,10796.375,296.625,-849.249289772727,1099448,0.0100896086035902,0.00550875791651804
"Q3 2000",11376,3.75775264502007,-2.27635497917352,11055.4166666667,320.583333333334,-314.643939393939,10849.78125,526.21875,-849.249289772727,1121768,0.0101411343522012,0.00550875791651804
"Q4 2000",12037,8.74514409612431,-2.27635497917352,11158.6666666667,878.333333333334,-314.643939393939,10931.21875,1105.78125,-849.249289772727,1132880,0.0106251324059035,0.00550875791651804
"Q1 2001",11200,0.719424460431655,-2.27635497917352,11189.6666666667,10.3333333333339,-314.643939393939,10966.3125,233.6875,-849.249289772727,1149924,0.00973977410681054,0.00550875791651804
"Q2 2001",10478,-5.54403677995132,-2.27635497917352,11119.1666666667,-641.166666666666,-314.643939393939,11005.625,-527.625,-849.249289772727,1152860,0.00908870114324376,0.00550875791651804
"Q3 2001",10418,-8.42123769338959,-2.27635497917352,11092.9166666667,-674.916666666666,-314.643939393939,11005.25,-587.25,-849.249289772727,1138804,0.00914819407027021,0.00550875791651804
"Q4 2001",10076,-16.2914347428761,-2.27635497917352,10985.5,-909.5,-314.643939393939,11015.0625,-939.0625,-849.249289772727,1136584,0.00886516086800448,0.00550875791651804
"Q1 2002",9488,-15.2857142857143,-2.27635497917352,10878.25,-1390.25,-314.643939393939,11019.96875,-1531.96875,-849.249289772727,1158640,0.00818891113719533,0.00550875791651804
"Q2 2002",9256,-11.6625310173697,-2.27635497917352,10714.5833333333,-1458.58333333333,-314.643939393939,11000.71875,-1744.71875,-849.249289772727,1185892,0.00780509523632843,0.00550875791651804
"Q3 2002",9168,-11.9984641965828,-2.27635497917352,10564.9166666667,-1396.91666666667,-314.643939393939,10957.71875,-1789.71875,-849.249289772727,1204144,0.0076137073306847,0.00550875791651804
"Q4 2002",9196,-8.73362445414847,-2.27635497917352,10408.8333333333,-1212.83333333333,-314.643939393939,10911.40625,-1715.40625,-849.249289772727,1226100,0.00750020389854009,0.00550875791651804
"Q1 2003",9183,-3.214586846543,-2.27635497917352,10247.4166666667,-1064.41666666667,-314.643939393939,10850.5625,-1667.5625,-849.249289772727,1250088,0.00734588284984737,0.00550875791651804
"Q2 2003",8627,-6.79559204840104,-2.27635497917352,10041.9166666667,-1414.91666666667,-314.643939393939,10751.9375,-2124.9375,-849.249289772727,1237720,0.00697007400704521,0.00550875791651804
"Q3 2003",8963,-2.23603839441536,-2.27635497917352,9840.83333333333,-877.833333333334,-314.643939393939,10660.34375,-1697.34375,-849.249289772727,1258296,0.0071231252423913,0.00550875791651804
"Q4 2003",8754,-4.8064375815572,-2.27635497917352,9567.25,-813.25,-314.643939393939,10566.03125,-1812.03125,-849.249289772727,1272884,0.00687729596726803,0.00550875791651804
"Q1 2004",8735,-4.87857998475444,-2.27635497917352,9361.83333333333,-626.833333333334,-314.643939393939,10476.46875,-1741.46875,-849.249289772727,1296216,0.00673884599480334,0.00550875791651804
"Q2 2004",8482,-1.68076967659673,-2.27635497917352,9195.5,-713.5,-314.643939393939,10380.65625,-1898.65625,-849.249289772727,1328148,0.00638633646250267,0.00550875791651804
"Q3 2004",8463,-5.57848934508535,-2.27635497917352,9032.58333333333,-569.583333333334,-314.643939393939,10288.75,-1825.75,-849.249289772727,1351480,0.00626202385532897,0.00550875791651804
"Q4 2004",8128,-7.15101667809002,-2.27635497917352,8870.25,-742.25,-314.643939393939,10195.4375,-2067.4375,-849.249289772727,1367080,0.00594551891623021,0.00550875791651804
"Q1 2005",8077,-7.53291356611334,-2.27635497917352,8752.66666666667,-675.666666666666,-314.643939393939,10104.21875,-2027.21875,-849.249289772727,1380324,0.00585152471448732,0.00550875791651804
"Q2 2005",8134,-4.10280594199481,-2.27635497917352,8659.16666666667,-525.166666666666,-314.643939393939,10016.84375,-1882.84375,-849.249289772727,1399608,0.00581162725563158,0.00550875791651804
"Q3 2005",8159,-3.59210681791327,-2.27635497917352,8575.08333333333,-416.083333333334,-314.643939393939,9927.71875,-1768.71875,-849.249289772727,1436992,0.00567783258361912,0.00550875791651804
"Q4 2005",8097,-0.381397637795276,-2.27635497917352,8483.5,-386.5,-314.643939393939,9843.3125,-1746.3125,-849.249289772727,1469436,0.00551027741255829,0.00550875791651804
"Q1 2006",8100,0.284759192769593,-2.27635497917352,8393.25,-293.25,-314.643939393939,9758.0625,-1658.0625,-849.249289772727,1476000,0.00548780487804878,0.00550875791651804
"Q2 2006",8210,0.934349643471847,-2.27635497917352,8358.5,-148.5,-314.643939393939,9660.75,-1450.75,-849.249289772727,1490716,0.00550742059520392,0.00550875791651804
"Q3 2006",8218,0.723127834293418,-2.27635497917352,8296.41666666667,-78.4166666666661,-314.643939393939,9582.15625,-1364.15625,-849.249289772727,1504936,0.00546069733197957,0.00550875791651804
"Q4 2006",8001,-1.18562430529826,-2.27635497917352,8233.66666666667,-232.666666666666,-314.643939393939,9477.03125,-1476.03125,-849.249289772727,1514764,0.00528201092711472,0.00550875791651804
"Q1 2007",8073,-0.333333333333333,-2.27635497917352,8178.5,-105.5,-314.643939393939,9392.59375,-1319.59375,-849.249289772727,1547276,0.00521755653160781,0.00550875791651804
"Q2 2007",8187,-0.280146163215591,-2.27635497917352,8153.91666666667,33.083333333333,-314.643939393939,9297.8125,-1110.8125,-849.249289772727,1576612,0.00519278046849827,0.00550875791651804
"Q3 2007",8046,-2.09296665855439,-2.27635497917352,8119.16666666667,-73.166666666667,-314.643939393939,9206.625,-1160.625,-849.249289772727,1582248,0.00508516996071412,0.00550875791651804
"Q4 2007",7626,-4.68691413573303,-2.27635497917352,8077.33333333333,-451.333333333333,-314.643939393939,9099.03125,-1473.03125,-849.249289772727,1604508,0.00475285882027388,0.00550875791651804
"Q1 2008",7760,-3.87712126842562,-2.27635497917352,8050.91666666667,-290.916666666667,-314.643939393939,8994.03125,-1234.03125,-849.249289772727,1637296,0.00473952174805289,0.00550875791651804
"Q2 2008",7873,-3.83534872358617,-2.27635497917352,8029.16666666667,-156.166666666667,-314.643939393939,8893.40625,-1020.40625,-849.249289772727,1677448,0.00469343908127107,0.00550875791651804
"Q3 2008",7918,-1.59085259756401,-2.27635497917352,8009.08333333333,-91.083333333333,-314.643939393939,8785.34375,-867.34375,-849.249289772727,1694512,0.00467273173633471,0.00550875791651804
"Q4 2008",7094,-6.97613427747181,-2.27635497917352,7925.5,-831.5,-314.643939393939,8630.875,-1536.875,-849.249289772727,1618908,0.0043819661154309,0.00550875791651804
"Q1 2009",6862,-11.5721649484536,-2.27635497917352,7822.33333333333,-960.333333333333,-314.643939393939,8495.3125,-1633.3125,-849.249289772727,1557232,0.00440653672670482,0.00550875791651804
"Q2 2009",7208,-8.4465896100597,-2.27635497917352,7738.83333333333,-530.833333333333,-314.643939393939,8393.125,-1185.125,-849.249289772727,1548488,0.00465486332474,0.00550875791651804
"Q3 2009",6936,-12.4021217479161,-2.27635497917352,7632,-696,-314.643939393939,8284.3125,-1348.3125,-849.249289772727,1567924,0.00442368380100056,0.00550875791651804
"Q4 2009",6697,-5.59627854524951,-2.27635497917352,7523.33333333333,-826.333333333333,-314.643939393939,8178.71875,-1481.71875,-849.249289772727,1611692,0.0041552604343758,0.00550875791651804
"Q1 2010",6818,-0.641212474497231,-2.27635497917352,7418.75,-600.75,-314.643939393939,8095.28125,-1277.28125,-849.249289772727,1644032,0.00414712122391778,0.00550875791651804
"Q2 2010",7109,-1.37347391786903,-2.27635497917352,7328.91666666667,-219.916666666667,-314.643939393939,8028.1875,-919.1875,-849.249289772727,1653240,0.00430004113135419,0.00550875791651804
"Q3 2010",7147,3.04209919261822,-2.27635497917352,7254,-107,-314.643939393939,7965.03125,-818.03125,-849.249289772727,1665372,0.00429153366334969,0.00550875791651804
"Q4 2010",7198,7.48096162460803,-2.27635497917352,7218.33333333333,-20.333333333333,-314.643939393939,7902.59375,-704.59375,-849.249289772727,1701548,0.00423026561695585,0.00550875791651804
"Q1 2011",7080,3.84276914051041,-2.27635497917352,7161.66666666667,-81.666666666667,-314.643939393939,7836.875,-756.875,-849.249289772727,1737952,0.00407376038003351,0.00550875791651804
"Q2 2011",7671,7.90547193698129,-2.27635497917352,7144.83333333333,526.166666666667,-314.643939393939,7807,-136,-849.249289772727,1759852,0.00435888927023409,0.00550875791651804
"Q3 2011",6993,-2.15475024485798,-2.27635497917352,7067.75,-74.75,-314.643939393939,7745.4375,-752.4375,-849.249289772727,1785748,0.00391600606580548,0.00550875791651804
"Q4 2011",7112,-1.19477632675743,-2.27635497917352,7069.25,42.75,-314.643939393939,7694.125,-582.125,-849.249289772727,1812700,0.00392342913885364,0.00550875791651804
"Q1 2012",6762,-4.49152542372881,-2.27635497917352,7060.91666666667,-298.916666666667,-314.643939393939,7632.46875,-870.46875,-849.249289772727,1815120,0.00372537352902287,0.00550875791651804
"Q2 2012",7227,-5.78803285099726,-2.27635497917352,7062.5,164.5,-314.643939393939,7593.25,-366.25,-849.249289772727,1818984,0.0039730970695729,0.00550875791651804
"Q3 2012",6385,-8.6944086944087,-2.27635497917352,7016.58333333333,-631.583333333333,-314.643939393939,7528.3125,-1143.3125,-849.249289772727,1830636,0.00348785886435097,0.00550875791651804
"Q4 2012",6933,-2.51687289088864,-2.27635497917352,7036.25,-103.25,-314.643939393939,7490.96875,-557.96875,-849.249289772727,1844064,0.00375963090218127,0.00550875791651804
"Q1 2013",6732,-0.443655723158829,-2.27635497917352,7029.08333333333,-297.083333333333,-314.643939393939,7448.9375,-716.9375,-849.249289772727,1876844,0.00358687243052699,0.00550875791651804
"Q2 2013",7135,-1.27300401273004,-2.27635497917352,7031.25,103.75,-314.643939393939,7417.71875,-282.71875,-849.249289772727,1886592,0.00378195179455865,0.00550875791651804
"Q3 2013",6904,8.12842599843383,-2.27635497917352,7011,-107,-314.643939393939,7378.5,-474.5,-849.249289772727,1912428,0.00361007054906119,0.00550875791651804
"Q4 2013",6488,-6.41857781624117,-2.27635497917352,6951.83333333333,-463.833333333333,-314.643939393939,7328.21875,-840.21875,-849.249289772727,1933124,0.00335622546717127,0.00550875791651804
"Q1 2014",5663,-15.8793820558526,-2.27635497917352,6833.75,-1170.75,-314.643939393939,7252.0625,-1589.0625,-849.249289772727,1963452,0.00288420598007998,0.00550875791651804
"Q2 2014",7226,1.27540294323756,-2.27635497917352,6796.66666666667,429.333333333333,-314.643939393939,7221.3125,4.6875,-849.249289772727,1988404,0.00363407033983034,0.00550875791651804
"Q3 2014",6198,-10.225955967555,-2.27635497917352,6730.41666666667,-532.416666666667,-314.643939393939,7158.1875,-960.1875,-849.249289772727,2013792,0.00307777565905516,0.00550875791651804
"Q4 2014",6095,-6.05733662145499,-2.27635497917352,6645.66666666667,-550.666666666667,-314.643939393939,7098.625,-1003.625,-849.249289772727,2013944,0.00302639993962096,0.00550875791651804
"Q1 2015",5216,-7.89334275119195,-2.27635497917352,6516.83333333333,-1300.83333333333,-314.643939393939,7009.34375,-1793.34375,-849.249289772727,1984300,0.00262863478304692,0.00550875791651804
"Q2 2015",6469,-10.4760586769997,-2.27635497917352,6453.66666666667,15.333333333333,-314.643939393939,6955.65625,-486.65625,-849.249289772727,1984920,0.00325907341353808,0.00550875791651804
"Q3 2015",6536,5.45337205550177,-2.27635497917352,6466.25,69.75,-314.643939393939,6908.46875,-372.46875,-849.249289772727,2000864,0.00326658883362387,0.00550875791651804
"Q4 2015",5560,-8.77768662838392,-2.27635497917352,6351.83333333333,-791.833333333333,-314.643939393939,6843.90625,-1283.90625,-849.249289772727,1991680,0.00279161311053985,0.00550875791651804
"Q1 2016",5333,2.2430981595092,-2.27635497917352,6235.25,-902.25,-314.643939393939,6768.0625,-1435.0625,-849.249289772727,1998420,0.00266860820047838,0.00550875791651804
"Q2 2016",6017,-6.98716957798732,-2.27635497917352,6142.08333333333,-125.083333333333,-314.643939393939,6710.0625,-693.0625,-849.249289772727,2002152,0.00300526633342523,0.00550875791651804
"Q3 2016",5587,-14.5195838433293,-2.27635497917352,6032.33333333333,-445.333333333333,-314.643939393939,6637.21875,-1050.21875,-849.249289772727,2035420,0.00274488803293669,0.00550875791651804
"Q4 2016",5493,-1.20503597122302,-2.27635497917352,5949.41666666667,-456.416666666667,-314.643939393939,6587.1875,-1094.1875,-849.249289772727,2066148,0.00265857044122686,0.00550875791651804
"Q1 2017",5466,2.49390586911682,-2.27635497917352,5933,-467,-314.643939393939,6543.5625,-1077.5625,-849.249289772727,2107708,0.00259333835616698,0.00550875791651804
"Q2 2017",5674,-5.70051520691374,-2.27635497917352,5803.66666666667,-129.666666666667,-314.643939393939,6495.625,-821.625,-849.249289772727,2130892,0.00266273466698453,0.00550875791651804
"Q3 2017",5172,-7.42795775908359,-2.27635497917352,5718.16666666667,-546.166666666667,-314.643939393939,6440.5,-1268.5,-849.249289772727,2143864,0.00241246646242486,0.00550875791651804
"Q4 2017",5562,1.25614418350628,-2.27635497917352,5673.75,-111.75,-314.643939393939,6405.03125,-843.03125,-849.249289772727,2181964,0.00254907963651096,0.00550875791651804
"Q1 2018",5976,9.33040614709111,-2.27635497917352,5737.08333333333,238.916666666667,-314.643939393939,6378.71875,-402.71875,-849.249289772727,2202260,0.0027135760536903,0.00550875791651804
"Q2 2018",6350,11.9139936552697,-2.27635497917352,5727.16666666667,622.833333333333,-314.643939393939,6355,-5,-849.249289772727,2219616,0.00286085521099145,0.00550875791651804
"Q3 2018",6153,18.9675174013921,-2.27635497917352,5695.25,457.75,-314.643939393939,6323.9375,-170.9375,-849.249289772727,2244092,0.00274186619799901,0.00550875791651804
"Q4 2018",5721,2.85868392664509,-2.27635497917352,5708.66666666667,12.333333333333,-314.643939393939,6277.78125,-556.78125,-849.249289772727,2229456,0.00256609684156135,0.00550875791651804
"Q1 2019",6009,0.552208835341365,-2.27635497917352,5765,244,-314.643939393939,6244.3125,-235.3125,-849.249289772727,2260360,0.00265842609141907,0.00550875791651804
"Q2 2019",7009,10.3779527559055,-2.27635497917352,5847.66666666667,1161.33333333333,-314.643939393939,6223.625,785.375,-849.249289772727,2305088,0.00304066482494378,0.00550875791651804
"Q3 2019",6362,3.39671704859418,-2.27635497917352,5912.25,449.75,-314.643939393939,6203.90625,158.09375,-849.249289772727,2312284,0.00275139213003247,0.00550875791651804
"Q4 2019",5829,1.88778185631883,-2.27635497917352,5940.25,-111.25,-314.643939393939,6163.8125,-334.8125,-849.249289772727,2337684,0.00249349356029301,0.00550875791651804
