"Period","Inward FPI - Bonds","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Bonds to GDP","Mean_of_Ratio"
"Q2 2006",393738,-11.7402989825448,6.42163329718335,429856.333333333,-36118.3333333333,65156.8399621212,429728.0625,-35990.0625,167023.789772727,1490716,0.264126768613203,0.424167754099787
"Q3 2006",407733,-3.74597793678485,6.42163329718335,427300.416666667,-19567.4166666667,65156.8399621212,428892.09375,-21159.09375,167023.789772727,1504936,0.270930458172308,0.424167754099787
"Q4 2006",434083,4.43097205682461,6.42163329718335,427290.083333333,6792.91666666669,65156.8399621212,428464.71875,5618.28125,167023.789772727,1514764,0.286568072650261,0.424167754099787
"Q1 2007",434212,5.78667836086342,6.42163329718335,426054.25,8157.75,65156.8399621212,428618.28125,5593.71875,167023.789772727,1547276,0.280629958714541,0.424167754099787
"Q2 2007",403015,2.35613529809162,6.42163329718335,422981,-19966,65156.8399621212,428276.53125,-25261.53125,167023.789772727,1576612,0.255620913706099,0.424167754099787
"Q3 2007",394304,-3.29357692411456,6.42163329718335,419289.916666667,-24985.9166666667,65156.8399621212,427582.625,-33278.625,167023.789772727,1582248,0.249204928683746,0.424167754099787
"Q4 2007",403976,-6.93577034806707,6.42163329718335,416796.75,-12820.75,65156.8399621212,427463.03125,-23487.03125,167023.789772727,1604508,0.251775622184495,0.424167754099787
"Q1 2008",435890,0.3864471732702,6.42163329718335,416899.166666667,18990.8333333333,65156.8399621212,428667.0625,7222.9375,167023.789772727,1637296,0.266225532829739,0.424167754099787
"Q2 2008",446743,10.8502164931826,6.42163329718335,416951.666666667,29791.3333333333,65156.8399621212,430250.0625,16492.9375,167023.789772727,1677448,0.266323009714757,0.424167754099787
"Q3 2008",447620,13.5215468268138,6.42163329718335,418953.25,28666.75,65156.8399621212,431893.59375,15726.40625,167023.789772727,1694512,0.264158648625681,0.424167754099787
"Q4 2008",482015,19.3177317464404,6.42163329718335,424482.416666667,57532.5833333333,65156.8399621212,434785.40625,47229.59375,167023.789772727,1618908,0.297740822826251,0.424167754099787
"Q1 2009",489202,12.2306086397944,6.42163329718335,431044.25,58157.75,65156.8399621212,437061.34375,52140.65625,167023.789772727,1557232,0.314148437740812,0.424167754099787
"Q2 2009",512620,14.7460620535744,6.42163329718335,440951.083333333,71668.9166666667,65156.8399621212,440398.46875,72221.53125,167023.789772727,1548488,0.331045510200919,0.424167754099787
"Q3 2009",517613,15.6367007729771,6.42163329718335,450107.75,67505.25,65156.8399621212,443203.3125,74409.6875,167023.789772727,1567924,0.330126332653879,0.424167754099787
"Q4 2009",537583,11.5282719417446,6.42163329718335,458732.75,78850.25,65156.8399621212,446009.90625,91573.09375,167023.789772727,1611692,0.333551944167992,0.424167754099787
"Q1 2010",546651,11.7434106974215,6.42163329718335,468102.666666667,78548.3333333333,65156.8399621212,449187.0625,97463.9375,167023.789772727,1644032,0.332506301580505,0.424167754099787
"Q2 2010",600217,17.0880964457103,6.42163329718335,484536.166666667,115680.833333333,65156.8399621212,454211.28125,146005.71875,167023.789772727,1653240,0.363054970845128,0.424167754099787
"Q3 2010",637075,23.0794048835713,6.42163329718335,504767.083333333,132307.916666667,65156.8399621212,459264.25,177810.75,167023.789772727,1665372,0.382542158748916,0.424167754099787
"Q4 2010",632752,17.703126772982,6.42163329718335,523831.75,108920.25,65156.8399621212,463949.65625,168802.34375,167023.789772727,1701548,0.371868439797173,0.424167754099787
"Q1 2011",641247,17.3046422671869,6.42163329718335,540944.833333333,100302.166666667,65156.8399621212,469439.5,171807.5,167023.789772727,1737952,0.368967037064315,0.424167754099787
"Q2 2011",660975,10.1226723001848,6.42163329718335,558797.5,102177.5,65156.8399621212,475743.8125,185231.1875,167023.789772727,1759852,0.37558556060396,0.424167754099787
