"Period","Interest Expense All Industries","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Interest Expense All Industries to GDP","Mean_of_Ratio"
"Q3 1991",12206,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,704796,NA,0.0113862780033817
"Q4 1991",12174,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,706716,NA,0.0113862780033817
"Q1 1992",11175,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,710008,NA,0.0113862780033817
"Q2 1992",11083,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,714744,NA,0.0113862780033817
"Q3 1992",11064,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,721660,NA,0.0113862780033817
"Q4 1992",11294,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,727332,NA,0.0113862780033817
"Q1 1993",10764,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,733952,NA,0.0113862780033817
"Q2 1993",10570,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,745360,NA,0.0113862780033817
"Q3 1993",10614,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,750068,NA,0.0113862780033817
"Q4 1993",10736,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,758768,NA,0.0113862780033817
"Q1 1994",10291,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,772656,NA,0.0113862780033817
"Q2 1994",10722,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,783660,NA,0.0113862780033817
"Q3 1994",11080,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,800784,NA,0.0113862780033817
"Q4 1994",11161,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,810788,NA,0.0113862780033817
"Q1 1995",10655,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,823972,NA,0.0113862780033817
"Q2 1995",10832,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,828856,NA,0.0113862780033817
"Q3 1995",10892,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,832976,NA,0.0113862780033817
"Q4 1995",10965,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,840680,NA,0.0113862780033817
"Q1 1996",10539,-1.08869075551384,4.05029976480214,10754.75,-215.75,859.338541666667,11025.28125,-486.28125,2003.72916666667,844208,0.0124838902261054,0.0113862780033817
"Q2 1996",10668,-1.51403249630724,4.05029976480214,10762.9166666667,-94.9166666666661,859.338541666667,11095.34375,-427.34375,2003.72916666667,852904,0.0125078555148059,0.0113862780033817
"Q3 1996",10715,-1.62504590525156,4.05029976480214,10771.3333333333,-56.3333333333339,859.338541666667,11154.15625,-439.15625,2003.72916666667,864544,0.0123938168560536,0.0113862780033817
"Q4 1996",10900,-0.592795257637939,4.05029976480214,10785,115,859.338541666667,11203.5625,-303.5625,2003.72916666667,877680,0.0124191049129523,0.0113862780033817
"Q1 1997",10869,3.1312268716197,4.05029976480214,10833.1666666667,35.8333333333339,859.338541666667,11226.78125,-357.78125,2003.72916666667,891748,0.0121884209440335,0.0113862780033817
"Q2 1997",10963,2.76527934008249,4.05029976480214,10853.25,109.75,859.338541666667,11236.28125,-273.28125,2003.72916666667,899412,0.0121890746398758,0.0113862780033817
"Q3 1997",11060,3.21978534764349,4.05029976480214,10851.5833333333,208.416666666666,859.338541666667,11241.09375,-181.09375,2003.72916666667,912564,0.0121196979061195,0.0113862780033817
"Q4 1997",11205,2.79816513761468,4.05029976480214,10855.25,349.75,859.338541666667,11240.21875,-35.21875,2003.72916666667,923980,0.0121268858633304,0.0113862780033817
"Q1 1998",11698,7.62719661422394,4.05029976480214,10942.1666666667,755.833333333334,859.338541666667,11230.25,467.75,2003.72916666667,934612,0.0125164239277904,0.0113862780033817
"Q2 1998",11847,8.06348627200584,4.05029976480214,11026.75,820.25,859.338541666667,11218.84375,628.15625,2003.72916666667,935212,0.012667715983114,0.0113862780033817
"Q3 1998",11992,8.42676311030741,4.05029976480214,11118.4166666667,873.583333333334,859.338541666667,11198.1875,793.8125,2003.72916666667,938872,0.0127727741374756,0.0113862780033817
