"Period","Outward FDI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FDI to GDP","Mean_of_Ratio"
"Q2 1995",251568,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,828856,NA,0.648888127821373
"Q3 1995",255994,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,832976,NA,0.648888127821373
"Q4 1995",279206,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,840680,NA,0.648888127821373
"Q1 1996",301135,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,844208,NA,0.648888127821373
"Q2 1996",309946,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,852904,NA,0.648888127821373
"Q3 1996",309526,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,864544,NA,0.648888127821373
"Q4 1996",351867,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,877680,NA,0.648888127821373
"Q1 1997",361251,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,891748,NA,0.648888127821373
"Q2 1997",406678,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,899412,NA,0.648888127821373
"Q3 1997",435795,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,912564,NA,0.648888127821373
"Q4 1997",457396,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,923980,NA,0.648888127821373
"Q1 1998",488256,35.1569961052011,8.26955646274341,350718.166666667,137537.833333333,106064.917613636,241424.6875,246831.3125,274790.729403409,934612,0.522415719036349,0.648888127821373
"Q2 1998",544397,33.8643841073282,8.26955646274341,375120.583333333,169276.416666667,106064.917613636,254008.8125,290388.1875,274790.729403409,935212,0.582110794130101,0.648888127821373
"Q3 1998",489276,12.2720545210477,8.26955646274341,394560.75,94715.25,106064.917613636,265141.875,224134.125,274790.729403409,938872,0.521131741068005,0.648888127821373
"Q4 1998",575759,25.8775765419899,8.26955646274341,419273.5,156485.5,106064.917613636,279023.125,296735.875,274790.729403409,953496,0.603839974158256,0.648888127821373
"Q1 1999",596258,22.1199534670337,8.26955646274341,443867.083333333,152390.916666667,106064.917613636,292949.46875,303308.53125,274790.729403409,975240,0.611396169148107,0.648888127821373
"Q2 1999",628711,15.4875945311969,8.26955646274341,470430.833333333,158280.166666667,106064.917613636,307863.6875,320847.3125,274790.729403409,994172,0.632396607428091,0.648888127821373
"Q3 1999",660901,35.0773387617623,8.26955646274341,499712.083333333,161188.916666667,106064.917613636,323602.6875,337298.3125,274790.729403409,1021308,0.647112330462505,0.648888127821373
"Q4 1999",615314,6.87006195300464,8.26955646274341,521666,93648,106064.917613636,337686.875,277627.125,274790.729403409,1040988,0.591086544705607,0.648888127821373
"Q1 2000",652389,9.41387788507659,8.26955646274341,545927.5,106461.5,106064.917613636,353036.28125,299352.71875,274790.729403409,1070188,0.609602238111435,0.648888127821373
"Q2 2000",718071,14.2132076582086,8.26955646274341,571876.916666667,146194.083333333,106064.917613636,370374.21875,347696.78125,274790.729403409,1099448,0.653119565454665,0.648888127821373
"Q3 2000",700284,5.95898629295462,8.26955646274341,593917.666666667,106366.333333333,106064.917613636,387061.65625,313222.34375,274790.729403409,1121768,0.624268119611185,0.648888127821373
"Q4 2000",697101,13.2919127469877,8.26955646274341,613893.083333333,83207.9166666666,106064.917613636,403449.34375,293651.65625,274790.729403409,1132880,0.615335251747758,0.648888127821373
"Q1 2001",653459,0.164012575319326,8.26955646274341,627660,25799,106064.917613636,418428.6875,235030.3125,274790.729403409,1149924,0.56826277214842,0.648888127821373
"Q2 2001",635259,-11.532564328597,8.26955646274341,635231.833333333,27.1666666666279,106064.917613636,432718.0625,202540.9375,274790.729403409,1152860,0.551028745901497,0.648888127821373
"Q3 2001",615650,-12.0856681003707,8.26955646274341,645763,-30113,106064.917613636,446034.1875,169615.8125,274790.729403409,1138804,0.540611027007281,0.648888127821373
"Q4 2001",674905,-3.18404363212791,8.26955646274341,654025.166666667,20879.8333333334,106064.917613636,460862.875,214042.125,274790.729403409,1136584,0.593801250061588,0.648888127821373
"Q1 2002",683137,4.54167744265516,8.26955646274341,661265.083333333,21871.9166666666,106064.917613636,475654.3125,207482.6875,274790.729403409,1158640,0.589602464958917,0.648888127821373
"Q2 2002",626903,-1.31536900697196,8.26955646274341,661114.416666667,-34211.4166666666,106064.917613636,488935.5,137967.5,274790.729403409,1185892,0.528634142063527,0.648888127821373
"Q3 2002",614180,-0.238772029562251,8.26955646274341,657221,-43041,106064.917613636,501491.0625,112688.9375,274790.729403409,1204144,0.51005527578097,0.648888127821373
"Q4 2002",632077,-6.345781998948,8.26955646274341,658617.916666667,-26540.9166666666,106064.917613636,514348.65625,117728.34375,274790.729403409,1226100,0.5155183100889,0.648888127821373
"Q1 2003",584446,-14.446736159804,8.26955646274341,652956,-68510,106064.917613636,525221.71875,59224.28125,274790.729403409,1250088,0.467523886318403,0.648888127821373
"Q2 2003",606685,-3.22506033628807,8.26955646274341,643673.833333333,-36988.8333333334,106064.917613636,536319.125,70365.875,274790.729403409,1237720,0.490163364896746,0.648888127821373
"Q3 2003",630918,2.72525969585464,8.26955646274341,637893.333333333,-6975.33333333337,106064.917613636,548035.5,82882.5,274790.729403409,1258296,0.501406664250701,0.648888127821373
