"Period","Fed Gov Interest Expense","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Revenue","Ratio: Fed Gov Interest Expense to Revenue","Mean_of_Ratio"
"Q3 1995",11894,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,36768,NA,0.138769588298382
"Q4 1995",11772,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,36984,NA,0.138769588298382
"Q1 1996",11601,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,34699,NA,0.138769588298382
"Q2 1996",11548,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,37046,NA,0.138769588298382
"Q3 1996",11404,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,38857,NA,0.138769588298382
"Q4 1996",11114,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,39821,NA,0.138769588298382
"Q1 1997",10996,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,38530,NA,0.138769588298382
"Q2 1997",10930,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,42239,NA,0.138769588298382
"Q3 1997",11011,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,42410,NA,0.138769588298382
"Q4 1997",10798,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,43987,NA,0.138769588298382
"Q1 1998",10828,-1.52782830120044,-2.27635497917352,11306.5833333333,-478.583333333334,-314.643939393939,10621.28125,206.71875,-849.249289772727,40535,0.26712717404712,0.138769588298382
"Q2 1998",11324,3.60475754803294,-2.27635497917352,11268.3333333333,55.6666666666661,-314.643939393939,10648.28125,675.71875,-849.249289772727,44172,0.256361495970298,0.138769588298382
"Q3 1998",10733,-2.52474797929343,-2.27635497917352,11171.5833333333,-438.583333333334,-314.643939393939,10647.90625,85.09375,-849.249289772727,43759,0.245275257661281,0.138769588298382
"Q4 1998",11365,5.25097240229672,-2.27635497917352,11137.6666666667,227.333333333334,-314.643939393939,10664.125,700.875,-849.249289772727,43688,0.260140084233657,0.138769588298382
"Q1 1999",10775,-0.489471739933506,-2.27635497917352,11068.8333333333,-293.833333333334,-314.643939393939,10664.75,110.25,-849.249289772727,42188,0.255404380392529,0.138769588298382
"Q2 1999",11220,-0.918403391027905,-2.27635497917352,11041.5,178.5,-314.643939393939,10688.625,531.375,-849.249289772727,46857,0.239451949548627,0.138769588298382
"Q3 1999",10964,2.15224075281841,-2.27635497917352,11004.8333333333,-40.8333333333339,-314.643939393939,10707.9375,256.0625,-849.249289772727,46479,0.235891477871727,0.138769588298382
"Q4 1999",11069,-2.60448746150462,-2.27635497917352,11001.0833333333,67.9166666666661,-314.643939393939,10749.03125,319.96875,-849.249289772727,47275,0.23414066631412,0.138769588298382
"Q1 2000",11120,3.20185614849188,-2.27635497917352,11011.4166666667,108.583333333334,-314.643939393939,10757.28125,362.71875,-849.249289772727,47823,0.232524099282772,0.138769588298382
"Q2 2000",11093,-1.1319073083779,-2.27635497917352,11025,68,-314.643939393939,10796.375,296.625,-849.249289772727,51542,0.215222536960149,0.138769588298382
"Q3 2000",11376,3.75775264502007,-2.27635497917352,11055.4166666667,320.583333333334,-314.643939393939,10849.78125,526.21875,-849.249289772727,50626,0.224706672460791,0.138769588298382
"Q4 2000",12037,8.74514409612431,-2.27635497917352,11158.6666666667,878.333333333334,-314.643939393939,10931.21875,1105.78125,-849.249289772727,51816,0.232302763625135,0.138769588298382
"Q1 2001",11200,0.719424460431655,-2.27635497917352,11189.6666666667,10.3333333333339,-314.643939393939,10966.3125,233.6875,-849.249289772727,49038,0.228394306456218,0.138769588298382
"Q2 2001",10478,-5.54403677995132,-2.27635497917352,11119.1666666667,-641.166666666666,-314.643939393939,11005.625,-527.625,-849.249289772727,52957,0.197858640028703,0.138769588298382
"Q3 2001",10418,-8.42123769338959,-2.27635497917352,11092.9166666667,-674.916666666666,-314.643939393939,11005.25,-587.25,-849.249289772727,49039,0.212443157486898,0.138769588298382
"Q4 2001",10076,-16.2914347428761,-2.27635497917352,10985.5,-909.5,-314.643939393939,11015.0625,-939.0625,-849.249289772727,47816,0.210724443700853,0.138769588298382
"Q1 2002",9488,-15.2857142857143,-2.27635497917352,10878.25,-1390.25,-314.643939393939,11019.96875,-1531.96875,-849.249289772727,45289,0.209498995341032,0.138769588298382
"Q2 2002",9256,-11.6625310173697,-2.27635497917352,10714.5833333333,-1458.58333333333,-314.643939393939,11000.71875,-1744.71875,-849.249289772727,49216,0.188068920676203,0.138769588298382
"Q3 2002",9168,-11.9984641965828,-2.27635497917352,10564.9166666667,-1396.91666666667,-314.643939393939,10957.71875,-1789.71875,-849.249289772727,49178,0.186424824108341,0.138769588298382
"Q4 2002",9196,-8.73362445414847,-2.27635497917352,10408.8333333333,-1212.83333333333,-314.643939393939,10911.40625,-1715.40625,-849.249289772727,51064,0.18008773304089,0.138769588298382
"Q1 2003",9183,-3.214586846543,-2.27635497917352,10247.4166666667,-1064.41666666667,-314.643939393939,10850.5625,-1667.5625,-849.249289772727,49020,0.187331701346389,0.138769588298382
"Q2 2003",8627,-6.79559204840104,-2.27635497917352,10041.9166666667,-1414.91666666667,-314.643939393939,10751.9375,-2124.9375,-849.249289772727,49081,0.17577066481938,0.138769588298382
"Q3 2003",8963,-2.23603839441536,-2.27635497917352,9840.83333333333,-877.833333333334,-314.643939393939,10660.34375,-1697.34375,-849.249289772727,51007,0.175720979473406,0.138769588298382
"Q4 2003",8754,-4.8064375815572,-2.27635497917352,9567.25,-813.25,-314.643939393939,10566.03125,-1812.03125,-849.249289772727,51710,0.169290272674531,0.138769588298382
"Q1 2004",8735,-4.87857998475444,-2.27635497917352,9361.83333333333,-626.833333333334,-314.643939393939,10476.46875,-1741.46875,-849.249289772727,50546,0.172812883314209,0.138769588298382
"Q2 2004",8482,-1.68076967659673,-2.27635497917352,9195.5,-713.5,-314.643939393939,10380.65625,-1898.65625,-849.249289772727,52201,0.162487308672248,0.138769588298382
"Q3 2004",8463,-5.57848934508535,-2.27635497917352,9032.58333333333,-569.583333333334,-314.643939393939,10288.75,-1825.75,-849.249289772727,53577,0.157959572204491,0.138769588298382
"Q4 2004",8128,-7.15101667809002,-2.27635497917352,8870.25,-742.25,-314.643939393939,10195.4375,-2067.4375,-849.249289772727,53381,0.152263914126749,0.138769588298382
"Q1 2005",8077,-7.53291356611334,-2.27635497917352,8752.66666666667,-675.666666666666,-314.643939393939,10104.21875,-2027.21875,-849.249289772727,54446,0.148348822686699,0.138769588298382
"Q2 2005",8134,-4.10280594199481,-2.27635497917352,8659.16666666667,-525.166666666666,-314.643939393939,10016.84375,-1882.84375,-849.249289772727,54886,0.148198083299931,0.138769588298382
"Q3 2005",8159,-3.59210681791327,-2.27635497917352,8575.08333333333,-416.083333333334,-314.643939393939,9927.71875,-1768.71875,-849.249289772727,55546,0.146887264609513,0.138769588298382
"Q4 2005",8097,-0.381397637795276,-2.27635497917352,8483.5,-386.5,-314.643939393939,9843.3125,-1746.3125,-849.249289772727,56507,0.143291981524413,0.138769588298382
"Q1 2006",8100,0.284759192769593,-2.27635497917352,8393.25,-293.25,-314.643939393939,9758.0625,-1658.0625,-849.249289772727,56482,0.143408519528345,0.138769588298382
"Q2 2006",8210,0.934349643471847,-2.27635497917352,8358.5,-148.5,-314.643939393939,9660.75,-1450.75,-849.249289772727,57499,0.142785091914642,0.138769588298382
"Q3 2006",8218,0.723127834293418,-2.27635497917352,8296.41666666667,-78.4166666666661,-314.643939393939,9582.15625,-1364.15625,-849.249289772727,57992,0.141709201269141,0.138769588298382
"Q4 2006",8001,-1.18562430529826,-2.27635497917352,8233.66666666667,-232.666666666666,-314.643939393939,9477.03125,-1476.03125,-849.249289772727,60430,0.132401125268906,0.138769588298382
"Q1 2007",8073,-0.333333333333333,-2.27635497917352,8178.5,-105.5,-314.643939393939,9392.59375,-1319.59375,-849.249289772727,60331,0.133811804876432,0.138769588298382
"Q2 2007",8187,-0.280146163215591,-2.27635497917352,8153.91666666667,33.083333333333,-314.643939393939,9297.8125,-1110.8125,-849.249289772727,62889,0.130181748795497,0.138769588298382
"Q3 2007",8046,-2.09296665855439,-2.27635497917352,8119.16666666667,-73.166666666667,-314.643939393939,9206.625,-1160.625,-849.249289772727,61439,0.13095916274679,0.138769588298382
"Q4 2007",7626,-4.68691413573303,-2.27635497917352,8077.33333333333,-451.333333333333,-314.643939393939,9099.03125,-1473.03125,-849.249289772727,61445,0.124110993571487,0.138769588298382
"Q1 2008",7760,-3.87712126842562,-2.27635497917352,8050.91666666667,-290.916666666667,-314.643939393939,8994.03125,-1234.03125,-849.249289772727,63435,0.122329944037203,0.138769588298382
"Q2 2008",7873,-3.83534872358617,-2.27635497917352,8029.16666666667,-156.166666666667,-314.643939393939,8893.40625,-1020.40625,-849.249289772727,60150,0.130889443059019,0.138769588298382
"Q3 2008",7918,-1.59085259756401,-2.27635497917352,8009.08333333333,-91.083333333333,-314.643939393939,8785.34375,-867.34375,-849.249289772727,59533,0.133001864512119,0.138769588298382
"Q4 2008",7094,-6.97613427747181,-2.27635497917352,7925.5,-831.5,-314.643939393939,8630.875,-1536.875,-849.249289772727,57858,0.122610529226728,0.138769588298382
"Q1 2009",6862,-11.5721649484536,-2.27635497917352,7822.33333333333,-960.333333333333,-314.643939393939,8495.3125,-1633.3125,-849.249289772727,59139,0.116031721875581,0.138769588298382
"Q2 2009",7208,-8.4465896100597,-2.27635497917352,7738.83333333333,-530.833333333333,-314.643939393939,8393.125,-1185.125,-849.249289772727,54823,0.131477664483885,0.138769588298382
"Q3 2009",6936,-12.4021217479161,-2.27635497917352,7632,-696,-314.643939393939,8284.3125,-1348.3125,-849.249289772727,54833,0.126493170171247,0.138769588298382
"Q4 2009",6697,-5.59627854524951,-2.27635497917352,7523.33333333333,-826.333333333333,-314.643939393939,8178.71875,-1481.71875,-849.249289772727,57506,0.116457413139498,0.138769588298382
"Q1 2010",6818,-0.641212474497231,-2.27635497917352,7418.75,-600.75,-314.643939393939,8095.28125,-1277.28125,-849.249289772727,58600,0.116348122866894,0.138769588298382
"Q2 2010",7109,-1.37347391786903,-2.27635497917352,7328.91666666667,-219.916666666667,-314.643939393939,8028.1875,-919.1875,-849.249289772727,57877,0.122829448658362,0.138769588298382
"Q3 2010",7147,3.04209919261822,-2.27635497917352,7254,-107,-314.643939393939,7965.03125,-818.03125,-849.249289772727,55180,0.129521565784705,0.138769588298382
"Q4 2010",7198,7.48096162460803,-2.27635497917352,7218.33333333333,-20.333333333333,-314.643939393939,7902.59375,-704.59375,-849.249289772727,58123,0.123840820329302,0.138769588298382
"Q1 2011",7080,3.84276914051041,-2.27635497917352,7161.66666666667,-81.666666666667,-314.643939393939,7836.875,-756.875,-849.249289772727,61843,0.11448345002668,0.138769588298382
"Q2 2011",7671,7.90547193698129,-2.27635497917352,7144.83333333333,526.166666666667,-314.643939393939,7807,-136,-849.249289772727,61606,0.124517092490991,0.138769588298382
"Q3 2011",6993,-2.15475024485798,-2.27635497917352,7067.75,-74.75,-314.643939393939,7745.4375,-752.4375,-849.249289772727,60363,0.115849112867154,0.138769588298382
"Q4 2011",7112,-1.19477632675743,-2.27635497917352,7069.25,42.75,-314.643939393939,7694.125,-582.125,-849.249289772727,61891,0.114911699600911,0.138769588298382
"Q1 2012",6762,-4.49152542372881,-2.27635497917352,7060.91666666667,-298.916666666667,-314.643939393939,7632.46875,-870.46875,-849.249289772727,64855,0.104263356718834,0.138769588298382
