"Period","Outward Cross-Border Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward Cross-Border Loans to GDP","Mean_of_Ratio"
"Q2 1997",58957,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,899412,NA,0.0720828224872548
"Q3 1997",64210,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,912564,NA,0.0720828224872548
"Q4 1997",65363,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,923980,NA,0.0720828224872548
"Q1 1998",57642,10.5544793724467,9.25296465052967,45788.5833333333,11853.4166666667,16670.2196969697,29671.90625,27970.09375,40726.3852982955,934612,0.0616747912502728,0.0720828224872548
"Q2 1998",61828,4.86965076242007,9.25296465052967,48811.8333333333,13016.1666666667,16670.2196969697,31186.1875,30641.8125,40726.3852982955,935212,0.0661112132863992,0.0720828224872548
"Q3 1998",63904,-0.476561283289207,9.25296465052967,52102.5833333333,11801.4166666667,16670.2196969697,32745.5625,31158.4375,40726.3852982955,938872,0.0680646563109774,0.0720828224872548
"Q4 1998",53109,-18.7476095038477,9.25296465052967,53507.5,-398.5,16670.2196969697,33866,19243,40726.3852982955,953496,0.0556992373329306,0.0720828224872548
"Q1 1999",46406,-19.4927309947608,9.25296465052967,54468.5,-8062.5,16670.2196969697,34815.25,11590.75,40726.3852982955,975240,0.0475841844058898,0.0720828224872548
"Q2 1999",44324,-28.3107976968364,9.25296465052967,54713.3333333333,-10389.3333333333,16670.2196969697,35703.75,8620.25,40726.3852982955,994172,0.0445838345879787,0.0720828224872548
"Q3 1999",46604,-27.07185778668,9.25296465052967,54737.0833333333,-8133.08333333334,16670.2196969697,36654.65625,9949.34375,40726.3852982955,1021308,0.0456316801591684,0.0720828224872548
"Q4 1999",48473,-8.72921727014254,9.25296465052967,55246.5833333333,-6773.58333333334,16670.2196969697,37591.75,10881.25,40726.3852982955,1040988,0.0465644176493869,0.0720828224872548
"Q1 2000",45077,-2.86385381200707,9.25296465052967,54658.0833333333,-9581.08333333334,16670.2196969697,38413.90625,6663.09375,40726.3852982955,1070188,0.0421206367479359,0.0720828224872548
"Q2 2000",52350,18.107571518816,9.25296465052967,54107.5,-1757.5,16670.2196969697,39419.53125,12930.46875,40726.3852982955,1099448,0.0476148030648107,0.0720828224872548
"Q3 2000",54086,16.0544159299631,9.25296465052967,53263.8333333333,822.166666666664,16670.2196969697,40414.25,13671.75,40726.3852982955,1121768,0.0482149606692293,0.0720828224872548
"Q4 2000",53484,10.3377137788047,9.25296465052967,52273.9166666667,1210.08333333334,16670.2196969697,41429.15625,12054.84375,40726.3852982955,1132880,0.0472106489654685,0.0720828224872548
"Q1 2001",51366,13.9516826763094,9.25296465052967,51750.9166666667,-384.916666666664,16670.2196969697,42392.65625,8973.34375,40726.3852982955,1149924,0.0446690389973598,0.0720828224872548
"Q2 2001",52891,1.0334288443171,9.25296465052967,51006.1666666667,1884.83333333334,16670.2196969697,43397.59375,9493.40625,40726.3852982955,1152860,0.0458780771299204,0.0720828224872548
"Q3 2001",55234,2.12254557556484,9.25296465052967,50283.6666666667,4950.33333333334,16670.2196969697,44422.71875,10811.28125,40726.3852982955,1138804,0.0485017614971496,0.0720828224872548
"Q4 2001",60621,13.3441776980031,9.25296465052967,50909.6666666667,9711.33333333334,16670.2196969697,45608.5625,15012.4375,40726.3852982955,1136584,0.053336137056302,0.0720828224872548
"Q1 2002",60595,17.9671377954289,9.25296465052967,52092.0833333333,8502.91666666666,16670.2196969697,46751.59375,13843.40625,40726.3852982955,1158640,0.0522983843126424,0.0720828224872548
"Q2 2002",56720,7.23941691403074,9.25296465052967,53125.0833333333,3594.91666666666,16670.2196969697,47768.125,8951.875,40726.3852982955,1185892,0.0478289759944413,0.0720828224872548
"Q3 2002",57951,4.91907158634175,9.25296465052967,54070.6666666667,3880.33333333334,16670.2196969697,48838.5625,9112.4375,40726.3852982955,1204144,0.0481263038307711,0.0720828224872548
"Q4 2002",63909,5.42386301776612,9.25296465052967,55357,8552,16670.2196969697,50087.875,13821.125,40726.3852982955,1226100,0.0521238071935405,0.0720828224872548
"Q1 2003",65590,8.24325439392689,9.25296465052967,57066.4166666667,8523.58333333334,16670.2196969697,51374.53125,14215.46875,40726.3852982955,1250088,0.0524683062312413,0.0720828224872548
"Q2 2003",57769,1.84943582510578,9.25296465052967,57518,251,16670.2196969697,52381.40625,5387.59375,40726.3852982955,1237720,0.0466737226513266,0.0720828224872548
"Q3 2003",51472,-11.1801349415886,9.25296465052967,57300.1666666667,-5828.16666666666,16670.2196969697,53226.9375,-1754.9375,40726.3852982955,1258296,0.0409061143006097,0.0720828224872548
"Q4 2003",49768,-22.1267740067909,9.25296465052967,56990.5,-7222.5,16670.2196969697,53649.375,-3881.375,40726.3852982955,1272884,0.039098613856408,0.0720828224872548
"Q1 2004",58107,-11.4087513340448,9.25296465052967,57552.25,554.75,16670.2196969697,54375.40625,3731.59375,40726.3852982955,1296216,0.0448281767853506,0.0720828224872548
"Q2 2004",62728,8.58418875175267,9.25296465052967,58372,4356,16670.2196969697,55042.34375,7685.65625,40726.3852982955,1328148,0.0472296762107837,0.0720828224872548
"Q3 2004",54950,6.75707180603046,9.25296465052967,58348.3333333333,-3398.33333333334,16670.2196969697,55312.0625,-362.0625,40726.3852982955,1351480,0.0406591292508953,0.0720828224872548
"Q4 2004",48788,-1.96913679472754,9.25296465052967,57362.25,-8574.25,16670.2196969697,55512.96875,-6724.96875,40726.3852982955,1367080,0.035687743219124,0.0720828224872548
"Q1 2005",52402,-9.81809420551741,9.25296465052967,56679.5,-4277.5,16670.2196969697,55521.1875,-3119.1875,40726.3852982955,1380324,0.0379635505866739,0.0720828224872548
"Q2 2005",50361,-19.7152786634358,9.25296465052967,56149.5833333333,-5788.58333333334,16670.2196969697,55252.5625,-4891.5625,40726.3852982955,1399608,0.0359822178781487,0.0720828224872548
"Q3 2005",48933,-10.9499545040946,9.25296465052967,55398.0833333333,-6465.08333333334,16670.2196969697,54775.15625,-5842.15625,40726.3852982955,1436992,0.0340523816416514,0.0720828224872548
"Q4 2005",45186,-7.38296302369435,9.25296465052967,53837.8333333333,-8651.83333333334,16670.2196969697,54144.625,-8958.625,40726.3852982955,1469436,0.0307505736894972,0.0720828224872548
"Q1 2006",60923,16.2608297393229,9.25296465052967,53448.9166666667,7474.08333333334,16670.2196969697,54247.15625,6675.84375,40726.3852982955,1476000,0.0412757452574526,0.0720828224872548
"Q2 2006",64268,27.6146224260837,9.25296465052967,53990.5,10277.5,16670.2196969697,54323.40625,9944.59375,40726.3852982955,1490716,0.0431121689174866,0.0720828224872548
"Q3 2006",70774,44.6345002350152,9.25296465052967,55599,15175,16670.2196969697,54538.09375,16235.90625,40726.3852982955,1504936,0.0470279134793772,0.0720828224872548
"Q4 2006",71886,59.0890983933077,9.25296465052967,57442.1666666667,14443.8333333333,16670.2196969697,55124.875,16761.125,40726.3852982955,1514764,0.0474568975761241,0.0720828224872548
"Q1 2007",78244,28.430970241124,9.25296465052967,59120.25,19123.75,16670.2196969697,56119.8125,22124.1875,40726.3852982955,1547276,0.0505688707121419,0.0720828224872548
"Q2 2007",73915,15.0105806933466,9.25296465052967,60052.5,13862.5,16670.2196969697,57044.53125,16870.46875,40726.3852982955,1576612,0.0468821751959265,0.0720828224872548
"Q3 2007",78333,10.6804758809732,9.25296465052967,62001.0833333333,16331.9166666667,16670.2196969697,58036.0625,20296.9375,40726.3852982955,1582248,0.0495074097107407,0.0720828224872548
"Q4 2007",76796,6.83025902122806,9.25296465052967,64335.0833333333,12460.9166666667,16670.2196969697,58921.15625,17874.84375,40726.3852982955,1604508,0.0478626469920998,0.0720828224872548
"Q1 2008",85968,9.87168345176627,9.25296465052967,67132.25,18835.75,16670.2196969697,60199,25769,40726.3852982955,1637296,0.0525060832005941,0.0720828224872548
"Q2 2008",87345,18.169519042143,9.25296465052967,70214.25,17130.75,16670.2196969697,61292.59375,26052.40625,40726.3852982955,1677448,0.0520701684940457,0.0720828224872548
"Q3 2008",81648,4.23193290184214,9.25296465052967,72940.5,8707.5,16670.2196969697,62153.90625,19494.09375,40726.3852982955,1694512,0.0481837838858621,0.0720828224872548
