"Period","Banks Total Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Total Loans to GDP","Mean_of_Ratio"
"Q1 1991",299510,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,297449,NA,0.930360519381296
"Q2 1991",303743,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,303514,NA,0.930360519381296
"Q3 1991",303899,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,302656,NA,0.930360519381296
"Q4 1991",311952,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,306848,NA,0.930360519381296
"Q1 1992",315105,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,315719,NA,0.930360519381296
"Q2 1992",321000,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,312551,NA,0.930360519381296
"Q3 1992",328648,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,317763,NA,0.930360519381296
"Q4 1992",339085,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,325298,NA,0.930360519381296
"Q1 1993",349634,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,338224,NA,0.930360519381296
"Q2 1993",354942,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,334902,NA,0.930360519381296
"Q3 1993",373243,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,353499,NA,0.930360519381296
"Q4 1993",377231,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,364554,NA,0.930360519381296
"Q1 1994",376430,7.66401436931191,6.838958906202,337909.333333333,38520.6666666667,85274.6826923077,277833.6875,98596.3125,221783.49609375,372003,1.0119004416631,0.930360519381296
"Q2 1994",393667,10.9102332212023,6.838958906202,345403,48264,85274.6826923077,284204.59375,109462.40625,221783.49609375,389222,1.01142021776775,0.930360519381296
"Q3 1994",398604,6.79476909144981,6.838958906202,353295.083333333,45308.9166666667,85274.6826923077,290676.4375,107927.5625,221783.49609375,391841,1.01725955170592,0.930360519381296
"Q4 1994",406349,7.71887782287246,6.838958906202,361161.5,45187.5,85274.6826923077,297136.34375,109212.65625,221783.49609375,396934,1.02371930849965,0.930360519381296
"Q1 1995",404720,7.51534149775523,6.838958906202,368629.416666667,36090.5833333333,85274.6826923077,303447.28125,101272.71875,221783.49609375,402694,1.00503111543753,0.930360519381296
"Q2 1995",414390,5.26409376452687,6.838958906202,376411.916666667,37978.0833333333,85274.6826923077,309893.34375,104496.65625,221783.49609375,407272,1.01747726335226,0.930360519381296
"Q3 1995",422627,6.0267834743254,6.838958906202,384243.5,38383.5,85274.6826923077,316454,106173,221783.49609375,415689,1.01669036226602,0.930360519381296
"Q4 1995",433558,6.69596824404637,6.838958906202,392116.25,41441.75,85274.6826923077,323213.5,110344.5,221783.49609375,420865,1.03015931474463,0.930360519381296
"Q1 1996",435570,7.62255386440008,6.838958906202,399277.583333333,36292.4166666667,85274.6826923077,329971.28125,105598.71875,221783.49609375,431716,1.00892716508075,0.930360519381296
"Q2 1996",436182,5.25881416057337,6.838958906202,406047.583333333,30134.4166666667,85274.6826923077,336318.25,99863.75,221783.49609375,441147,0.988745248182579,0.930360519381296
"Q3 1996",441928,4.5669112479799,6.838958906202,411771.333333333,30156.6666666667,85274.6826923077,342792.0625,99135.9375,221783.49609375,452072,0.97756109646251,0.930360519381296
"Q4 1996",449541,3.68647332075524,6.838958906202,417797.166666667,31743.8333333333,85274.6826923077,349291.96875,100249.03125,221783.49609375,468378,0.959782483378809,0.930360519381296
"Q1 1997",455983,4.68650274353146,6.838958906202,424426.583333333,31556.4166666667,85274.6826923077,355796.625,100186.375,221783.49609375,482457,0.945126715956033,0.930360519381296
"Q2 1997",457926,4.98507503748435,6.838958906202,429781.5,28144.5,85274.6826923077,362076.75,95849.25,221783.49609375,506307,0.90444335156338,0.930360519381296
"Q3 1997",474580,7.38853387882189,6.838958906202,436112.833333333,38467.1666666667,85274.6826923077,368713.34375,105866.65625,221783.49609375,530007,0.895422135934054,0.930360519381296
"Q4 1997",490148,9.03299142903539,6.838958906202,443096.083333333,47051.9166666667,85274.6826923077,375448.28125,114699.71875,221783.49609375,539347,0.908780432634278,0.930360519381296
"Q1 1998",482887,5.90021996434078,6.838958906202,449610,33277,85274.6826923077,381865.28125,101021.71875,221783.49609375,543392,0.888653127024321,0.930360519381296
"Q2 1998",487948,6.55608111354236,6.838958906202,455739.833333333,32208.1666666667,85274.6826923077,388270.8125,99677.1875,221783.49609375,548113,0.890232488556192,0.930360519381296
"Q3 1998",489468,3.13708963715285,6.838958906202,461309.916666667,28158.0833333333,85274.6826923077,394640.40625,94827.59375,221783.49609375,544849,0.898355324135678,0.930360519381296
"Q4 1998",489113,-0.2111607106425,6.838958906202,465939.5,23173.5,85274.6826923077,400612.84375,88500.15625,221783.49609375,535942,0.912623007713521,0.930360519381296
"Q1 1999",492468,1.98410808325757,6.838958906202,470681,21787,85274.6826923077,406642.78125,85825.21875,221783.49609375,543626,0.905894861540839,0.930360519381296
"Q2 1999",500962,2.66708747653438,6.838958906202,476079.333333333,24882.6666666667,85274.6826923077,412805.875,88156.125,221783.49609375,549352,0.911914400966957,0.930360519381296
"Q3 1999",504222,3.01429306920984,6.838958906202,481270.5,22951.5,85274.6826923077,419065.96875,85156.03125,221783.49609375,551123,0.914899214875808,0.930360519381296
"Q4 1999",521322,6.58518583640181,6.838958906202,487252.25,34069.75,85274.6826923077,425608.78125,95713.21875,221783.49609375,548536,0.950387941721236,0.930360519381296
"Q1 2000",581700,18.1193498866931,6.838958906202,497728.666666667,83971.3333333333,85274.6826923077,433939.875,147760.125,221783.49609375,585553,0.993419895380948,0.930360519381296
"Q2 2000",580034,15.7840315233491,6.838958906202,507904.333333333,72129.6666666667,85274.6826923077,442034.6875,137999.3125,221783.49609375,593348,0.977561228823557,0.930360519381296
"Q3 2000",598134,18.6251294072849,6.838958906202,518200.5,79933.5,85274.6826923077,450456.125,147677.875,221783.49609375,601275,0.99477610078583,0.930360519381296
"Q4 2000",593743,13.891798159295,6.838958906202,526833.416666667,66909.5833333334,85274.6826923077,458414.1875,135328.8125,221783.49609375,605320,0.980874578735214,0.930360519381296
"Q1 2001",606160,4.20491662368919,6.838958906202,537106.166666667,69053.8333333334,85274.6826923077,466430.625,139729.375,221783.49609375,617028,0.9823865367536,0.930360519381296
"Q2 2001",608606,4.92591813583342,6.838958906202,547161,61445,85274.6826923077,474357.625,134248.375,221783.49609375,623077,0.976774941138896,0.930360519381296
"Q3 2001",614288,2.70073261175589,6.838958906202,557562.666666667,56725.3333333334,85274.6826923077,481890.28125,132397.71875,221783.49609375,645897,0.951061856611813,0.930360519381296
"Q4 2001",625743,5.3895372240178,6.838958906202,568948.5,56794.5,85274.6826923077,489656.28125,136086.71875,221783.49609375,646323,0.968158335692835,0.930360519381296
"Q1 2002",636874,5.06697901544147,6.838958906202,580982.333333333,55891.6666666666,85274.6826923077,497795.15625,139078.84375,221783.49609375,659531,0.965646800529467,0.930360519381296
"Q2 2002",643220,5.68742339050223,6.838958906202,592837.166666667,50382.8333333334,85274.6826923077,505593.6875,137626.3125,221783.49609375,667813,0.963173822612019,0.930360519381296
