"Period","Public NFCs Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs Debt Securities to GDP","Mean_of_Ratio"
"Q3 1994",819.5,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,800784,NA,0.00424358207152447
"Q4 1994",698.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,810788,NA,0.00424358207152447
"Q1 1995",1163.5,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,823972,NA,0.00424358207152447
"Q2 1995",795.6,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,828856,NA,0.00424358207152447
"Q3 1995",939.9,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,832976,NA,0.00424358207152447
"Q4 1995",1030.8,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,840680,NA,0.00424358207152447
"Q1 1996",764.5,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,844208,NA,0.00424358207152447
"Q2 1996",804.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,852904,NA,0.00424358207152447
"Q3 1996",866.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,864544,NA,0.00424358207152447
"Q4 1996",1104.6,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,877680,NA,0.00424358207152447
"Q1 1997",1129.7,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,891748,NA,0.00424358207152447
"Q2 1997",1214.8,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,899412,NA,0.00424358207152447
"Q3 1997",1375,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,912564,NA,0.00424358207152447
"Q4 1997",1407.2,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,923980,NA,0.00424358207152447
"Q1 1998",1776.3,57.2364344516243,12.7902820845302,1100.76666666667,675.533333333333,699.244696969697,1478.496875,297.803125,1770.32425426136,934612,0.00190057478397453,0.00424358207152447
"Q2 1998",1693,39.3645044451762,12.7902820845302,1175.55,517.45,699.244696969697,1481.409375,211.590625,1770.32425426136,935212,0.00181028472688545,0.00424358207152447
"Q3 1998",1541.3,12.0945454545455,12.7902820845302,1225.66666666667,315.633333333333,699.244696969697,1481.05625,60.2437499999999,1770.32425426136,938872,0.0016416508320623,0.00424358207152447
"Q4 1998",1440.7,2.38061398521887,12.7902820845302,1259.825,180.875,699.244696969697,1490.084375,-49.3843749999999,1770.32425426136,953496,0.0015109659610528,0.00424358207152447
"Q1 1999",1538.4,-13.3930079378483,12.7902820845302,1324.31666666667,214.083333333333,699.244696969697,1468.840625,69.559375,1770.32425426136,975240,0.00157745785652762,0.00424358207152447
"Q2 1999",1823,7.67867690490254,12.7902820845302,1409.2,413.8,699.244696969697,1455.875,367.125,1770.32425426136,994172,0.00183368672624053,0.00424358207152447
"Q3 1999",1911.5,24.018685525206,12.7902820845302,1496.29166666667,415.208333333333,699.244696969697,1463.053125,448.446875,1770.32425426136,1021308,0.00187161953103275,0.00424358207152447
"Q4 1999",2002.4,38.9879919483584,12.7902820845302,1571.10833333333,431.291666666667,699.244696969697,1481.084375,521.315625,1770.32425426136,1040988,0.00192355723601041,0.00424358207152447
"Q1 2000",2010.5,30.6877275091004,12.7902820845302,1644.50833333333,365.991666666667,699.244696969697,1459.584375,550.915625,1770.32425426136,1070188,0.00187864188348215,0.00424358207152447
"Q2 2000",2064.7,13.2583653318705,12.7902820845302,1715.33333333333,349.366666666667,699.244696969697,1421.35625,643.34375,1770.32425426136,1099448,0.00187794238563352,0.00424358207152447
"Q3 2000",1894.9,-0.868427936175773,12.7902820845302,1758.65833333333,136.241666666667,699.244696969697,1390.246875,504.653125,1770.32425426136,1121768,0.00168920846378217,0.00424358207152447
"Q4 2000",2227.4,11.2365161805833,12.7902820845302,1827.00833333333,400.391666666667,699.244696969697,1386.653125,840.746875,1770.32425426136,1132880,0.00196613939693524,0.00424358207152447
"Q1 2001",2183,8.57995523501616,12.7902820845302,1860.9,322.1,699.244696969697,1364.734375,818.265625,1770.32425426136,1149924,0.00189838632813995,0.00424358207152447
"Q2 2001",2651.3,28.4109071535817,12.7902820845302,1940.75833333333,710.541666666667,699.244696969697,1393.8875,1257.4125,1770.32425426136,1152860,0.00229975886057284,0.00424358207152447
"Q3 2001",2334.5,23.1991134096786,12.7902820845302,2006.85833333333,327.641666666667,699.244696969697,1427.8125,906.6875,1770.32425426136,1138804,0.00204995767489401,0.00424358207152447
"Q4 2001",2322.3,4.26057286522403,12.7902820845302,2080.325,241.975,699.244696969697,1470.7125,851.5875,1770.32425426136,1136584,0.00204322777726943,0.00424358207152447
"Q1 2002",2448.2,12.1484196060467,12.7902820845302,2156.14166666667,292.058333333333,699.244696969697,1522.553125,925.646875,1770.32425426136,1158640,0.00211299454532901,0.00424358207152447
"Q2 2002",2586.1,-2.45917097273037,12.7902820845302,2219.73333333333,366.366666666666,699.244696969697,1580.11875,1005.98125,1770.32425426136,1185892,0.0021807213473065,0.00424358207152447
"Q3 2002",2551.7,9.303919468837,12.7902820845302,2273.08333333333,278.616666666666,699.244696969697,1634.25,917.45,1770.32425426136,1204144,0.00211909871244635,0.00424358207152447
"Q4 2002",2816.3,21.272014812901,12.7902820845302,2340.90833333333,475.391666666667,699.244696969697,1700.434375,1115.865625,1770.32425426136,1226100,0.00229695783378191,0.00424358207152447
