"Period","TSX 243 Net Income","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Common Equity","Ratio: TSX 243 Net Income to Common Equity","Mean_of_Ratio"
"Q4 1994",5683936,-2.60875763426401,20.3661305141964,6253232.91666667,-569296.916666667,7295855.81570513,6263996.8125,-580060.8125,15629002.3737981,79997540,0.0710513848300835,0.115057566971936
"Q1 1995",10896650,84.3630666465892,20.3661305141964,6557132.16666667,4339517.83333333,7295855.81570513,6442581.21875,4454068.78125,15629002.3737981,89541940,0.121693253463126,0.115057566971936
"Q2 1995",11376990,104.56388046353,20.3661305141964,6898228.33333333,4478761.66666667,7295855.81570513,6634256.8125,4742733.1875,15629002.3737981,89819250,0.126665386317521,0.115057566971936
"Q3 1995",11381170,103.926927843091,20.3661305141964,7238824,4142346,7295855.81570513,6825247.71875,4555922.28125,15629002.3737981,89909840,0.126584253736855,0.115057566971936
"Q4 1995",11492900,102.199672902721,20.3661305141964,7581493.5,3911406.5,7295855.81570513,7020014.46875,4472885.53125,15629002.3737981,90467920,0.127038402120884,0.115057566971936
"Q1 1996",11709660,7.46110042994865,20.3661305141964,8075438.25,3634221.75,7295855.81570513,7281149.375,4428510.625,15629002.3737981,101323100,0.115567526062665,0.115057566971936
"Q2 1996",11614940,2.09150223389491,20.3661305141964,8565549.75,3049390.25,7295855.81570513,7538674.59375,4076265.40625,15629002.3737981,101556100,0.114369693204052,0.115057566971936
"Q3 1996",11601200,1.93328102471011,20.3661305141964,9053887.58333333,2547312.41666667,7295855.81570513,7795672.65625,3805527.34375,15629002.3737981,101613100,0.114170318590812,0.115057566971936
"Q4 1996",11633650,1.2246691435582,20.3661305141964,9537009.41666667,2096640.58333333,7295855.81570513,8050889.875,3582760.125,15629002.3737981,102380400,0.113631613082192,0.115057566971936
"Q1 1997",14384420,22.8423370106391,20.3661305141964,10243175.25,4141244.75,7295855.81570513,8271030.8125,6113389.1875,15629002.3737981,110513000,0.130160433614145,0.115057566971936
"Q2 1997",14703270,26.589289311869,20.3661305141964,11004982.5,3698287.5,7295855.81570513,8501263.75,6202006.25,15629002.3737981,111240600,0.132175392797234,0.115057566971936
"Q3 1997",14735100,27.0135848015723,20.3661305141964,11767823.8333333,2967276.16666667,7295855.81570513,8732519.15625,6002580.84375,15629002.3737981,111372900,0.132304178125918,0.115057566971936
"Q4 1997",14985750,28.813828849931,20.3661305141964,12542975,2442775,7295855.81570513,8951312.65625,6034437.34375,15629002.3737981,112463700,0.133249661890903,0.115057566971936
"Q1 1998",13802420,-4.04604426177767,20.3661305141964,12785122.5,1017297.5,7295855.81570513,9132796.84375,4669623.15625,15629002.3737981,124599900,0.110773925179715,0.115057566971936
"Q2 1998",13931210,-5.25094077711965,20.3661305141964,12997974.1666667,933235.833333334,7295855.81570513,9318416.09375,4612793.90625,15629002.3737981,126220100,0.110372357492982,0.115057566971936
"Q3 1998",13943880,-5.36962762383696,20.3661305141964,13211533.3333333,732346.666666666,7295855.81570513,9505332.84375,4438547.15625,15629002.3737981,126673800,0.110077064081128,0.115057566971936
"Q4 1998",13983550,-6.68768663563719,20.3661305141964,13419087.5,564462.5,7295855.81570513,9701399.1875,4282150.8125,15629002.3737981,127508700,0.109667418772209,0.115057566971936
"Q1 1999",22482240,62.8862185037117,20.3661305141964,14316802.5,8165437.5,7295855.81570513,10178150.4375,12304089.5625,15629002.3737981,152899800,0.147039041254469,0.115057566971936
"Q2 1999",22470910,61.2990544252796,20.3661305141964,15221466.6666667,7249443.33333333,7295855.81570513,10653844.59375,11817065.40625,15629002.3737981,154572700,0.14537437723479,0.115057566971936
"Q3 1999",22598140,62.0649345806189,20.3661305141964,16137878.3333333,6460261.66666667,7295855.81570513,11133275.1875,11464864.8125,15629002.3737981,155105300,0.145695472688554,0.115057566971936
"Q4 1999",22731500,62.5588638078313,20.3661305141964,17062699.1666667,5668800.83333333,7295855.81570513,11609323.28125,11122176.71875,15629002.3737981,156308000,0.14542761726847,0.115057566971936
"Q1 2000",26996050,20.0772254010277,20.3661305141964,18113668.3333333,8882381.66666667,7295855.81570513,12226391.75,14769658.25,15629002.3737981,188138800,0.143490072223273,0.115057566971936
"Q2 2000",27417950,22.0153077912733,20.3661305141964,19173225,8244725,7295855.81570513,12855582.8125,14562367.1875,15629002.3737981,189212900,0.144905289227109,0.115057566971936
"Q3 2000",27382560,21.1717424531399,20.3661305141964,20227180,7155380,7295855.81570513,13483349.625,13899210.375,15629002.3737981,189176700,0.144745943871523,0.115057566971936
"Q4 2000",27566400,21.2696038536832,20.3661305141964,21275567.5,6290832.5,7295855.81570513,14114147.5625,13452252.4375,15629002.3737981,190061200,0.145039597771665,0.115057566971936
"Q1 2001",34175580,26.5947425641899,20.3661305141964,22973330.8333333,11202249.1666667,7295855.81570513,15001436.84375,19174143.15625,15629002.3737981,219455400,0.155729045628406,0.115057566971936
"Q2 2001",34267490,24.9819552519426,20.3661305141964,24668020.8333333,9599469.16666667,7295855.81570513,15893120.84375,18374369.15625,15629002.3737981,221312500,0.15483757130754,0.115057566971936
"Q3 2001",34909410,27.4877513278525,20.3661305141964,26415148.3333333,8494261.66666667,7295855.81570513,16804629.09375,18104780.90625,15629002.3737981,222149900,0.157143487347957,0.115057566971936
"Q4 2001",34188830,24.023557664403,20.3661305141964,28098921.6666667,6089908.33333333,7295855.81570513,17690649.15625,16498180.84375,15629002.3737981,224845200,0.152054969374485,0.115057566971936
"Q1 2002",28203420,-17.4749338562798,20.3661305141964,28575686.6666667,-372266.666666668,7295855.81570513,18387305.09375,9816114.90625,15629002.3737981,260033300,0.108460800982028,0.115057566971936
"Q2 2002",25855260,-24.5487195006112,20.3661305141964,28857715.8333333,-3002455.83333333,7295855.81570513,19021482.5,6833777.5,15629002.3737981,259699300,0.0995584508699099,0.115057566971936
"Q3 2002",24530880,-29.7298923127031,20.3661305141964,29018777.5,-4487897.5,7295855.81570513,19613666.125,4917213.875,15629002.3737981,271388900,0.0903901375479985,0.115057566971936
"Q4 2002",24878510,-27.2320521059071,20.3661305141964,29197695,-4319185,7295855.81570513,20213496.5625,4665013.4375,15629002.3737981,280348900,0.0887412435005095,0.115057566971936
"Q1 2003",17224820,-38.9264848021977,20.3661305141964,28383425.8333333,-11158605.8333333,7295855.81570513,20411251.875,-3186431.875,15629002.3737981,287092200,0.0599975199604866,0.115057566971936
"Q2 2003",19966500,-22.7758684306404,20.3661305141964,27762471.6666667,-7795971.66666667,7295855.81570513,20679674.0625,-713174.0625,15629002.3737981,289223200,0.0690349183606294,0.115057566971936
"Q3 2003",22104160,-9.89251099022946,20.3661305141964,27322605,-5218445,7295855.81570513,21014767.5,1089392.5,15629002.3737981,290231300,0.0761604968175383,0.115057566971936
"Q4 2003",34468860,38.5487314151852,20.3661305141964,27897810,6571050,7295855.81570513,21732766.25,12736093.75,15629002.3737981,296977900,0.116065404193376,0.115057566971936
"Q1 2004",39105650,127.030819480262,20.3661305141964,28308649.1666667,10797000.8333333,7295855.81570513,22588890.9375,16516759.0625,15629002.3737981,301442000,0.129728604507666,0.115057566971936
"Q2 2004",39549260,98.0780807853154,20.3661305141964,28748796.6666667,10800463.3333333,7295855.81570513,23461838.4375,16087421.5625,15629002.3737981,310204900,0.127493988650727,0.115057566971936
"Q3 2004",41631650,88.3430539771699,20.3661305141964,29308983.3333333,12322666.6666667,7295855.81570513,24400290,17231360,15629002.3737981,337115100,0.123493874940636,0.115057566971936
"Q4 2004",44123380,28.0093974677433,20.3661305141964,30136862.5,13986517.5,7295855.81570513,25415594.0625,18707785.9375,15629002.3737981,336530900,0.131112417908727,0.115057566971936
"Q1 2005",48471570,23.9502987419976,20.3661305141964,31825875,16645695,7295855.81570513,26480817.5,21990752.5,15629002.3737981,341656600,0.141872189795251,0.115057566971936
"Q2 2005",50367500,27.3538367089549,20.3661305141964,33868561.6666667,16498938.3333333,7295855.81570513,27595324.6875,22772175.3125,15629002.3737981,352358900,0.14294374287126,0.115057566971936
"Q3 2005",53213420,27.8196276150477,20.3661305141964,36258773.3333333,16954646.6666667,7295855.81570513,28797772.1875,24415647.8125,15629002.3737981,362710000,0.146710650381848,0.115057566971936
"Q4 2005",52649780,19.3239955778546,20.3661305141964,38573045.8333333,14076734.1666667,7295855.81570513,29974773.125,22675006.875,15629002.3737981,363442700,0.144864045969282,0.115057566971936
"Q1 2006",56324190,16.2004655512499,20.3661305141964,41831326.6666667,14492863.3333333,7295855.81570513,31303578.4375,25020611.5625,15629002.3737981,374999600,0.1501980002112,0.115057566971936
"Q2 2006",62973600,25.028242418226,20.3661305141964,45415251.6666667,17558348.3333333,7295855.81570513,32836153.125,30137446.875,15629002.3737981,398553300,0.158005466270133,0.115057566971936
"Q3 2006",70441410,32.3752730044414,20.3661305141964,49443355.8333333,20998054.1666667,7295855.81570513,34601700.9375,35839709.0625,15629002.3737981,408235300,0.172551001836441,0.115057566971936
"Q4 2006",77439950,47.0850400514494,20.3661305141964,53024280,24415670,7295855.81570513,36584713.4375,40855236.5625,15629002.3737981,419942400,0.18440612331596,0.115057566971936
"Q1 2007",77567950,37.7169383172665,20.3661305141964,56229471.6666667,21338478.3333333,7295855.81570513,38306141.875,39261808.125,15629002.3737981,441915900,0.175526497236239,0.115057566971936
"Q2 2007",75884690,20.5023851264657,20.3661305141964,59257424.1666667,16627265.8333333,7295855.81570513,39975322.5,35909367.5,15629002.3737981,460750600,0.164697973263627,0.115057566971936
"Q3 2007",73231790,3.96127789037727,20.3661305141964,61890769.1666667,11341020.8333333,7295855.81570513,41557624.0625,31674165.9375,15629002.3737981,463477500,0.158005059576786,0.115057566971936
"Q4 2007",78345970,1.1699645983759,20.3661305141964,64742651.6666667,13603318.3333333,7295855.81570513,43295576.25,35050393.75,15629002.3737981,464410400,0.168699861157287,0.115057566971936
"Q1 2008",80852050,4.23383626871665,20.3661305141964,67441025,13411025,7295855.81570513,44978576.25,35873473.75,15629002.3737981,479399200,0.168652868006455,0.115057566971936
"Q2 2008",77249620,1.79868956439039,20.3661305141964,69681201.6666667,7568418.33333333,7295855.81570513,46535815.9375,30713804.0625,15629002.3737981,498073900,0.155096703521305,0.115057566971936
"Q3 2008",76758240,4.8154633390772,20.3661305141964,71643270,5114970,7295855.81570513,48078805.9375,28679434.0625,15629002.3737981,524802600,0.146261165626847,0.115057566971936
"Q4 2008",77670290,-0.862431086117129,20.3661305141964,73728312.5,3941977.5,7295855.81570513,49644552.5,28025737.5,15629002.3737981,543696600,0.142855942082404,0.115057566971936
"Q1 2009",62887520,-22.2190160917379,20.3661305141964,74275256.6666667,-11387736.6666667,7295855.81570513,50541800.625,12345719.375,15629002.3737981,568505300,0.110619056673702,0.115057566971936
