"Period","Banks Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Consumer Credit to GDP","Mean_of_Ratio"
"Q2 2015",461628,2.80514529031339,8.32621823793586,445420.083333333,16207.9166666667,24221.9126602564,381812.875,79815.125,64433.9957932692,1984920,0.23256755939786,0.166956606549856
"Q3 2015",465957,2.74776403761003,8.32621823793586,448427.25,17529.75,24221.9126602564,388444.53125,77512.46875,64433.9957932692,2000864,0.232877896748605,0.166956606549856
"Q4 2015",469668,2.52633187439287,8.32621823793586,451489.666666667,18178.3333333333,24221.9126602564,394843.40625,74824.59375,64433.9957932692,1991680,0.235814990359897,0.166956606549856
"Q1 2016",464783,2.01021017330079,8.32621823793586,453950.333333333,10832.6666666667,24221.9126602564,400907.8125,63875.1875,64433.9957932692,1998420,0.232575234435204,0.166956606549856
"Q2 2016",472998,2.4630221736983,8.32621823793586,456783.416666667,16214.5833333333,24221.9126602564,406882.34375,66115.65625,64433.9957932692,2002152,0.23624480059456,0.166956606549856
"Q3 2016",477821,2.54615769266263,8.32621823793586,459750.5,18070.5,24221.9126602564,412633.3125,65187.6875,64433.9957932692,2035420,0.234753023945918,0.166956606549856
"Q4 2016",482480,2.72788437790099,8.32621823793586,462901.083333333,19578.9166666667,24221.9126602564,418250.40625,64229.59375,64433.9957932692,2066148,0.23351666966742,0.166956606549856
"Q1 2017",481392,3.57349558826377,8.32621823793586,466081.166666667,15310.8333333333,24221.9126602564,423607.40625,57784.59375,64433.9957932692,2107708,0.228395963767277,0.166956606549856
"Q2 2017",493521,4.33891898062994,8.32621823793586,469788.583333333,23732.4166666667,24221.9126602564,428932.25,64588.75,64433.9957932692,2130892,0.231603009443932,0.166956606549856
"Q3 2017",500657,4.77919555649501,8.32621823793586,473718.666666667,26938.3333333333,24221.9126602564,434099.21875,66557.78125,64433.9957932692,2143864,0.233530205274215,0.166956606549856
"Q4 2017",506315,4.94010114408887,8.32621823793586,477737,28578,24221.9126602564,439030.5,67284.5,64433.9957932692,2181964,0.232045533290192,0.166956606549856
"Q1 2018",503597,4.61266493834546,8.32621823793586,481734.75,21862.25,24221.9126602564,443698.1875,59898.8125,64433.9957932692,2202260,0.228672817923406,0.166956606549856
"Q2 2018",513194,3.98625387774786,8.32621823793586,486031.916666667,27162.0833333333,24221.9126602564,448435.59375,64758.40625,64433.9957932692,2219616,0.231208461283393,0.166956606549856
"Q3 2018",521715,4.2060732197892,8.32621823793586,490678.416666667,31036.5833333333,24221.9126602564,453206.53125,68508.46875,64433.9957932692,2244092,0.232483784087283,0.166956606549856
"Q4 2018",526146,3.91673167889555,8.32621823793586,495384.916666667,30761.0833333333,24221.9126602564,457934,68212,64433.9957932692,2229456,0.235997480999849,0.166956606549856
"Q1 2019",521817,3.61797230722185,8.32621823793586,500137.75,21679.25,24221.9126602564,462249.96875,59567.03125,64433.9957932692,2260360,0.230855704401069,0.166956606549856
"Q2 2019",530790,3.42872286114023,8.32621823793586,504953.75,25836.25,24221.9126602564,466700.8125,64089.1875,64433.9957932692,2305088,0.230268866091013,0.166956606549856
"Q3 2019",537115,2.95180318756409,8.32621823793586,509894.916666667,27220.0833333333,24221.9126602564,471152.65625,65962.34375,64433.9957932692,2312284,0.232287642867399,0.166956606549856
"Q4 2019",540252,2.68100489217822,8.32621823793586,514709.25,25542.75,24221.9126602564,474932.75,65319.25,64433.9957932692,2337684,0.231105658420899,0.166956606549856
