"Period","Outward FPI - Equity","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FPI - Equity to GDP","Mean_of_Ratio"
"Q1 2007",609165,24.8616440377804,12.0494346429312,454574,154591,100585.096590909,380295.34375,228869.65625,240097.857599432,1547276,0.393701576189381,0.411330563239552
"Q2 2007",616446,29.9211552930911,12.0494346429312,473992.416666667,142453.583333333,100585.096590909,390867.03125,225578.96875,240097.857599432,1576612,0.390994106349565,0.411330563239552
"Q3 2007",600713,18.180101238828,12.0494346429312,493985.416666667,106727.583333333,100585.096590909,400809.90625,199903.09375,240097.857599432,1582248,0.379657929730358,0.411330563239552
"Q4 2007",603164,3.59352913999529,12.0494346429312,512211.75,90952.25,100585.096590909,409039.6875,194124.3125,240097.857599432,1604508,0.375918350048738,0.411330563239552
"Q1 2008",569445,-6.52040087660979,12.0494346429312,527138.583333333,42306.4166666666,100585.096590909,415786.875,153658.125,240097.857599432,1637296,0.347796000234533,0.411330563239552
"Q2 2008",550934,-10.6273704428287,12.0494346429312,539192.166666667,11741.8333333334,100585.096590909,421650.8125,129283.1875,240097.857599432,1677448,0.328435814403785,0.411330563239552
"Q3 2008",493523,-17.8437956228682,12.0494346429312,545103.916666667,-51580.9166666666,100585.096590909,425673.625,67849.375,240097.857599432,1694512,0.29124786369173,0.411330563239552
"Q4 2008",437282,-27.5019729294189,12.0494346429312,544463.75,-107181.75,100585.096590909,428094.875,9187.125,240097.857599432,1618908,0.270109234125719,0.411330563239552
"Q1 2009",408145,-28.3258260235844,12.0494346429312,537819.833333333,-129674.833333333,100585.096590909,430041.28125,-21896.28125,240097.857599432,1557232,0.262096463468513,0.411330563239552
"Q2 2009",453742,-17.6413145676252,12.0494346429312,536091.916666667,-82349.9166666666,100585.096590909,432934.96875,20807.03125,240097.857599432,1548488,0.293022613026384,0.411330563239552
"Q3 2009",492462,-0.214984914583515,12.0494346429312,534771.833333333,-42309.8333333334,100585.096590909,438195.0625,54266.9375,240097.857599432,1567924,0.31408537658713,0.411330563239552
"Q4 2009",502501,14.9146317479338,12.0494346429312,528126.833333333,-25625.8333333334,100585.096590909,442411.78125,60089.21875,240097.857599432,1611692,0.311784757881779,0.411330563239552
"Q1 2010",514768,26.1238040402308,12.0494346429312,520260.416666667,-5492.41666666669,100585.096590909,446578.59375,68189.40625,240097.857599432,1644032,0.313113126751791,0.411330563239552
"Q2 2010",485276,6.94976440355973,12.0494346429312,509329.583333333,-24053.5833333333,100585.096590909,451305.78125,33970.21875,240097.857599432,1653240,0.293530279935158,0.411330563239552
"Q3 2010",545343,10.7380874057288,12.0494346429312,504715.416666667,40627.5833333333,100585.096590909,459126.84375,86216.15625,240097.857599432,1665372,0.32746017106088,0.411330563239552
"Q4 2010",577229,14.8712141866384,12.0494346429312,502554.166666667,74674.8333333333,100585.096590909,467134.625,110094.375,240097.857599432,1701548,0.339237564852711,0.411330563239552
"Q1 2011",596436,15.8650110340969,12.0494346429312,504803.416666667,91632.5833333333,100585.096590909,476928.40625,119507.59375,240097.857599432,1737952,0.343183240964077,0.411330563239552
"Q2 2011",607068,25.0974703055581,12.0494346429312,509481.25,97586.75,100585.096590909,486423.28125,120644.71875,240097.857599432,1759852,0.344954007496085,0.411330563239552
"Q3 2011",560014,2.69023348608124,12.0494346429312,515022.166666667,44991.8333333333,100585.096590909,493720.625,66293.375,240097.857599432,1785748,0.313601919195766,0.411330563239552
"Q4 2011",594078,2.91894551382554,12.0494346429312,528088.5,65989.5,100585.096590909,501106.90625,92971.09375,240097.857599432,1812700,0.327731008992111,0.411330563239552
"Q1 2012",664104,11.34539162626,12.0494346429312,549418.416666667,114685.583333333,100585.096590909,510236.28125,153867.71875,240097.857599432,1815120,0.36587333068888,0.411330563239552
"Q2 2012",645074,6.26058365784393,12.0494346429312,565362.75,79711.25,100585.096590909,518412.8125,126661.1875,240097.857599432,1818984,0.354634235375352,0.411330563239552
"Q3 2012",671241,19.8614677490206,12.0494346429312,580261,90980,100585.096590909,528114.1875,143126.8125,240097.857599432,1830636,0.366670927480941,0.411330563239552
"Q4 2012",699145,17.685724770148,12.0494346429312,596648,102497,100585.096590909,537948.46875,161196.53125,240097.857599432,1844064,0.3791327199056,0.411330563239552
"Q1 2013",768441,15.7109428643706,12.0494346429312,617787.416666667,150653.583333333,100585.096590909,549764.65625,218676.34375,240097.857599432,1876844,0.40943253674786,0.411330563239552
"Q2 2013",794667,23.1900526141187,12.0494346429312,643570,151097,100585.096590909,561901.40625,232765.59375,240097.857599432,1886592,0.421218260227967,0.411330563239552
"Q3 2013",830339,23.7020682586433,12.0494346429312,667319.666666667,163019.333333333,100585.096590909,574643.8125,255695.1875,240097.857599432,1912428,0.434180528626437,0.411330563239552
"Q4 2013",911521,30.3765313347017,12.0494346429312,695177.333333333,216343.666666667,100585.096590909,589223.71875,322297.28125,240097.857599432,1933124,0.471527434349788,0.411330563239552
"Q1 2014",964034,25.4532228238733,12.0494346429312,725810.5,238223.5,100585.096590909,604103.78125,359930.21875,240097.857599432,1963452,0.490989339184253,0.411330563239552
"Q2 2014",976916,22.9340088364057,12.0494346429312,756631.166666667,220284.833333333,100585.096590909,619805,357111,240097.857599432,1988404,0.49130659564153,0.411330563239552
"Q3 2014",1018540,22.6655618970083,12.0494346429312,794841.666666667,223698.333333333,100585.096590909,635749.90625,382790.09375,240097.857599432,2013792,0.50578212645596,0.411330563239552
"Q4 2014",1084327,18.9579834145346,12.0494346429312,835695.75,248631.25,100585.096590909,651440.09375,432886.90625,240097.857599432,2013944,0.538409707519176,0.411330563239552
"Q1 2015",1186392,23.0653690637467,12.0494346429312,879219.75,307172.25,100585.096590909,669478.4375,516913.5625,240097.857599432,1984300,0.597889432041526,0.411330563239552
"Q2 2015",1190348,21.8475283442998,12.0494346429312,924659.25,265688.75,100585.096590909,687412.875,502935.125,240097.857599432,1984920,0.599695705620378,0.411330563239552
"Q3 2015",1154525,13.3509729612975,12.0494346429312,964932.916666667,189592.083333333,100585.096590909,704719.5,449805.5,240097.857599432,2000864,0.577013230284517,0.411330563239552
