"Period","Total Gross External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Gross External Debt to GDP","Mean_of_Ratio"
"Q1 1997",696885,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,891748,NA,0.795509240361778
"Q2 1997",703273,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,899412,NA,0.795509240361778
"Q3 1997",703157,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,912564,NA,0.795509240361778
"Q4 1997",729917,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,923980,NA,0.795509240361778
"Q1 1998",741723,6.43406013904733,6.42219232453062,671498.75,70224.25,119033.269886364,556556.03125,185166.96875,303001.928267045,934612,0.793615960419939,0.795509240361778
"Q2 1998",767416,9.12064020657696,6.42219232453062,682351.25,85064.75,119033.269886364,569090.40625,198325.59375,303001.928267045,935212,0.820579718823112,0.795509240361778
"Q3 1998",785619,11.7273951621046,6.42219232453062,695353.333333333,90265.6666666666,119033.269886364,581750.9375,203868.0625,303001.928267045,938872,0.836769016436745,0.795509240361778
"Q4 1998",807730,10.6605271558273,6.42219232453062,709658.916666667,98071.0833333334,119033.269886364,594768.59375,212961.40625,303001.928267045,953496,0.847124686417143,0.795509240361778
"Q1 1999",766368,3.32266897480596,6.42219232453062,720350.916666667,46017.0833333334,119033.269886364,606009.53125,160358.46875,303001.928267045,975240,0.785825027685493,0.795509240361778
"Q2 1999",726442,-5.33921627904552,6.42219232453062,727437.25,-995.25,119033.269886364,616074.1875,110367.8125,303001.928267045,994172,0.730700522645981,0.795509240361778
"Q3 1999",733431,-6.64291469529123,6.42219232453062,735231.666666667,-1800.66666666663,119033.269886364,625985.40625,107445.59375,303001.928267045,1021308,0.71812910503002,0.795509240361778
"Q4 1999",725382,-10.1949909004246,6.42219232453062,740611.916666667,-15229.9166666666,119033.269886364,635029.21875,90352.78125,303001.928267045,1040988,0.696820712630693,0.795509240361778
"Q1 2000",721733,-5.82422543738778,6.42219232453062,742682.583333333,-20949.5833333334,119033.269886364,643637.4375,78095.5625,303001.928267045,1070188,0.674398330013044,0.795509240361778
"Q2 2000",739807,1.83978899898409,6.42219232453062,745727.083333333,-5920.08333333337,119033.269886364,652231.5625,87575.4375,303001.928267045,1099448,0.672889486360428,0.795509240361778
"Q3 2000",731983,-0.197428251601037,6.42219232453062,748129.25,-16146.25,119033.269886364,660011.0625,71971.9375,303001.928267045,1121768,0.65252619079881,0.795509240361778
"Q4 2000",735188,1.35183944459609,6.42219232453062,748568.5,-13380.5,119033.269886364,667793.59375,67394.40625,303001.928267045,1132880,0.648954876068074,0.795509240361778
"Q1 2001",777218,7.68774602242103,6.42219232453062,751526.416666667,25691.5833333334,119033.269886364,675813.4375,101404.5625,303001.928267045,1149924,0.675886406405989,0.795509240361778
"Q2 2001",754731,2.01728288594187,6.42219232453062,750469.333333333,4261.66666666663,119033.269886364,682944.6875,71786.3125,303001.928267045,1152860,0.654659715837135,0.795509240361778
"Q3 2001",796045,8.75184259743737,6.42219232453062,751338.166666667,44706.8333333334,119033.269886364,690678.96875,105366.03125,303001.928267045,1138804,0.699018443911331,0.795509240361778
"Q4 2001",825097,12.2293889454126,6.42219232453062,752785.416666667,72311.5833333334,119033.269886364,699262.8125,125834.1875,303001.928267045,1136584,0.725944584826111,0.795509240361778
"Q1 2002",838275,7.85583967432561,6.42219232453062,758777.666666667,79497.3333333334,119033.269886364,708214.96875,130060.03125,303001.928267045,1158640,0.723499102395912,0.795509240361778
"Q2 2002",825391,9.36227609572152,6.42219232453062,767023.416666667,58367.5833333334,119033.269886364,716074.71875,109316.28125,303001.928267045,1185892,0.696008574136599,0.795509240361778
"Q3 2002",881547,10.740850077571,6.42219232453062,779366.416666667,102180.583333333,119033.269886364,725907.8125,155639.1875,303001.928267045,1204144,0.732094334232451,0.795509240361778
"Q4 2002",895065,8.47997265776024,6.42219232453062,793506.666666667,101558.333333333,119033.269886364,735472.78125,159592.21875,303001.928267045,1226100,0.730009787129924,0.795509240361778
"Q1 2003",877364,4.66302824252185,6.42219232453062,806475.916666667,70888.0833333334,119033.269886364,742806.78125,134557.21875,303001.928267045,1250088,0.70184179033796,0.795509240361778
"Q2 2003",836527,1.34917875285774,6.42219232453062,814535.916666667,21991.0833333334,119033.269886364,749036.1875,87490.8125,303001.928267045,1237720,0.675861261028342,0.795509240361778
"Q3 2003",816717,-7.35411725069679,6.42219232453062,821597.083333333,-4880.08333333337,119033.269886364,754883.78125,61833.21875,303001.928267045,1258296,0.649065879570467,0.795509240361778
"Q4 2003",817755,-8.63736153240268,6.42219232453062,828477.666666667,-10722.6666666666,119033.269886364,760561.65625,57193.34375,303001.928267045,1272884,0.642442673487922,0.795509240361778
"Q1 2004",821911,-6.32040977291067,6.42219232453062,832202.083333333,-10291.0833333334,119033.269886364,766306.875,55604.125,303001.928267045,1296216,0.634084905602153,0.795509240361778
"Q2 2004",823739,-1.52870140473649,6.42219232453062,837952.75,-14213.75,119033.269886364,772004.78125,51734.21875,303001.928267045,1328148,0.620216271078223,0.795509240361778
"Q3 2004",807075,-1.18058029892852,6.42219232453062,838871.916666667,-31796.9166666666,119033.269886364,777229.0625,29845.9375,303001.928267045,1351480,0.597178648592654,0.795509240361778
"Q4 2004",795408,-2.73272557183998,6.42219232453062,836397.833333333,-40989.8333333334,119033.269886364,781434.96875,13973.03125,303001.928267045,1367080,0.581829885595576,0.795509240361778
"Q1 2005",800597,-2.59322481387888,6.42219232453062,833258,-32661,119033.269886364,784675.96875,15921.03125,303001.928267045,1380324,0.580006578165706,0.795509240361778
"Q2 2005",822016,-0.209168195265733,6.42219232453062,832976.75,-10960.75,119033.269886364,788386.6875,33629.3125,303001.928267045,1399608,0.587318734960075,0.795509240361778
"Q3 2005",822199,1.873927454078,6.42219232453062,828031.083333333,-5832.08333333337,119033.269886364,792106.75,30092.25,303001.928267045,1436992,0.572166720482786,0.795509240361778
"Q4 2005",818019,2.84269205238067,6.42219232453062,821610.583333333,-3591.58333333337,119033.269886364,794859.9375,23159.0625,303001.928267045,1469436,0.556689097041314,0.795509240361778
"Q1 2006",836898,4.53424132241315,6.42219232453062,818238.416666667,18659.5833333334,119033.269886364,797834.15625,39063.84375,303001.928267045,1476000,0.56700406504065,0.795509240361778
"Q2 2006",849539,3.34823166459047,6.42219232453062,819322.75,30216.25,119033.269886364,800400.5,49138.5,303001.928267045,1490716,0.56988655116065,0.795509240361778
"Q3 2006",870998,5.93518114227821,6.42219232453062,823846.166666667,47151.8333333334,119033.269886364,803068.59375,67929.40625,303001.928267045,1504936,0.578760824380572,0.795509240361778
"Q4 2006",893291,9.20174225782042,6.42219232453062,830140.833333333,63150.1666666666,119033.269886364,805742.375,87548.625,303001.928267045,1514764,0.589722887525714,0.795509240361778
"Q1 2007",931294,11.2792717870039,6.42219232453062,839256.083333333,92037.9166666666,119033.269886364,810896.3125,120397.6875,303001.928267045,1547276,0.601892616443349,0.795509240361778
"Q2 2007",907095,6.77496854176206,6.42219232453062,846202.416666667,60892.5833333334,119033.269886364,816541.71875,90553.28125,303001.928267045,1576612,0.575344472831616,0.795509240361778
"Q3 2007",881838,1.24454935602608,6.42219232453062,852432.666666667,29405.3333333334,119033.269886364,821179.4375,60658.5625,303001.928267045,1582248,0.557332352450438,0.795509240361778
"Q4 2007",903355,1.12662055254111,6.42219232453062,861428.25,41926.75,119033.269886364,826741.09375,76613.90625,303001.928267045,1604508,0.563010592655194,0.795509240361778
"Q1 2008",981058,5.34353276194199,6.42219232453062,876466.666666667,104591.333333333,119033.269886364,834845,146213,303001.928267045,1637296,0.599194036997586,0.795509240361778
"Q2 2008",992894,9.4586564803025,6.42219232453062,890706.5,102187.5,119033.269886364,842753.96875,150140.03125,303001.928267045,1677448,0.591907468964761,0.795509240361778
"Q3 2008",1015975,15.2110705140854,6.42219232453062,906854.5,109120.5,119033.269886364,851628.71875,164346.28125,303001.928267045,1694512,0.599567899194576,0.795509240361778
"Q4 2008",1121399,24.1371332421916,6.42219232453062,932136.166666667,189262.833333333,119033.269886364,863697.8125,257701.1875,303001.928267045,1618908,0.692688528316618,0.795509240361778
"Q1 2009",1165029,18.7523061837323,6.42219232453062,959480.416666667,205548.583333333,119033.269886364,875816.90625,289212.09375,303001.928267045,1557232,0.748140932115446,0.795509240361778
"Q2 2009",1142104,15.0277874576742,6.42219232453062,983860.833333333,158243.166666667,119033.269886364,887922.3125,254181.6875,303001.928267045,1548488,0.737560768956556,0.795509240361778
"Q3 2009",1139900,12.19764265853,6.42219232453062,1006269.33333333,133630.666666667,119033.269886364,898667.78125,241232.21875,303001.928267045,1567924,0.727012278656363,0.795509240361778
"Q4 2009",1150994,2.63911417791526,6.42219232453062,1027744.58333333,123249.416666667,119033.269886364,908852.0625,242141.9375,303001.928267045,1611692,0.714152580021493,0.795509240361778
"Q1 2010",1166018,0.0848905907063258,6.42219232453062,1047304.91666667,118713.083333333,119033.269886364,919094.03125,246923.96875,303001.928267045,1644032,0.709242885783245,0.795509240361778
"Q2 2010",1211381,6.06573481924588,6.42219232453062,1072662.08333333,138718.916666667,119033.269886364,931156.21875,280224.78125,303001.928267045,1653240,0.732731484841886,0.795509240361778
"Q3 2010",1226694,7.6141766821651,6.42219232453062,1101400.08333333,125293.916666667,119033.269886364,941942.0625,284751.9375,303001.928267045,1665372,0.736588582010506,0.795509240361778
"Q4 2010",1227030,6.60611610486241,6.42219232453062,1128373,98657,119033.269886364,952315.96875,274714.03125,303001.928267045,1701548,0.721125704358619,0.795509240361778
"Q1 2011",1230318,5.5144946304431,6.42219232453062,1149144.66666667,81173.3333333333,119033.269886364,963345.78125,266972.21875,303001.928267045,1737952,0.707912531531366,0.795509240361778
"Q2 2011",1257797,3.83165989890877,6.42219232453062,1171219.91666667,86577.0833333333,119033.269886364,976510.46875,281286.53125,303001.928267045,1759852,0.714717487606912,0.795509240361778
"Q3 2011",1336983,8.99075074957569,6.42219232453062,1197970.58333333,139012.416666667,119033.269886364,992768.78125,344214.21875,303001.928267045,1785748,0.748696344613014,0.795509240361778
"Q4 2011",1345428,9.64915283244908,6.42219232453062,1216639.66666667,128788.333333333,119033.269886364,1009258.5625,336169.4375,303001.928267045,1812700,0.742223202956915,0.795509240361778
"Q1 2012",1378329,12.0303043603361,6.42219232453062,1234414.66666667,143914.333333333,119033.269886364,1026646.625,351682.375,303001.928267045,1815120,0.759359711754595,0.795509240361778
"Q2 2012",1417440,12.6922706923295,6.42219232453062,1257359.33333333,160080.666666667,119033.269886364,1045199.78125,372240.21875,303001.928267045,1818984,0.779248195696059,0.795509240361778
"Q3 2012",1467819,9.78591350824954,6.42219232453062,1284685.91666667,183133.083333333,119033.269886364,1065848.03125,401970.96875,303001.928267045,1830636,0.801808224027059,0.795509240361778
"Q4 2012",1541073,14.5414693316922,6.42219232453062,1317192.5,223880.5,119033.269886364,1089150.0625,451922.9375,303001.928267045,1844064,0.835693880472695,0.795509240361778
"Q1 2013",1568723,13.8133928837019,6.42219232453062,1350751.25,217971.75,119033.269886364,1113154,455569,303001.928267045,1876844,0.835830255471419,0.795509240361778
"Q2 2013",1570794,10.8190822891974,6.42219232453062,1380702.33333333,190091.666666667,119033.269886364,1136553.3125,434240.6875,303001.928267045,1886592,0.832609276409526,0.795509240361778
