"Period","S&P 500 Composite","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Gold","Ratio: S&P 500 Composite to Gold","Mean_of_Ratio"
"Q2 1976",102.24,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,128.7,NA,2.21698080586708
"Q3 1976",103.59,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,123.7,NA,2.21698080586708
"Q4 1976",104.17,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,116.13,NA,2.21698080586708
"Q1 1977",107,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,134.63,NA,2.21698080586708
"Q2 1977",99.21,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,149.13,NA,2.21698080586708
"Q3 1977",100.1,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,142.38,NA,2.21698080586708
"Q4 1977",96.74,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,155.38,NA,2.21698080586708
"Q1 1978",95.1,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,165.13,NA,2.21698080586708
"Q2 1978",88.46,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,182.38,NA,2.21698080586708
"Q3 1978",95.09,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,184,NA,2.21698080586708
"Q4 1978",102.96,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,217.63,NA,2.21698080586708
"Q1 1979",96.11,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,226.38,NA,2.21698080586708
"Q2 1979",100.9,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,239.63,NA,2.21698080586708
"Q3 1979",101.99,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,282.13,NA,2.21698080586708
"Q4 1979",108.56,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,414.25,NA,2.21698080586708
"Q1 1980",107.94,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,526.5,NA,2.21698080586708
"Q2 1980",102.18,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,503,NA,2.21698080586708
"Q3 1980",114.93,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,660.5,NA,2.21698080586708
"Q4 1980",127.13,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,676.5,NA,2.21698080586708
"Q1 1981",135.76,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,589.5,NA,2.21698080586708
"Q2 1981",136.57,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,517.5,NA,2.21698080586708
"Q3 1981",129.77,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,425.5,NA,2.21698080586708
"Q4 1981",117.08,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,435,NA,2.21698080586708
