"Period","Inward FDI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FDI to GDP","Mean_of_Ratio"
"Q1 1994",248428,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,772656,NA,0.537485456744167
"Q2 1994",235371,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,783660,NA,0.537485456744167
"Q3 1994",252606,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,800784,NA,0.537485456744167
"Q4 1994",255872,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,810788,NA,0.537485456744167
"Q1 1995",259577,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,823972,NA,0.537485456744167
"Q2 1995",271633,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,828856,NA,0.537485456744167
"Q3 1995",272466,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,832976,NA,0.537485456744167
"Q4 1995",285580,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,840680,NA,0.537485456744167
"Q1 1996",313144,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,844208,NA,0.537485456744167
"Q2 1996",323497,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,852904,NA,0.537485456744167
"Q3 1996",325010,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,864544,NA,0.537485456744167
"Q4 1996",356917,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,877680,NA,0.537485456744167
"Q1 1997",357294,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,891748,NA,0.537485456744167
"Q2 1997",401063,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,899412,NA,0.537485456744167
"Q3 1997",416446,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,912564,NA,0.537485456744167
"Q4 1997",407533,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,923980,NA,0.537485456744167
"Q1 1998",425215,19.009835037812,6.50649996321927,346316.5,78898.5,60766.3541666667,266853.90625,158361.09375,171813.219105114,934612,0.454964199047305,0.537485456744167
"Q2 1998",459676,14.6144121995796,6.50649996321927,361986.75,97689.25,60766.3541666667,275206.96875,184469.03125,171813.219105114,935212,0.491520639170584,0.537485456744167
