"Period","General Gov Gross Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov Gross Debt to GDP","Mean_of_Ratio"
"Q3 1994",1000377,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,800784,NA,1.0385999661551
"Q4 1994",1012342,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,810788,NA,1.0385999661551
"Q1 1995",1044880,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,823972,NA,1.0385999661551
"Q2 1995",1059842,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,828856,NA,1.0385999661551
"Q3 1995",1078295,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,832976,NA,1.0385999661551
"Q4 1995",1087891,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,840680,NA,1.0385999661551
"Q1 1996",1116162,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,844208,NA,1.0385999661551
"Q2 1996",1115600,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,852904,NA,1.0385999661551
"Q3 1996",1121018,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,864544,NA,1.0385999661551
"Q4 1996",1120506,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,877680,NA,1.0385999661551
"Q1 1997",1133018,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,891748,NA,1.0385999661551
"Q2 1997",1130445,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,899412,NA,1.0385999661551
"Q3 1997",1125911,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,912564,NA,1.0385999661551
"Q4 1997",1132664,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,923980,NA,1.0385999661551
"Q1 1998",1153450,1.80332527815092,3.65886660965548,1114566.83333333,38883.1666666667,82495.4479166667,954543.40625,198906.59375,228011.432883523,934612,1.23414850226618,1.0385999661551
"Q2 1998",1148279,1.57760881776645,3.65886660965548,1121936.58333333,26342.4166666667,82495.4479166667,968971.96875,179307.03125,228011.432883523,935212,1.22782748724353,1.0385999661551
"Q3 1998",1141959,1.42533468453546,3.65886660965548,1127241.91666667,14717.0833333333,82495.4479166667,982857.65625,159101.34375,228011.432883523,938872,1.21630957148578,1.0385999661551
"Q4 1998",1155081,1.97913944470734,3.65886660965548,1132841.08333333,22239.9166666667,82495.4479166667,996737.5625,158343.4375,228011.432883523,953496,1.21141672330036,1.0385999661551
"Q1 1999",1179219,2.23408036759287,3.65886660965548,1138095.83333333,41123.1666666667,82495.4479166667,1010496.03125,168722.96875,228011.432883523,975240,1.20915774578565,1.0385999661551
"Q2 1999",1174360,2.27131211142937,3.65886660965548,1142992.5,31367.5,82495.4479166667,1023715.59375,150644.40625,228011.432883523,994172,1.18124429173222,1.0385999661551
