"Period","Banks Non-Residential Mortgages","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Non-Residential Mortgages to GDP","Mean_of_Ratio"
"Q3 1980",329,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,324720,NA,0.0195175107541062
"Q4 1980",391,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,339304,NA,0.0195175107541062
"Q1 1981",401,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,355992,NA,0.0195175107541062
"Q2 1981",439,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,367992,NA,0.0195175107541062
"Q3 1981",573,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,372820,NA,0.0195175107541062
"Q4 1981",2068,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,376628,NA,0.0195175107541062
"Q1 1982",2217,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,383004,NA,0.0195175107541062
"Q2 1982",2359,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,386516,NA,0.0195175107541062
"Q3 1982",2442,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,389560,NA,0.0195175107541062
"Q4 1982",2414,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,393644,NA,0.0195175107541062
"Q1 1983",2368,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,403236,NA,0.0195175107541062
"Q2 1983",2404,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,415804,NA,0.0195175107541062
"Q3 1983",2412,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,428960,NA,0.0195175107541062
"Q4 1983",2447,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,437264,NA,0.0195175107541062
"Q1 1984",2587,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,447840,NA,0.0195175107541062
"Q2 1984",2728,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,459552,NA,0.0195175107541062
"Q3 1984",2900,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,465180,NA,0.0195175107541062
"Q4 1984",3065,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,475372,NA,0.0195175107541062
"Q1 1985",3201,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,486096,NA,0.0195175107541062
"Q2 1985",3196,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,495352,NA,0.0195175107541062
"Q3 1985",3322,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,503872,NA,0.0195175107541062
"Q4 1985",3475,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,514788,NA,0.0195175107541062
"Q1 1986",3686,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,518612,NA,0.0195175107541062
"Q2 1986",3708,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,523844,NA,0.0195175107541062
"Q3 1986",3806,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,530220,NA,0.0195175107541062
"Q4 1986",3960,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,533844,NA,0.0195175107541062
"Q1 1987",4067,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,552484,NA,0.0195175107541062
"Q2 1987",4294,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,567420,NA,0.0195175107541062
"Q3 1987",4393,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,581680,NA,0.0195175107541062
"Q4 1987",4577,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,595760,NA,0.0195175107541062
"Q1 1988",4919,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,610948,NA,0.0195175107541062
"Q2 1988",5193,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,621168,NA,0.0195175107541062
"Q3 1988",5577,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,631392,NA,0.0195175107541062
"Q4 1988",5795,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,644068,NA,0.0195175107541062
"Q1 1989",5986,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,656160,NA,0.0195175107541062
"Q2 1989",6403,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,669792,NA,0.0195175107541062
"Q3 1989",6692,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,679132,NA,0.0195175107541062
"Q4 1989",6801,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,681232,NA,0.0195175107541062
"Q1 1990",6979,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,691928,NA,0.0195175107541062
"Q2 1990",7292,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,695624,NA,0.0195175107541062
"Q3 1990",7315,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,697684,NA,0.0195175107541062
"Q4 1990",7484,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,696768,NA,0.0195175107541062
"Q1 1991",7576,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,694008,NA,0.0195175107541062
"Q2 1991",7835,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,701572,NA,0.0195175107541062
"Q3 1991",8272,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,704796,NA,0.0195175107541062
"Q4 1991",8782,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,706716,NA,0.0195175107541062
"Q1 1992",9234,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,710008,NA,0.0195175107541062
"Q2 1992",9529,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,714744,NA,0.0195175107541062
"Q3 1992",9554,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,721660,NA,0.0195175107541062
"Q4 1992",9933,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,727332,NA,0.0195175107541062
"Q1 1993",12170,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,733952,NA,0.0195175107541062
"Q2 1993",12221,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,745360,NA,0.0195175107541062
"Q3 1993",14237,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,750068,NA,0.0195175107541062
"Q4 1993",14061,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,758768,NA,0.0195175107541062
"Q1 1994",13989,14.9465899753492,7.14435237256936,10818.0833333333,3170.91666666667,3273.64903846154,7582.3125,6406.6875,8363.43930288462,772656,0.0181050816922408,0.0195175107541062
"Q2 1994",15106,23.60690614516,7.14435237256936,11424,3682,3273.64903846154,7938.5,7167.5,8363.43930288462,783660,0.0192762167266417,0.0195175107541062
"Q3 1994",14550,2.1984968743415,7.14435237256936,11947.1666666667,2602.83333333333,3273.64903846154,8274.25,6275.75,8363.43930288462,800784,0.0181696937001738,0.0195175107541062
"Q4 1994",14149,0.625844534528127,7.14435237256936,12394.4166666667,1754.58333333333,3273.64903846154,8592.65625,5556.34375,8363.43930288462,810788,0.0174509242860032,0.0195175107541062
"Q1 1995",14158,1.20809207234255,7.14435237256936,12804.75,1353.25,3273.64903846154,8908,5250,8363.43930288462,823972,0.0171826227104805,0.0195175107541062
"Q2 1995",14170,-6.19621342512909,7.14435237256936,13191.5,978.5,3273.64903846154,9216.625,4953.375,8363.43930288462,828856,0.0170958525968323,0.0195175107541062
"Q3 1995",14027,-3.59450171821306,7.14435237256936,13564.25,462.75,3273.64903846154,9517.6875,4509.3125,8363.43930288462,832976,0.0168396208294117,0.0195175107541062
"Q4 1995",13324,-5.83080076330483,7.14435237256936,13846.8333333333,-522.833333333334,3273.64903846154,9791.03125,3532.96875,8363.43930288462,840680,0.0158490745586906,0.0195175107541062
"Q1 1996",13151,-7.11258652352027,7.14435237256936,13928.5833333333,-777.583333333334,3273.64903846154,10048.28125,3102.71875,8363.43930288462,844208,0.0155779144476243,0.0195175107541062
"Q2 1996",12758,-9.96471418489767,7.14435237256936,13973.3333333333,-1215.33333333333,3273.64903846154,10284.6875,2473.3125,8363.43930288462,852904,0.014958307148284,0.0195175107541062
