"Period","Money Supply M2","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Money Supply M2 to GDP","Mean_of_Ratio"
"Q1 1977",84262,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,219892,NA,0.559288545922521
"Q2 1977",86721,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,224772,NA,0.559288545922521
"Q3 1977",89678,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,229704,NA,0.559288545922521
"Q4 1977",91825,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,235948,NA,0.559288545922521
"Q1 1978",94674,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,241296,NA,0.559288545922521
"Q2 1978",97419,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,248648,NA,0.559288545922521
"Q3 1978",100896,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,255176,NA,0.559288545922521
"Q4 1978",104413,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,263056,NA,0.559288545922521
"Q1 1979",108556,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,271352,NA,0.559288545922521
"Q2 1979",112770,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,284116,NA,0.559288545922521
"Q3 1979",118071,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,292900,NA,0.559288545922521
"Q4 1979",123787,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,301924,NA,0.559288545922521
"Q1 1980",130468,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,309756,NA,0.559288545922521
"Q2 1980",134370,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,317208,NA,0.559288545922521
"Q3 1980",140038,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,324720,NA,0.559288545922521
