"Period","Total Household Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Disposable Income","Ratio: Total Household Credit to Disposable Income","Mean_of_Ratio"
"Q1 1990",331506,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,403280,NA,1.35429011686757
"Q2 1990",340855,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,392652,NA,1.35429011686757
"Q3 1990",346862,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,404988,NA,1.35429011686757
"Q4 1990",351783,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,412232,NA,1.35429011686757
"Q1 1991",353984,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,417232,NA,1.35429011686757
"Q2 1991",361175,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,412040,NA,1.35429011686757
"Q3 1991",368178,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,420200,NA,1.35429011686757
"Q4 1991",373695,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,424068,NA,1.35429011686757
"Q1 1992",375351,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,419928,NA,1.35429011686757
"Q2 1992",382444,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,428816,NA,1.35429011686757
"Q3 1992",388538,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,442316,NA,1.35429011686757
"Q4 1992",394782,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,435524,NA,1.35429011686757
"Q1 1993",397264,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,439276,NA,1.35429011686757
"Q2 1993",402434,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,458584,NA,1.35429011686757
"Q3 1993",409402,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,444704,NA,1.35429011686757
"Q4 1993",415418,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,442096,NA,1.35429011686757
"Q1 1994",419009,5.47369003987273,6.78348274075884,390640.833333333,28368.1666666667,94758.0120192308,318887.375,100121.625,250590.173076923,450008,0.931114557963414,1.35429011686757
"Q2 1994",428114,6.38117057703872,6.78348274075884,396219.083333333,31894.9166666667,94758.0120192308,326267.25,101846.75,250590.173076923,454520,0.94190354659861,1.35429011686757
"Q3 1994",436659,6.65775936609982,6.78348274075884,401925.833333333,34733.1666666667,94758.0120192308,333665.1875,102993.8125,250590.173076923,454144,0.961498995913191,1.35429011686757
"Q4 1994",443393,6.73418099360163,6.78348274075884,407734,35659,94758.0120192308,341056.25,102336.75,250590.173076923,459636,0.964661166662315,1.35429011686757
"Q1 1995",445980,6.43685457830261,6.78348274075884,413619.75,32360.25,94758.0120192308,348368.875,97611.125,250590.173076923,461916,0.96550022081937,1.35429011686757
"Q2 1995",449183,4.92135272380721,6.78348274075884,419181.333333333,30001.6666666667,94758.0120192308,355449.9375,93733.0625,250590.173076923,465884,0.964152020674674,1.35429011686757
"Q3 1995",456757,4.60267623019335,6.78348274075884,424866.25,31890.75,94758.0120192308,362469.71875,94287.28125,250590.173076923,465836,0.980510308348861,1.35429011686757
"Q4 1995",461944,4.18387299754394,6.78348274075884,430463.083333333,31480.9166666667,94758.0120192308,369346.75,92597.25,250590.173076923,469072,0.984804038612409,1.35429011686757
"Q1 1996",467277,4.7753262478138,6.78348274075884,436297.5,30979.5,94758.0120192308,376153.78125,91123.21875,250590.173076923,472160,0.989658166723145,1.35429011686757
"Q2 1996",472967,5.29494660305488,6.78348274075884,442175.25,30791.75,94758.0120192308,382777.71875,90189.28125,250590.173076923,473700,0.998452607135318,1.35429011686757
"Q3 1996",479964,5.08081977944509,6.78348274075884,448055.416666667,31908.5833333333,94758.0120192308,389257.8125,90706.1875,250590.173076923,475332,1.00974476786751,1.35429011686757
"Q4 1996",489726,6.01414890116551,6.78348274075884,454247.75,35478.25,94758.0120192308,395769.09375,93956.90625,250590.173076923,480920,1.01831073775264,1.35429011686757
"Q1 1997",498500,6.68190388142365,6.78348274075884,460872,37628,94758.0120192308,402326.6875,96173.3125,250590.173076923,485296,1.02720813688965,1.35429011686757
"Q2 1997",505535,6.88589267327319,6.78348274075884,467323.75,38211.25,94758.0120192308,408787.40625,96747.59375,250590.173076923,487336,1.03734384490372,1.35429011686757
"Q3 1997",514947,7.28867165037378,6.78348274075884,473847.75,41099.25,94758.0120192308,415193.71875,99753.28125,250590.173076923,501280,1.02726420363868,1.35429011686757
