"Period","Outward FPI - Bonds","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FPI - Bonds to GDP","Mean_of_Ratio"
"Q3 2008",143593,-5.94611943329119,16.0885121418212,134601.083333333,8991.91666666666,32234.8106060606,82720.75,60872.25,73499.6981534091,1694512,0.0847400313482584,0.100368706378029
"Q4 2008",142416,-7.20029192133762,16.0885121418212,139069.416666667,3346.58333333334,32234.8106060606,86001.59375,56414.40625,73499.6981534091,1618908,0.0879704096835645,0.100368706378029
"Q1 2009",146136,-7.07481781994379,16.0885121418212,143067.666666667,3068.33333333334,32234.8106060606,89328.34375,56807.65625,73499.6981534091,1557232,0.093843435018032,0.100368706378029
"Q2 2009",144307,-4.58221202483519,16.0885121418212,146222.75,-1915.75,32234.8106060606,92680.28125,51626.71875,73499.6981534091,1548488,0.0931921978084428,0.100368706378029
"Q3 2009",137493,-4.24811794446804,16.0885121418212,147820.25,-10327.25,32234.8106060606,95680.0625,41812.9375,73499.6981534091,1567924,0.0876911125794363,0.100368706378029
"Q4 2009",138140,-3.00247163240085,16.0885121418212,148193.583333333,-10053.5833333333,32234.8106060606,98738.5625,39401.4375,73499.6981534091,1611692,0.0857111656569618,0.100368706378029
"Q1 2010",137413,-5.96909727924673,16.0885121418212,147004.416666667,-9591.41666666666,32234.8106060606,101707.84375,35705.15625,73499.6981534091,1644032,0.083582922960137,0.100368706378029
"Q2 2010",146076,1.22585875945034,16.0885121418212,145850.833333333,225.166666666657,32234.8106060606,104904.78125,41171.21875,73499.6981534091,1653240,0.0883574072729912,0.100368706378029
"Q3 2010",153856,11.900969503902,16.0885121418212,145949.583333333,7906.41666666666,32234.8106060606,108197.53125,45658.46875,73499.6981534091,1665372,0.0923853649514943,0.100368706378029
"Q4 2010",155587,12.6299406399305,16.0885121418212,146126.333333333,9460.66666666666,32234.8106060606,111570.1875,44016.8125,73499.6981534091,1701548,0.0914385018818158,0.100368706378029
"Q1 2011",150768,9.71887667105732,16.0885121418212,145585.166666667,5182.83333333334,32234.8106060606,114763.78125,36004.21875,73499.6981534091,1737952,0.0867503820588831,0.100368706378029
"Q2 2011",144876,-0.821490183192311,16.0885121418212,145055.083333333,-179.083333333343,32234.8106060606,117769.84375,27106.15625,73499.6981534091,1759852,0.0823228316926651,0.100368706378029
