"Period","Cross-Border Financial Liabilities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Cross-Border Financial Liabilities to GDP","Mean_of_Ratio"
"Q2 2006",1935905,11.7842942288526,6.62727369160135,1701197.08333333,234707.916666667,209795.921401515,1503061.90625,432843.09375,545651.97265625,1490716,1.29864105570746,1.47446275287296
"Q3 2006",1933048,5.83924660534385,6.62727369160135,1740083,192965,209795.921401515,1525562.25,407485.75,545651.97265625,1504936,1.28447189780828,1.47446275287296
"Q4 2006",2047304,12.4356076332826,6.62727369160135,1782316.25,264987.75,209795.921401515,1548692.625,498611.375,545651.97265625,1514764,1.35156631660113,1.47446275287296
"Q1 2007",2115486,9.50899475719953,6.62727369160135,1826771.58333333,288714.416666667,209795.921401515,1574468,541018,545651.97265625,1547276,1.36723247823918,1.47446275287296
"Q2 2007",2202143,13.7526376552568,6.62727369160135,1876515.75,325627.25,209795.921401515,1602472.71875,599670.28125,545651.97265625,1576612,1.39675646259194,1.47446275287296
"Q3 2007",2238699,15.8118680963949,6.62727369160135,1927911.66666667,310787.333333333,209795.921401515,1630710.0625,607988.9375,545651.97265625,1582248,1.41488502434511,1.47446275287296
"Q4 2007",2249585,9.88035973162754,6.62727369160135,1977282,272303,209795.921401515,1659598.46875,589986.53125,545651.97265625,1604508,1.40204037623994,1.47446275287296
"Q1 2008",2292589,8.37174058348767,6.62727369160135,2027136.75,265452.25,209795.921401515,1688577.375,604011.625,545651.97265625,1637296,1.4002287918617,1.47446275287296
"Q2 2008",2348418,6.64239334139518,6.62727369160135,2078519.75,269898.25,209795.921401515,1715123.09375,633294.90625,545651.97265625,1677448,1.39999451547827,1.47446275287296
"Q3 2008",1992744,-10.9865149356836,6.62727369160135,2092381.75,-99637.75,209795.921401515,1731330.28125,261413.71875,545651.97265625,1694512,1.17599875362346,1.47446275287296
"Q4 2008",2002232,-10.9954947245825,6.62727369160135,2107495.41666667,-105263.416666667,209795.921401515,1750172.03125,252059.96875,545651.97265625,1618908,1.23677935991421,1.47446275287296
"Q1 2009",2019171,-11.9261673156418,6.62727369160135,2114777,-95606,209795.921401515,1770380.9375,248790.0625,545651.97265625,1557232,1.29664109137238,1.47446275287296
"Q2 2009",2137355,-8.98745453322194,6.62727369160135,2131564.5,5790.5,209795.921401515,1794172.15625,343182.84375,545651.97265625,1548488,1.38028515558403,1.47446275287296
"Q3 2009",2219955,11.4019161517987,6.62727369160135,2155473.41666667,64481.5833333335,209795.921401515,1821334.34375,398620.65625,545651.97265625,1567924,1.41585625323676,1.47446275287296
"Q4 2009",2288731,14.3089811770065,6.62727369160135,2175592.33333333,113138.666666667,209795.921401515,1847634.9375,441096.0625,545651.97265625,1611692,1.42007964300871,1.47446275287296
"Q1 2010",2303143,14.0637915263244,6.62727369160135,2191230.41666667,111912.583333333,209795.921401515,1873201.9375,429941.0625,545651.97265625,1644032,1.40091129613049,1.47446275287296
"Q2 2010",2298813,7.5541030853555,6.62727369160135,2199286.25,99526.75,209795.921401515,1900141.59375,398671.40625,545651.97265625,1653240,1.39048958408942,1.47446275287296
"Q3 2010",2421342,9.07167037169672,6.62727369160135,2214506.5,206835.5,209795.921401515,1931381,489961,545651.97265625,1665372,1.45393461641003,1.47446275287296
"Q4 2010",2543192,11.117995081117,6.62727369160135,2238973.75,304218.25,209795.921401515,1965937.03125,577254.96875,545651.97265625,1701548,1.49463429771009,1.47446275287296
"Q1 2011",2615862,13.5779237329163,6.62727369160135,2265913.16666667,349948.833333333,209795.921401515,2003858.90625,612003.09375,545651.97265625,1737952,1.50514053322531,1.47446275287296
"Q2 2011",2573813,11.9626955302584,6.62727369160135,2284696.08333333,289116.916666667,209795.921401515,2039312.1875,534500.8125,545651.97265625,1759852,1.46251673436175,1.47446275287296
"Q3 2011",2474642,2.2012586408694,6.62727369160135,2324854.25,149787.75,209795.921401515,2070819.21875,403822.78125,545651.97265625,1785748,1.38577335659903,1.47446275287296
"Q4 2011",2524389,-0.739346459095499,6.62727369160135,2368367.33333333,156021.666666667,209795.921401515,2101565.59375,422823.40625,545651.97265625,1812700,1.39261267722182,1.47446275287296
"Q1 2012",2601182,-0.561191683659153,6.62727369160135,2416868.25,184313.75,209795.921401515,2133414.34375,467767.65625,545651.97265625,1815120,1.43306337872978,1.47446275287296
"Q2 2012",2589050,0.592001050581375,6.62727369160135,2454509.5,134540.5,209795.921401515,2164159.25,424890.75,545651.97265625,1818984,1.42334951819257,1.47446275287296
