"Period","Total Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Consumer Credit to GDP","Mean_of_Ratio"
"Q4 2015",549519,2.69789920442249,7.17037537819394,527765.25,21753.75,27522.9975961538,489036.40625,60482.59375,72930.0709134615,1131872,0.485495709762235,0.413713349622429
"Q1 2016",549171,2.97503304863071,7.17037537819394,531187.333333333,17983.6666666666,27522.9975961538,493861.53125,55309.46875,72930.0709134615,1110684,0.494443964259861,0.413713349622429
"Q2 2016",560544,3.65510431267544,7.17037537819394,535179.083333333,25364.9166666666,27522.9975961538,498685.46875,61858.53125,72930.0709134615,1127800,0.497024295087782,0.413713349622429
"Q3 2016",567338,3.92004938298741,7.17037537819394,539391.25,27946.75,27522.9975961538,503355,63983,72930.0709134615,1139628,0.497827361209096,0.413713349622429
"Q4 2016",573132,4.29703067591839,7.17037537819394,543848.916666667,29283.0833333334,27522.9975961538,508029.84375,65102.15625,72930.0709134615,1152920,0.497113416368872,0.413713349622429
"Q1 2017",574250,4.56670144636188,7.17037537819394,548560.666666667,25689.3333333334,27522.9975961538,512606.21875,61643.78125,72930.0709134615,1154108,0.497570418019804,0.413713349622429
"Q2 2017",589601,5.18371439173374,7.17037537819394,554029,35572,27522.9975961538,517299,72302,72930.0709134615,1181824,0.498890697768873,0.413713349622429
"Q3 2017",599019,5.58414913155826,7.17037537819394,559806.416666667,39212.5833333334,27522.9975961538,521922.15625,77096.84375,72930.0709134615,1205312,0.496982524026974,0.413713349622429
"Q4 2017",603471,5.29354494252633,7.17037537819394,565505.416666667,37965.5833333334,27522.9975961538,526306.25,77164.75,72930.0709134615,1217196,0.495787859966678,0.413713349622429
"Q1 2018",601308,4.71188506747932,7.17037537819394,571172.333333333,30135.6666666666,27522.9975961538,530491.75,70816.25,72930.0709134615,1220756,0.492570177824234,0.413713349622429
"Q2 2018",611661,3.74151332850521,7.17037537819394,577079.25,34581.75,27522.9975961538,534820.40625,76840.59375,72930.0709134615,1230416,0.497117235146487,0.413713349622429
"Q3 2018",621216,3.70555858829186,7.17037537819394,583352.5,37863.5,27522.9975961538,539261.28125,81954.71875,72930.0709134615,1235708,0.502720707481055,0.413713349622429
"Q4 2018",625982,3.73025381501348,7.17037537819394,589724.416666667,36257.5833333334,27522.9975961538,543674.875,82307.125,72930.0709134615,1250684,0.500511719986823,0.413713349622429
"Q1 2019",622003,3.44166383949656,7.17037537819394,595793.75,26209.25,27522.9975961538,547921.8125,74081.1875,72930.0709134615,1264220,0.492005347170587,0.413713349622429
"Q2 2019",632182,3.35496296150973,7.17037537819394,601763.583333333,30418.4166666666,27522.9975961538,552381.125,79800.875,72930.0709134615,1286332,0.491460991408128,0.413713349622429
"Q3 2019",638090,2.71628547880286,7.17037537819394,607659.583333333,30430.4166666666,27522.9975961538,556887.59375,81202.40625,72930.0709134615,1293460,0.493320241831986,0.413713349622429
"Q4 2019",641865,2.53729340460269,7.17037537819394,613387.333333333,28477.6666666666,27522.9975961538,561371.0625,80493.9375,72930.0709134615,1309956,0.489989740113408,0.413713349622429
