"Period","Total Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Consumer Credit to GDP","Mean_of_Ratio"
"Q1 1979",37124,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,151656,NA,0.413713349622429
"Q2 1979",39311,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,159628,NA,0.413713349622429
"Q3 1979",40698,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,161596,NA,0.413713349622429
"Q4 1979",41719,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,167800,NA,0.413713349622429
"Q1 1980",42306,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,171932,NA,0.413713349622429
"Q2 1980",43356,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,177336,NA,0.413713349622429
"Q3 1980",44165,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,183164,NA,0.413713349622429
"Q4 1980",46406,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,191896,NA,0.413713349622429
"Q1 1981",47028,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,201268,NA,0.413713349622429
"Q2 1981",48675,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,207200,NA,0.413713349622429
"Q3 1981",49638,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,212212,NA,0.413713349622429
"Q4 1981",49374,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,218892,NA,0.413713349622429
"Q1 1982",48422,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,227216,NA,0.413713349622429
"Q2 1982",48176,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,230392,NA,0.413713349622429
"Q3 1982",47633,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,234636,NA,0.413713349622429
"Q4 1982",48318,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,231684,NA,0.413713349622429
"Q1 1983",47490,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,233724,NA,0.413713349622429
"Q2 1983",48354,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,236040,NA,0.413713349622429
"Q3 1983",48700,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,253880,NA,0.413713349622429
"Q4 1983",50438,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,252176,NA,0.413713349622429
"Q1 1984",50177,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,252420,NA,0.413713349622429
"Q2 1984",51354,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,263432,NA,0.413713349622429
"Q3 1984",51983,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,268496,NA,0.413713349622429
"Q4 1984",54440,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,273244,NA,0.413713349622429
"Q1 1985",55041,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,277252,NA,0.413713349622429
"Q2 1985",56670,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,290440,NA,0.413713349622429
"Q3 1985",58189,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,292288,NA,0.413713349622429
"Q4 1985",62007,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,296528,NA,0.413713349622429
"Q1 1986",62247,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,300288,NA,0.413713349622429
"Q2 1986",63414,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,306380,NA,0.413713349622429
"Q3 1986",65162,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,307272,NA,0.413713349622429
"Q4 1986",66811,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,310016,NA,0.413713349622429
"Q1 1987",68282,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,318708,NA,0.413713349622429
"Q2 1987",71185,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,319140,NA,0.413713349622429
"Q3 1987",73756,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,333012,NA,0.413713349622429
"Q4 1987",76329,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,334768,NA,0.413713349622429
"Q1 1988",77619,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,336484,NA,0.413713349622429
"Q2 1988",81244,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,348876,NA,0.413713349622429
"Q3 1988",84033,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,362460,NA,0.413713349622429
"Q4 1988",86112,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,372548,NA,0.413713349622429
"Q1 1989",88042,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,379608,NA,0.413713349622429
"Q2 1989",90583,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,391460,NA,0.413713349622429
"Q3 1989",93187,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,386860,NA,0.413713349622429
"Q4 1989",96400,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,391912,NA,0.413713349622429
"Q1 1990",98423,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,403280,NA,0.413713349622429
"Q2 1990",99795,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,392652,NA,0.413713349622429
"Q3 1990",100651,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,404988,NA,0.413713349622429
"Q4 1990",101170,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,412232,NA,0.413713349622429
"Q1 1991",100681,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,417232,NA,0.413713349622429
"Q2 1991",102183,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,412040,NA,0.413713349622429
"Q3 1991",101967,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,420200,NA,0.413713349622429
"Q4 1991",102014,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,424068,NA,0.413713349622429
"Q1 1992",102139,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,419928,NA,0.413713349622429
"Q2 1992",103982,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,428816,NA,0.413713349622429
"Q3 1992",103672,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,442316,NA,0.413713349622429
"Q4 1992",102718,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,435524,NA,0.413713349622429
"Q1 1993",103348,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,439276,NA,0.413713349622429
"Q2 1993",104858,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,458584,NA,0.413713349622429
"Q3 1993",106941,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,444704,NA,0.413713349622429
"Q4 1993",109776,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,442096,NA,0.413713349622429
"Q1 1994",112279,8.64167666524751,7.17037537819394,104656.416666667,7622.58333333333,27522.9975961538,91836.125,20442.875,72930.0709134615,450008,0.249504453254164,0.413713349622429
"Q2 1994",113739,8.46954929523737,7.17037537819394,105619.416666667,8119.58333333333,27522.9975961538,93408.78125,20330.21875,72930.0709134615,454520,0.250239813429552,0.413713349622429
"Q3 1994",115940,8.41492037665629,7.17037537819394,106783.833333333,9156.16666666667,27522.9975961538,94995.59375,20944.40625,72930.0709134615,454144,0.255293475197294,0.413713349622429
"Q4 1994",119196,8.58111062527328,7.17037537819394,108215.666666667,10980.3333333333,27522.9975961538,96632.625,22563.375,72930.0709134615,459636,0.259326945670052,0.413713349622429
"Q1 1995",120840,7.62475618771097,7.17037537819394,109774.083333333,11065.9166666667,27522.9975961538,98275.0625,22564.9375,72930.0709134615,461916,0.261606006286857,0.413713349622429
"Q2 1995",122170,7.41258495327021,7.17037537819394,111289.75,10880.25,27522.9975961538,99868.34375,22301.65625,72930.0709134615,465884,0.262232658773429,0.413713349622429
"Q3 1995",124536,7.41417974814559,7.17037537819394,113028.416666667,11507.5833333333,27522.9975961538,101455.21875,23080.78125,72930.0709134615,465836,0.267338720064572,0.413713349622429
"Q4 1995",126565,6.18225443806839,7.17037537819394,115015.666666667,11549.3333333333,27522.9975961538,103025.09375,23539.90625,72930.0709134615,469072,0.269819984991643,0.413713349622429
"Q1 1996",129499,7.16567361800728,7.17037537819394,117194.916666667,12304.0833333333,27522.9975961538,104646.34375,24852.65625,72930.0709134615,472160,0.274269315486276,0.413713349622429
"Q2 1996",129974,6.38782025047066,7.17037537819394,119287.916666667,10686.0833333333,27522.9975961538,106169.15625,23804.84375,72930.0709134615,473700,0.274380409541904,0.413713349622429
"Q3 1996",132344,6.26967302627353,7.17037537819394,121404.833333333,10939.1666666667,27522.9975961538,107678.875,24665.125,72930.0709134615,475332,0.278424343406293,0.413713349622429
"Q4 1996",135819,7.31165804132264,7.17037537819394,123575.083333333,12243.9166666667,27522.9975961538,109232.21875,26586.78125,72930.0709134615,480920,0.282414954670215,0.413713349622429
"Q1 1997",141032,8.90586027691334,7.17037537819394,125971.166666667,15060.8333333333,27522.9975961538,110888.15625,30143.84375,72930.0709134615,485296,0.290610266723814,0.413713349622429
"Q2 1997",143424,10.348223490852,7.17037537819394,128444.916666667,14979.0833333333,27522.9975961538,112539.4375,30884.5625,72930.0709134615,487336,0.294302083162336,0.413713349622429
"Q3 1997",146751,10.8860243003083,7.17037537819394,131012.5,15738.5,27522.9975961538,114213.3125,32537.6875,72930.0709134615,501280,0.292752553463134,0.413713349622429
"Q4 1997",152203,12.063113408286,7.17037537819394,133763.083333333,18439.9166666667,27522.9975961538,115957.15625,36245.84375,72930.0709134615,505812,0.300908242588155,0.413713349622429
"Q1 1998",156916,11.2626921549719,7.17037537819394,136769.416666667,20146.5833333333,27522.9975961538,117785.0625,39130.9375,72930.0709134615,508368,0.308666163094451,0.413713349622429
"Q2 1998",159441,11.1675870147256,7.17037537819394,139875.333333333,19565.6666666667,27522.9975961538,119649,39792,72930.0709134615,510620,0.312249813951667,0.413713349622429
"Q3 1998",160523,9.38460385278465,7.17037537819394,142874.25,17648.75,27522.9975961538,121520,39003,72930.0709134615,523392,0.3066974657618,0.413713349622429
"Q4 1998",162877,7.01300237183236,7.17037537819394,145900.25,16976.75,27522.9975961538,123448.34375,39428.65625,72930.0709134615,531968,0.306178191169394,0.413713349622429
"Q1 1999",166452,6.07713681205231,7.17037537819394,148979.666666667,17472.3333333333,27522.9975961538,125503.6875,40948.3125,72930.0709134615,534304,0.311530514463676,0.413713349622429
"Q2 1999",169501,6.30954396924254,7.17037537819394,152273.583333333,17227.4166666667,27522.9975961538,127607.375,41893.625,72930.0709134615,543140,0.312076076149796,0.413713349622429
"Q3 1999",172873,7.69360153996624,7.17037537819394,155651,17222,27522.9975961538,129823.1875,43049.8125,72930.0709134615,550512,0.314022219315837,0.413713349622429
"Q4 1999",180552,10.8517470238278,7.17037537819394,159378.75,21173.25,27522.9975961538,132277.5,48274.5,72930.0709134615,557084,0.324101930768071,0.413713349622429
"Q1 2000",189278,13.7132626823348,7.17037537819394,163399.25,25878.75,27522.9975961538,135000.59375,54277.40625,72930.0709134615,563668,0.335796958493297,0.413713349622429
"Q2 2000",193656,14.2506533884756,7.17037537819394,167585.25,26070.75,27522.9975961538,137802.90625,55853.09375,72930.0709134615,573208,0.337845947718804,0.413713349622429
"Q3 2000",198300,14.7084854199326,7.17037537819394,171881,26419,27522.9975961538,140760.03125,57539.96875,72930.0709134615,586036,0.338375116887017,0.413713349622429
