"Period","Outward Cross-Border Deposits","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward Cross-Border Deposits to GDP","Mean_of_Ratio"
"Q4 2008",226773,43.6235702433278,7.32657503797818,161937.583333333,64835.4166666667,20124.4450757576,127948.625,98824.375,52356.4172585227,1618908,0.140077756117086,0.125551462179631
"Q1 2009",229766,29.4193853640952,7.32657503797818,169817.833333333,59948.1666666667,20124.4450757576,131848.34375,97917.65625,52356.4172585227,1557232,0.147547700021577,0.125551462179631
"Q2 2009",216955,17.0471036971897,7.32657503797818,175577,41378,20124.4450757576,135712.125,81242.875,52356.4172585227,1548488,0.140107640485428,0.125551462179631
"Q3 2009",215575,8.66387414497926,7.32657503797818,180865,34710,20124.4450757576,139535.96875,76039.03125,52356.4172585227,1567924,0.13749072021348,0.125551462179631
"Q4 2009",223581,-1.40757497585691,7.32657503797818,188478.416666667,35102.5833333333,20124.4450757576,143118.84375,80462.15625,52356.4172585227,1611692,0.138724396472775,0.125551462179631
"Q1 2010",227473,-0.997971849620919,7.32657503797818,196018.25,31454.75,20124.4450757576,146900.71875,80572.28125,52356.4172585227,1644032,0.138362878581439,0.125551462179631
"Q2 2010",236188,8.86497199880159,7.32657503797818,203913.75,32274.25,20124.4450757576,151129.15625,85058.84375,52356.4172585227,1653240,0.142863710048148,0.125551462179631
"Q3 2010",228178,5.84622521164328,7.32657503797818,210305.25,17872.75,20124.4450757576,155073.9375,73104.0625,52356.4172585227,1665372,0.137013231878523,0.125551462179631
"Q4 2010",222524,-0.472759313179564,7.32657503797818,215691.083333333,6832.91666666666,20124.4450757576,158932.3125,63591.6875,52356.4172585227,1701548,0.130777386238884,0.125551462179631
"Q1 2011",229727,0.990886830524941,7.32657503797818,220040.333333333,9686.66666666666,20124.4450757576,162667.375,67059.625,52356.4172585227,1737952,0.132182591924288,0.125551462179631
"Q2 2011",249839,5.77971785188071,7.32657503797818,225413.833333333,24425.1666666667,20124.4450757576,167396.28125,82442.71875,52356.4172585227,1759852,0.141965915315606,0.125551462179631
"Q3 2011",264202,15.787674534793,7.32657503797818,230898.416666667,33303.5833333333,20124.4450757576,172569.4375,91632.5625,52356.4172585227,1785748,0.147950326697832,0.125551462179631
"Q4 2011",255231,14.6981898581726,7.32657503797818,233269.916666667,21961.0833333333,20124.4450757576,177308.4375,77922.5625,52356.4172585227,1812700,0.140801566723672,0.125551462179631
"Q1 2012",241221,5.00333003956871,7.32657503797818,234224.5,6996.5,20124.4450757576,181555.125,59665.875,52356.4172585227,1815120,0.132895345762264,0.125551462179631
"Q2 2012",249617,-0.0888572240522897,7.32657503797818,236946.333333333,12670.6666666667,20124.4450757576,185735.25,63881.75,52356.4172585227,1818984,0.137228804651388,0.125551462179631
"Q3 2012",245627,-7.03060537013346,7.32657503797818,239450.666666667,6176.33333333334,20124.4450757576,190130.3125,55496.6875,52356.4172585227,1830636,0.134175772791533,0.125551462179631
"Q4 2012",251028,-1.64674353820657,7.32657503797818,241737.916666667,9290.08333333334,20124.4450757576,194554.875,56473.125,52356.4172585227,1844064,0.136127596439169,0.125551462179631
"Q1 2013",250625,3.89849971602804,7.32657503797818,243667.25,6957.75,20124.4450757576,198658.65625,51966.34375,52356.4172585227,1876844,0.133535339111828,0.125551462179631
"Q2 2013",266923,6.93302138876759,7.32657503797818,246228.5,20694.5,20124.4450757576,203122.34375,63800.65625,52356.4172585227,1886592,0.141484221283669,0.125551462179631
"Q3 2013",246036,0.166512639082837,7.32657503797818,247716.666666667,-1680.66666666666,20124.4450757576,206699.375,39336.625,52356.4172585227,1912428,0.128651117846005,0.125551462179631
"Q4 2013",266153,6.02522427776981,7.32657503797818,251352.416666667,14800.5833333333,20124.4450757576,211241.25,54911.75,52356.4172585227,1933124,0.137680252275591,0.125551462179631
"Q1 2014",275531,9.93755610972569,7.32657503797818,255169.416666667,20361.5833333333,20124.4450757576,215626.5,59904.5,52356.4172585227,1963452,0.140329888380261,0.125551462179631
"Q2 2014",271361,1.66265177598034,7.32657503797818,256962.916666667,14398.0833333333,20124.4450757576,219486.375,51874.625,52356.4172585227,1988404,0.136471763283518,0.125551462179631
"Q3 2014",270409,9.90627387861939,7.32657503797818,257480.166666667,12928.8333333333,20124.4450757576,223182.9375,47226.0625,52356.4172585227,2013792,0.134278515358091,0.125551462179631
