"Period","Net Intl Investment Position","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Net Intl Investment Position to GDP","Mean_of_Ratio"
"Q2 1995",-375964,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,828856,NA,-0.0381636126798303
"Q3 1995",-360172,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,832976,NA,-0.0381636126798303
"Q4 1995",-342588,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,840680,NA,-0.0381636126798303
"Q1 1996",-352159,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,844208,NA,-0.0381636126798303
"Q2 1996",-339844,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,852904,NA,-0.0381636126798303
"Q3 1996",-332286,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,864544,NA,-0.0381636126798303
"Q4 1996",-331767,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,877680,NA,-0.0381636126798303
"Q1 1997",-330852,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,891748,NA,-0.0381636126798303
"Q2 1997",-307124,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,899412,NA,-0.0381636126798303
"Q3 1997",-301039,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,912564,NA,-0.0381636126798303
"Q4 1997",-293230,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,923980,NA,-0.0381636126798303
"Q1 1998",-290753,-12.1199206896135,11.9493073425889,-329814.833333333,39061.8333333333,72729.2206439394,-328385.90625,37632.90625,155654.917258523,934612,-0.311094871454679,-0.0381636126798303
"Q2 1998",-277819,-9.54174860968208,11.9493073425889,-321636.083333333,43817.0833333333,72729.2206439394,-328474.03125,50655.03125,155654.917258523,935212,-0.29706526434648,-0.0381636126798303
"Q3 1998",-258119,-14.2572889226977,11.9493073425889,-313131.666666667,55012.6666666667,72729.2206439394,-327778.875,69659.875,155654.917258523,938872,-0.274924590359495,-0.0381636126798303
"Q4 1998",-210625,-28.1707192306381,11.9493073425889,-302134.75,91509.75,72729.2206439394,-325699.21875,115074.21875,155654.917258523,953496,-0.220897623062918,-0.0381636126798303
"Q1 1999",-183968,-36.7270501078235,11.9493073425889,-288118.833333333,104150.833333333,72729.2206439394,-322014.15625,138046.15625,155654.917258523,975240,-0.188638694065051,-0.0381636126798303
"Q2 1999",-157409,-43.3411681706435,11.9493073425889,-272915.916666667,115506.916666667,72729.2206439394,-317665.34375,160256.34375,155654.917258523,994172,-0.158331757482609,-0.0381636126798303
"Q3 1999",-133396,-48.3199609482448,11.9493073425889,-256341.75,122945.75,72729.2206439394,-312492.21875,179096.21875,155654.917258523,1021308,-0.130612900319982,-0.0381636126798303
"Q4 1999",-110934,-47.3310385756677,11.9493073425889,-237939,127005,72729.2206439394,-306562.78125,195628.78125,155654.917258523,1040988,-0.106566069925878,-0.0381636126798303
"Q1 2000",-101618,-44.7632196903809,11.9493073425889,-218836.166666667,117218.166666667,72729.2206439394,-300007.1875,198389.1875,155654.917258523,1070188,-0.0949534100550558,-0.0381636126798303
"Q2 2000",-141634,-10.02166331023,11.9493073425889,-205045.333333333,63411.3333333333,72729.2206439394,-294588.71875,152954.71875,155654.917258523,1099448,-0.128822827455232,-0.0381636126798303
"Q3 2000",-124625,-6.57515967495277,11.9493073425889,-190344.166666667,65719.1666666667,72729.2206439394,-288676.75,164051.75,155654.917258523,1121768,-0.111096946962295,-0.0381636126798303
"Q4 2000",-62788,-43.4005805253574,11.9493073425889,-171140.666666667,108352.666666667,72729.2206439394,-280577.375,217789.375,155654.917258523,1132880,-0.0554233458089118,-0.0381636126798303
"Q1 2001",-83556,-17.7744100454644,11.9493073425889,-153874.25,70318.25,72729.2206439394,-272097.375,188541.375,155654.917258523,1149924,-0.072662193327559,-0.0381636126798303
"Q2 2001",-106441,-24.8478472683113,11.9493073425889,-139592.75,33151.75,72729.2206439394,-263991.53125,157550.53125,155654.917258523,1152860,-0.0923277761393404,-0.0381636126798303
"Q3 2001",-125001,0.301705115346038,11.9493073425889,-128499.583333333,3498.58333333333,72729.2206439394,-256545.90625,131544.90625,155654.917258523,1138804,-0.109765157129761,-0.0381636126798303
"Q4 2001",-95813,52.5976301204052,11.9493073425889,-118931.916666667,23118.9166666667,72729.2206439394,-247872.15625,152059.15625,155654.917258523,1136584,-0.0842990927199398,-0.0381636126798303
"Q1 2002",-110001,31.6494327157834,11.9493073425889,-112768,2767,72729.2206439394,-240267.25,130266.25,155654.917258523,1158640,-0.0949397569564317,-0.0381636126798303
"Q2 2002",-172273,61.8483479110493,11.9493073425889,-114006.666666667,-58266.3333333333,72729.2206439394,-234620.96875,62347.96875,155654.917258523,1185892,-0.145268709123596,-0.0381636126798303
"Q3 2002",-198314,58.6499308005536,11.9493073425889,-119416.5,-78897.5,72729.2206439394,-229806.84375,31492.84375,155654.917258523,1204144,-0.164692927091776,-0.0381636126798303
"Q4 2002",-165320,72.5444355150136,11.9493073425889,-123948.666666667,-41371.3333333333,72729.2206439394,-223877.0625,58557.0625,155654.917258523,1226100,-0.13483402658837,-0.0381636126798303
"Q1 2003",-207775,88.8846465032136,11.9493073425889,-132795.083333333,-74979.9166666667,72729.2206439394,-218287.71875,10512.71875,155654.917258523,1250088,-0.166208298935755,-0.0381636126798303
"Q2 2003",-227882,32.2795795046235,11.9493073425889,-139982.416666667,-87899.5833333333,72729.2206439394,-213660.15625,-14221.84375,155654.917258523,1237720,-0.184114339268978,-0.0381636126798303
"Q3 2003",-212383,7.09430499107476,11.9493073425889,-147295.583333333,-65087.4166666667,72729.2206439394,-209041.75,-3341.25,155654.917258523,1258296,-0.168786199749503,-0.0381636126798303
"Q4 2003",-200833,21.4813694652795,11.9493073425889,-158799.333333333,-42033.6666666667,72729.2206439394,-204611.90625,3778.90625,155654.917258523,1272884,-0.157777927918019,-0.0381636126798303
"Q1 2004",-174235,-16.1424617976176,11.9493073425889,-166355.916666667,-7879.08333333334,72729.2206439394,-199051.78125,24816.78125,155654.917258523,1296216,-0.134418183389188,-0.0381636126798303
"Q2 2004",-131863,-42.135403410537,11.9493073425889,-168474.416666667,36611.4166666667,72729.2206439394,-192552.375,60689.375,155654.917258523,1328148,-0.099283362998702,-0.0381636126798303
"Q3 2004",-191442,-9.86001704467872,11.9493073425889,-174011.166666667,-17430.8333333333,72729.2206439394,-188151,-3291,155654.917258523,1351480,-0.141653594577796,-0.0381636126798303
"Q4 2004",-162982,-18.8470022356884,11.9493073425889,-179608.583333333,16626.5833333333,72729.2206439394,-182876.46875,19894.46875,155654.917258523,1367080,-0.119219065453375,-0.0381636126798303
"Q1 2005",-165127,-5.2274227336643,11.9493073425889,-184202.416666667,19075.4166666667,72729.2206439394,-177697.5625,12570.5625,155654.917258523,1380324,-0.119629159530661,-0.0381636126798303
"Q2 2005",-147992,12.23163434777,11.9493073425889,-182179,34187,72729.2206439394,-172724.6875,24732.6875,155654.917258523,1399608,-0.105738178118445,-0.0381636126798303
"Q3 2005",-203584,6.34239090690653,11.9493073425889,-182618.166666667,-20965.8333333333,72729.2206439394,-169679.21875,-33904.78125,155654.917258523,1436992,-0.141673718434062,-0.0381636126798303
"Q4 2005",-179808,10.3238394423924,11.9493073425889,-183825.5,4017.5,72729.2206439394,-166134.78125,-13673.21875,155654.917258523,1469436,-0.122365315672135,-0.0381636126798303
"Q1 2006",-148379,-10.142496381573,11.9493073425889,-178875.833333333,30496.8333333333,72729.2206439394,-161685.59375,13306.59375,155654.917258523,1476000,-0.100527777777778,-0.0381636126798303
"Q2 2006",-181827,22.862722309314,11.9493073425889,-175037.916666667,-6789.08333333334,72729.2206439394,-158685.84375,-23141.15625,155654.917258523,1490716,-0.121972931128397,-0.0381636126798303
"Q3 2006",-129963,-36.1624685633449,11.9493073425889,-168169.583333333,38206.5833333333,72729.2206439394,-154680.96875,24717.96875,155654.917258523,1504936,-0.0863578251832636,-0.0381636126798303
"Q4 2006",-62462,-65.261834846058,11.9493073425889,-156638.666666667,94176.6666666667,72729.2206439394,-150050.875,87588.875,155654.917258523,1514764,-0.0412354663828821,-0.0381636126798303
"Q1 2007",-39005,-73.7125873607451,11.9493073425889,-145369.5,106364.5,72729.2206439394,-145520.78125,106515.78125,155654.917258523,1547276,-0.0252088185947433,-0.0381636126798303
"Q2 2007",-100744,-44.59348721587,11.9493073425889,-142776.25,42032.25,72729.2206439394,-143750,43006,155654.917258523,1576612,-0.0638990442797594,-0.0381636126798303
"Q3 2007",-182434,40.3737986965521,11.9493073425889,-142025.583333333,-40408.4166666667,72729.2206439394,-145282.4375,-37151.5625,155654.917258523,1582248,-0.115300509149008,-0.0381636126798303
"Q4 2007",-183593,193.927507924818,11.9493073425889,-143743.166666667,-39849.8333333333,72729.2206439394,-147553.03125,-36039.96875,155654.917258523,1604508,-0.114423237528264,-0.0381636126798303
"Q1 2008",-166469,326.788873221382,11.9493073425889,-143855,-22614,72729.2206439394,-149579.625,-16889.375,155654.917258523,1637296,-0.101673124468636,-0.0381636126798303
"Q2 2008",-218351,116.738465814341,11.9493073425889,-149718.25,-68632.75,72729.2206439394,-151977.03125,-66373.96875,155654.917258523,1677448,-0.130168565582957,-0.0381636126798303
"Q3 2008",-165868,-9.08054419680542,11.9493073425889,-146575.25,-19292.75,72729.2206439394,-153265.875,-12602.125,155654.917258523,1694512,-0.0978854088964847,-0.0381636126798303
"Q4 2008",-147745,-19.5257989139019,11.9493073425889,-143903.333333333,-3841.66666666666,72729.2206439394,-155920.78125,8175.78125,155654.917258523,1618908,-0.091262134722912,-0.0381636126798303
"Q1 2009",-153027,-8.07477668514859,11.9493073425889,-144290.666666667,-8736.33333333334,72729.2206439394,-158091.75,5064.75,155654.917258523,1557232,-0.098268594531836,-0.0381636126798303
"Q2 2009",-155831,-28.6327976514877,11.9493073425889,-142124.333333333,-13706.6666666667,72729.2206439394,-159635.1875,3804.1875,155654.917258523,1548488,-0.100634296165033,-0.0381636126798303
"Q3 2009",-187585,13.0929413750693,11.9493073425889,-146926.166666667,-40658.8333333333,72729.2206439394,-161590.9375,-25994.0625,155654.917258523,1567924,-0.119639089649753,-0.0381636126798303
"Q4 2009",-221639,50.0145520999019,11.9493073425889,-160190.916666667,-61448.0833333333,72729.2206439394,-165523,-56116,155654.917258523,1611692,-0.137519451607379,-0.0381636126798303
"Q1 2010",-258679,69.0414109928313,11.9493073425889,-178497.083333333,-80181.9166666667,72729.2206439394,-170169.1875,-88509.8125,155654.917258523,1644032,-0.15734426093896,-0.0381636126798303
"Q2 2010",-281674,80.7560754920395,11.9493073425889,-193574.583333333,-88099.4166666667,72729.2206439394,-173587.96875,-108086.03125,155654.917258523,1653240,-0.170376956763688,-0.0381636126798303
"Q3 2010",-268237,42.9949089745982,11.9493073425889,-200724.833333333,-67512.1666666667,72729.2206439394,-175773.0625,-92463.9375,155654.917258523,1665372,-0.161067317091917,-0.0381636126798303
"Q4 2010",-301383,35.9792274825279,11.9493073425889,-210540.666666667,-90842.3333333333,72729.2206439394,-180025.03125,-121357.96875,155654.917258523,1701548,-0.177122831680329,-0.0381636126798303
"Q1 2011",-324957,25.621716490322,11.9493073425889,-223748,-101209,72729.2206439394,-183686.96875,-141270.03125,155654.917258523,1737952,-0.186976970595275,-0.0381636126798303
"Q2 2011",-333344,18.3439011055333,11.9493073425889,-233330.75,-100013.25,72729.2206439394,-186982.65625,-146361.34375,155654.917258523,1759852,-0.189415928157595,-0.0381636126798303
"Q3 2011",-300656,12.0859538393287,11.9493073425889,-244563.083333333,-56092.9166666667,72729.2206439394,-189741.1875,-110914.8125,155654.917258523,1785748,-0.168364181284257,-0.0381636126798303
"Q4 2011",-302727,0.445944197250674,11.9493073425889,-257478.25,-45248.75,72729.2206439394,-192925.375,-109801.625,155654.917258523,1812700,-0.167003365145915,-0.0381636126798303
"Q1 2012",-265881,-18.1796360749268,11.9493073425889,-266882.75,1001.75,72729.2206439394,-195789.3125,-70091.6875,155654.917258523,1815120,-0.146481224381859,-0.0381636126798303
"Q2 2012",-298811,-10.3595684938082,11.9493073425889,-278797.75,-20013.25,72729.2206439394,-201006.4375,-97804.5625,155654.917258523,1818984,-0.164273572499813,-0.0381636126798303
"Q3 2012",-343024,14.0918524825714,11.9493073425889,-291751,-51273,72729.2206439394,-205743.375,-137280.625,155654.917258523,1830636,-0.187379686622573,-0.0381636126798303
"Q4 2012",-360044,18.9335606008053,11.9493073425889,-303284.75,-56759.25,72729.2206439394,-211901.5625,-148142.4375,155654.917258523,1844064,-0.195244850504104,-0.0381636126798303
"Q1 2013",-280334,5.43589049236313,11.9493073425889,-305089.333333333,24755.3333333333,72729.2206439394,-215501.78125,-64832.21875,155654.917258523,1876844,-0.149364571589328,-0.0381636126798303
"Q2 2013",-152465,-48.9761086439254,11.9493073425889,-294321.916666667,141856.916666667,72729.2206439394,-215641.5625,63176.5625,155654.917258523,1886592,-0.0808150357894023,-0.0381636126798303
"Q3 2013",-111295,-67.5547483558002,11.9493073425889,-281243.416666667,169948.416666667,72729.2206439394,-212757.53125,101462.53125,155654.917258523,1912428,-0.0581956549475327,-0.0381636126798303
"Q4 2013",-27023,-92.4945284465232,11.9493073425889,-258380.083333333,231357.083333333,72729.2206439394,-207983,180960,155654.917258523,1933124,-0.0139789273735156,-0.0381636126798303
"Q1 2014",-53744,-80.8285830473649,11.9493073425889,-235779,182035,72729.2206439394,-205025.65625,151281.65625,155654.917258523,1963452,-0.0273721995750342,-0.0381636126798303
"Q2 2014",-107726,-29.3437838192372,11.9493073425889,-216977.5,109251.5,72729.2206439394,-202710,94984,155654.917258523,1988404,-0.0541771189355885,-0.0381636126798303
"Q3 2014",-72231,-35.0995103104362,11.9493073425889,-197942.083333333,125711.083333333,72729.2206439394,-200905.875,128674.875,155654.917258523,2013792,-0.0358681532154264,-0.0381636126798303
"Q4 2014",31735,-217.436998112719,11.9493073425889,-170070.25,201805.25,72729.2206439394,-197962.21875,229697.21875,155654.917258523,2013944,0.0157576377496097,-0.0381636126798303
"Q1 2015",153343,-385.32115212861,11.9493073425889,-135134.916666667,288477.916666667,72729.2206439394,-191951.34375,345294.34375,155654.917258523,1984300,0.0772781333467722,-0.0381636126798303
"Q2 2015",179266,-266.409223400108,11.9493073425889,-95295.1666666667,274561.166666667,72729.2206439394,-183201.03125,362467.03125,155654.917258523,1984920,0.0903139673135441,-0.0381636126798303
"Q3 2015",270740,-474.825213550968,11.9493073425889,-44148.1666666667,314888.166666667,72729.2206439394,-169039.34375,439779.34375,155654.917258523,2000864,0.135311545412382,-0.0381636126798303
"Q4 2015",447327,1309.56987553175,11.9493073425889,23132.75,424194.25,72729.2206439394,-149323.09375,596650.09375,155654.917258523,1991680,0.224597826960154,-0.0381636126798303
"Q1 2016",282412,84.1701284049484,11.9493073425889,70028.25,212383.75,72729.2206439394,-135295.5625,417707.5625,155654.917258523,1998420,0.14131764093634,-0.0381636126798303
"Q2 2016",253542,41.4334006448518,11.9493073425889,103862.166666667,149679.833333333,72729.2206439394,-120548.90625,374090.90625,155654.917258523,2002152,0.126634741018664,-0.0381636126798303
"Q3 2016",301880,11.5018098544729,11.9493073425889,138293.416666667,163586.583333333,72729.2206439394,-105931.78125,407811.78125,155654.917258523,2035420,0.148313370213519,-0.0381636126798303
"Q4 2016",408248,-8.7361147438004,11.9493073425889,174566,233682,72729.2206439394,-88557,496805,155654.917258523,2066148,0.197588943289638,-0.0381636126798303
"Q1 2017",545657,93.2131070917666,11.9493073425889,224516.083333333,321140.916666667,72729.2206439394,-66723.125,612380.125,155654.917258523,2107708,0.258886430188622,-0.0381636126798303
"Q2 2017",580701,129.035426083252,11.9493073425889,281885,298816,72729.2206439394,-43706.5,624407.5,155654.917258523,2130892,0.272515453622239,-0.0381636126798303
"Q3 2017",560180,85.5638001855042,11.9493073425889,334585.916666667,225594.083333333,72729.2206439394,-20338.84375,580518.84375,155654.917258523,2143864,0.261294559729535,-0.0381636126798303
"Q4 2017",736133,80.3151515745331,11.9493073425889,393285.75,342847.25,72729.2206439394,9591.53125,726541.46875,155654.917258523,2181964,0.337371743988443,-0.0381636126798303
"Q1 2018",846674,55.1659742292319,11.9493073425889,451063.333333333,395610.666666667,72729.2206439394,44133.8125,802540.1875,155654.917258523,2202260,0.38445687611817,-0.0381636126798303
"Q2 2018",854328,47.1201186152598,11.9493073425889,507318.5,347009.5,72729.2206439394,79633.875,774694.125,155654.917258523,2219616,0.38489900955841,-0.0381636126798303
"Q3 2018",949113,69.4300046413653,11.9493073425889,563849.583333333,385263.416666667,72729.2206439394,117676.0625,831436.9375,155654.917258523,2244092,0.422938542626595,-0.0381636126798303
"Q4 2018",769981,4.59808214004806,11.9493073425889,590737.416666667,179243.583333333,72729.2206439394,151156.1875,618824.8125,155654.917258523,2229456,0.345367210655873,-0.0381636126798303
"Q1 2019",814993,-3.74181798425368,11.9493073425889,635119.166666667,179873.833333333,72729.2206439394,186779.625,628213.375,155654.917258523,2260360,0.360558937514378,-0.0381636126798303
"Q2 2019",808982,-5.30779747356987,11.9493073425889,681405.833333333,127576.166666667,72729.2206439394,222477.3125,586504.6875,155654.917258523,2305088,0.350954931004803,-0.0381636126798303
"Q3 2019",808841,-14.779272857921,11.9493073425889,723652.583333333,85188.4166666666,72729.2206439394,257149.09375,551691.90625,155654.917258523,2312284,0.349801754455768,-0.0381636126798303
"Q4 2019",1005969,30.6485484706765,11.9493073425889,773462.666666667,232506.333333333,72729.2206439394,298045.84375,707923.15625,155654.917258523,2337684,0.430327195634654,-0.0381636126798303
