"Period","Public NFCs LT Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs LT Debt Securities to GDP","Mean_of_Ratio"
"Q2 1996",695,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,852904,NA,0.00265899358880886
"Q3 1996",709,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,864544,NA,0.00265899358880886
"Q4 1996",685,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,877680,NA,0.00265899358880886
"Q1 1997",681,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,891748,NA,0.00265899358880886
"Q2 1997",657,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,899412,NA,0.00265899358880886
"Q3 1997",834,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,912564,NA,0.00265899358880886
"Q4 1997",895,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,923980,NA,0.00265899358880886
"Q1 1998",1290,89.4273127753304,12.721327452515,799.25,490.75,439.486742424242,1256.03125,33.96875,1129.82173295455,934612,0.00138025191202339,0.00265899358880886
"Q2 1998",1248,89.9543378995434,12.721327452515,839.166666666667,408.833333333333,439.486742424242,1249.65625,-1.65625,1129.82173295455,935212,0.00133445678626878,0.00265899358880886
"Q3 1998",1327,59.1127098321343,12.721327452515,885.833333333333,441.166666666667,439.486742424242,1252.5,74.5,1129.82173295455,938872,0.00141339820550618,0.00265899358880886
"Q4 1998",1214,35.6424581005587,12.721327452515,911.083333333333,302.916666666667,439.486742424242,1258.28125,-44.28125,1129.82173295455,953496,0.00127320932652051,0.00265899358880886
"Q1 1999",1337,3.64341085271318,12.721327452515,964.333333333333,372.666666666667,439.486742424242,1235.28125,101.71875,1129.82173295455,975240,0.00137094458799885,0.00265899358880886
"Q2 1999",1484,18.9102564102564,12.721327452515,1030.08333333333,453.916666666667,439.486742424242,1227.5625,256.4375,1129.82173295455,994172,0.00149269945240864,0.00265899358880886
"Q3 1999",1509,13.715146948003,12.721327452515,1096.75,412.25,439.486742424242,1236.875,272.125,1129.82173295455,1021308,0.00147751706635021,0.00265899358880886
"Q4 1999",1463,20.5107084019769,12.721327452515,1161.58333333333,301.416666666667,439.486742424242,1244.6875,218.3125,1129.82173295455,1040988,0.00140539564336957,0.00265899358880886
"Q1 2000",1508,12.789827973074,12.721327452515,1230.5,277.5,439.486742424242,1207.53125,300.46875,1129.82173295455,1070188,0.00140909821451932,0.00265899358880886
"Q2 2000",1546,4.17789757412399,12.721327452515,1304.58333333333,241.416666666667,439.486742424242,1161.96875,384.03125,1129.82173295455,1099448,0.00140616018220052,0.00265899358880886
"Q3 2000",1565,3.71106693174288,12.721327452515,1365.5,199.5,439.486742424242,1126.46875,438.53125,1129.82173295455,1121768,0.00139511913336804,0.00265899358880886
"Q4 2000",2039,39.3711551606288,12.721327452515,1460.83333333333,578.166666666667,439.486742424242,1107.90625,931.09375,1129.82173295455,1132880,0.00179983758209166,0.00265899358880886
"Q1 2001",2062,36.737400530504,12.721327452515,1525.16666666667,536.833333333333,439.486742424242,1105.40625,956.59375,1129.82173295455,1149924,0.00179316198287887,0.00265899358880886
"Q2 2001",2266,46.5717981888745,12.721327452515,1610,656,439.486742424242,1124.84375,1141.15625,1129.82173295455,1152860,0.00196554655378797,0.00265899358880886
"Q3 2001",2438,55.7827476038339,12.721327452515,1702.58333333333,735.416666666667,439.486742424242,1158.28125,1279.71875,1129.82173295455,1138804,0.00214084249791887,0.00265899358880886
"Q4 2001",2408,18.097106424718,12.721327452515,1802.08333333333,605.916666666667,439.486742424242,1205.90625,1202.09375,1129.82173295455,1136584,0.00211862915543418,0.00265899358880886
"Q1 2002",2463,19.447138700291,12.721327452515,1895.91666666667,567.083333333333,439.486742424242,1260.46875,1202.53125,1129.82173295455,1158640,0.00212576814195954,0.00265899358880886
"Q2 2002",2494,10.0617828773169,12.721327452515,1980.08333333333,513.916666666667,439.486742424242,1317.46875,1176.53125,1129.82173295455,1185892,0.00210305828861313,0.00265899358880886
"Q3 2002",2583,5.94749794913864,12.721327452515,2069.58333333333,513.416666666667,439.486742424242,1376.375,1206.625,1129.82173295455,1204144,0.00214509228132184,0.00265899358880886
"Q4 2002",2668,10.797342192691,12.721327452515,2170,498,439.486742424242,1437.375,1230.625,1129.82173295455,1226100,0.00217600521980263,0.00265899358880886
"Q1 2003",2670,8.40438489646772,12.721327452515,2266.83333333333,403.166666666667,439.486742424242,1496.34375,1173.65625,1129.82173295455,1250088,0.00213584963618561,0.00265899358880886
"Q2 2003",2754,10.4250200481155,12.721327452515,2367.5,386.5,439.486742424242,1558.375,1195.625,1129.82173295455,1237720,0.00222505897941376,0.00265899358880886
"Q3 2003",2869,11.0723964382501,12.721327452515,2476.16666666667,392.833333333333,439.486742424242,1624.0625,1244.9375,1129.82173295455,1258296,0.00228006764704012,0.00265899358880886
"Q4 2003",2864,7.34632683658171,12.721327452515,2544.91666666667,319.083333333333,439.486742424242,1685.09375,1178.90625,1129.82173295455,1272884,0.00225000864179297,0.00265899358880886
"Q1 2004",2916,9.21348314606742,12.721327452515,2616.08333333333,299.916666666667,439.486742424242,1754.40625,1161.59375,1129.82173295455,1296216,0.00224962506248959,0.00265899358880886
