"Period","Monetary Base","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Monetary Base to GDP","Mean_of_Ratio"
"Q1 1980",15526,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,309756,NA,0.036270832949766
"Q2 1980",15987,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,317208,NA,0.036270832949766
"Q3 1980",16330,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,324720,NA,0.036270832949766
"Q4 1980",16906,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,339304,NA,0.036270832949766
"Q1 1981",17194,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,355992,NA,0.036270832949766
"Q2 1981",17168,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,367992,NA,0.036270832949766
"Q3 1981",17513,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,372820,NA,0.036270832949766
"Q4 1981",17324,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,376628,NA,0.036270832949766
"Q1 1982",17557,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,383004,NA,0.036270832949766
"Q2 1982",17137,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,386516,NA,0.036270832949766
"Q3 1982",17131,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,389560,NA,0.036270832949766
"Q4 1982",17529,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,393644,NA,0.036270832949766
"Q1 1983",17546,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,403236,NA,0.036270832949766
"Q2 1983",17729,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,415804,NA,0.036270832949766
"Q3 1983",17927,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,428960,NA,0.036270832949766
"Q4 1983",17768,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,437264,NA,0.036270832949766
"Q1 1984",17743,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,447840,NA,0.036270832949766
"Q2 1984",17914,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,459552,NA,0.036270832949766
"Q3 1984",17903,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,465180,NA,0.036270832949766
"Q4 1984",18152,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,475372,NA,0.036270832949766
"Q1 1985",18433,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,486096,NA,0.036270832949766
"Q2 1985",18666,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,495352,NA,0.036270832949766
"Q3 1985",18812,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,503872,NA,0.036270832949766
"Q4 1985",19574,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,514788,NA,0.036270832949766
"Q1 1986",19791,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,518612,NA,0.036270832949766
"Q2 1986",19832,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,523844,NA,0.036270832949766
"Q3 1986",20000,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,530220,NA,0.036270832949766
"Q4 1986",20565,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,533844,NA,0.036270832949766
"Q1 1987",20532,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,552484,NA,0.036270832949766
"Q2 1987",20907,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,567420,NA,0.036270832949766
"Q3 1987",21743,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,581680,NA,0.036270832949766
"Q4 1987",22184,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,595760,NA,0.036270832949766
"Q1 1988",21980,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,610948,NA,0.036270832949766
"Q2 1988",22125,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,621168,NA,0.036270832949766
"Q3 1988",23030,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,631392,NA,0.036270832949766
"Q4 1988",23212,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,644068,NA,0.036270832949766
"Q1 1989",23161,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,656160,NA,0.036270832949766
"Q2 1989",23575,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,669792,NA,0.036270832949766
"Q3 1989",23606,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,679132,NA,0.036270832949766
"Q4 1989",24066,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,681232,NA,0.036270832949766
"Q1 1990",24304,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,691928,NA,0.036270832949766
"Q2 1990",24363,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,695624,NA,0.036270832949766
"Q3 1990",24351,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,697684,NA,0.036270832949766
"Q4 1990",24819,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,696768,NA,0.036270832949766
"Q1 1991",25274,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,694008,NA,0.036270832949766
"Q2 1991",25314,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,701572,NA,0.036270832949766
"Q3 1991",25676,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,704796,NA,0.036270832949766
"Q4 1991",26178,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,706716,NA,0.036270832949766
"Q1 1992",26397,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,710008,NA,0.036270832949766
