"Period","General Gov External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov External Debt to GDP","Mean_of_Ratio"
"Q1 1997",267498,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,891748,NA,0.184148064749742
"Q2 1997",260762,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,899412,NA,0.184148064749742
"Q3 1997",266266,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,912564,NA,0.184148064749742
"Q4 1997",261286,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,923980,NA,0.184148064749742
"Q1 1998",260834,-2.49123357931648,3.29079087377488,264457.083333333,-3623.08333333331,12842.9725378788,216006,44828,37160.1484375,934612,0.279082656760238,0.184148064749742
"Q2 1998",264612,1.476442119634,3.29079087377488,264510.916666667,101.083333333314,12842.9725378788,220743.59375,43868.40625,37160.1484375,935212,0.28294333263474,0.184148064749742
"Q3 1998",260248,-2.26014586916843,3.29079087377488,264050,-3802,12842.9725378788,225111.15625,35136.84375,37160.1484375,938872,0.277192205114222,0.184148064749742
"Q4 1998",269237,3.04302565005396,3.29079087377488,264514.166666667,4722.83333333331,12842.9725378788,229534.03125,39702.96875,37160.1484375,953496,0.282368253249096,0.184148064749742
"Q1 1999",255162,-2.17456313210701,3.29079087377488,263328.083333333,-8166.08333333331,12842.9725378788,233241.96875,21920.03125,37160.1484375,975240,0.261640211640212,0.184148064749742
"Q2 1999",241685,-8.66438407933125,3.29079087377488,261450.416666667,-19765.4166666667,12842.9725378788,236482.5625,5202.4375,37160.1484375,994172,0.243101797274516,0.184148064749742
"Q3 1999",241938,-7.03559681534536,3.29079087377488,259622.5,-17684.5,12842.9725378788,239438.375,2499.625,37160.1484375,1021308,0.236890340622026,0.184148064749742
"Q4 1999",244055,-9.3530978283074,3.29079087377488,257798.583333333,-13743.5833333333,12842.9725378788,242141.125,1913.875,37160.1484375,1040988,0.234445545962105,0.184148064749742
"Q1 2000",231339,-9.33642156747478,3.29079087377488,254785.333333333,-23446.3333333333,12842.9725378788,244274.0625,-12935.0625,37160.1484375,1070188,0.21616669220735,0.184148064749742
"Q2 2000",229829,-4.90555888863603,3.29079087377488,252207.583333333,-22378.5833333333,12842.9725378788,246108.53125,-16279.53125,37160.1484375,1099448,0.209040354796225,0.184148064749742
"Q3 2000",222300,-8.11695558366193,3.29079087377488,248543.75,-26243.75,12842.9725378788,247599,-25299,37160.1484375,1121768,0.198169318433045,0.184148064749742
"Q4 2000",221375,-9.29298723648358,3.29079087377488,245217.833333333,-23842.8333333333,12842.9725378788,248885.15625,-27510.15625,37160.1484375,1132880,0.19540904597133,0.184148064749742
