"Period","Inward FPI - Equity","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Equity to GDP","Mean_of_Ratio"
"Q2 1998",145106,27.3697608075488,11.5930592704085,107051.083333333,38054.9166666667,41193.3333333333,68205.0625,76900.9375,102682.268821023,935212,0.155158402586793,0.231919039581427
"Q3 1998",119082,-5.82234032457056,11.5930592704085,110923,8159,41193.3333333333,70853.75,48228.25,102682.268821023,938872,0.126835180940533,0.231919039581427
"Q4 1998",142126,17.0368174444362,11.5930592704085,116275.916666667,25850.0833333333,41193.3333333333,74203.65625,67922.34375,102682.268821023,953496,0.149057783147491,0.231919039581427
"Q1 1999",146173,2.53724851987991,11.5930592704085,121426.583333333,24746.4166666667,41193.3333333333,77656.375,68516.625,102682.268821023,975240,0.149884131085681,0.231919039581427
"Q2 1999",164678,13.4880707896296,11.5930592704085,127599.666666667,37078.3333333333,41193.3333333333,81733.1875,82944.8125,102682.268821023,994172,0.165643369557783,0.231919039581427
"Q3 1999",170284,42.9972623906216,11.5930592704085,133841.25,36442.75,41193.3333333333,86021.28125,84262.71875,102682.268821023,1021308,0.166731289679509,0.231919039581427
"Q4 1999",209630,47.4958839339741,11.5930592704085,142189.583333333,67440.4166666667,41193.3333333333,91526.15625,118103.84375,102682.268821023,1040988,0.20137600049184,0.231919039581427
"Q1 2000",252032,72.4203512276549,11.5930592704085,154456.083333333,97575.9166666667,41193.3333333333,98375.125,153656.875,102682.268821023,1070188,0.235502547216003,0.231919039581427
"Q2 2000",276736,68.0467336256209,11.5930592704085,168023.666666667,108712.333333333,41193.3333333333,106001.125,170734.875,102682.268821023,1099448,0.251704491708566,0.231919039581427
"Q3 2000",285127,67.442038007094,11.5930592704085,181247.25,103879.75,41193.3333333333,113921.65625,171205.34375,102682.268821023,1121768,0.254176442900849,0.231919039581427
"Q4 2000",228523,9.01254591422983,11.5930592704085,190171.083333333,38351.9166666667,41193.3333333333,120026.5,108496.5,102682.268821023,1132880,0.201718628627922,0.231919039581427
"Q1 2001",196152,-22.1717877094972,11.5930592704085,194637.416666667,1514.58333333334,41193.3333333333,124982.34375,71169.65625,102682.268821023,1149924,0.170578229517777,0.231919039581427
"Q2 2001",195516,-29.3492715078631,11.5930592704085,198838.25,-3322.25,41193.3333333333,129716.625,65799.375,102682.268821023,1152860,0.169592144753049,0.231919039581427
"Q3 2001",162680,-42.9447228778755,11.5930592704085,202471.416666667,-39791.4166666667,41193.3333333333,133303.6875,29376.3125,102682.268821023,1138804,0.14285162328197,0.231919039581427
"Q4 2001",180394,-21.0608997781405,11.5930592704085,205660.416666667,-25266.4166666667,41193.3333333333,137244.375,43149.625,102682.268821023,1136584,0.158715941804565,0.231919039581427
"Q1 2002",181099,-7.67415065867287,11.5930592704085,208570.916666667,-27471.9166666667,41193.3333333333,141080.6875,40018.3125,102682.268821023,1158640,0.156303079472485,0.231919039581427
"Q2 2002",170514,-12.7877002393666,11.5930592704085,209057.25,-38543.25,41193.3333333333,144643.65625,25870.34375,102682.268821023,1185892,0.143785437459735,0.231919039581427
"Q3 2002",144471,-11.193139906565,11.5930592704085,206906.166666667,-62435.1666666667,41193.3333333333,147162.8125,-2691.8125,102682.268821023,1204144,0.11997817536773,0.231919039581427
"Q4 2002",157004,-12.9660631728328,11.5930592704085,202520.666666667,-45516.6666666667,41193.3333333333,150104.71875,6899.28125,102682.268821023,1226100,0.128051545550934,0.231919039581427
"Q1 2003",153557,-15.208256257627,11.5930592704085,194314.416666667,-40757.4166666667,41193.3333333333,152846.65625,710.34375,102682.268821023,1250088,0.12283695227856,0.231919039581427
"Q2 2003",175110,2.69537985150779,11.5930592704085,185845.583333333,-10735.5833333333,41193.3333333333,156109.40625,19000.59375,102682.268821023,1237720,0.141477878680154,0.231919039581427
"Q3 2003",194335,34.5148853403105,11.5930592704085,178279.583333333,16055.4166666667,41193.3333333333,159913.03125,34421.96875,102682.268821023,1258296,0.154442992745745,0.231919039581427
"Q4 2003",222708,41.8486153219026,11.5930592704085,177795,44913,41193.3333333333,164438.5625,58269.4375,102682.268821023,1272884,0.174963311660764,0.231919039581427
"Q1 2004",232741,51.5665192729736,11.5930592704085,180844.083333333,51896.9166666667,41193.3333333333,169075.3125,63665.6875,102682.268821023,1296216,0.179554179241731,0.231919039581427
"Q2 2004",246393,40.7075552509851,11.5930592704085,185083.833333333,61309.1666666667,41193.3333333333,173943.8125,72449.1875,102682.268821023,1328148,0.185516222589651,0.231919039581427
"Q3 2004",251353,29.3400571178635,11.5930592704085,192473.25,58879.75,41193.3333333333,178817.8125,72535.1875,102682.268821023,1351480,0.185983514369432,0.231919039581427
"Q4 2004",271892,22.0845232322144,11.5930592704085,200098.083333333,71793.9166666667,41193.3333333333,183894.125,87997.875,102682.268821023,1367080,0.198885215203207,0.231919039581427
"Q1 2005",284319,22.1611147154992,11.5930592704085,208699.75,75619.25,41193.3333333333,189503.03125,94815.96875,102682.268821023,1380324,0.205979900371217,0.231919039581427
"Q2 2005",286774,16.3888584497125,11.5930592704085,218388.083333333,68385.9166666667,41193.3333333333,194904.5625,91869.4375,102682.268821023,1399608,0.204895942292413,0.231919039581427
"Q3 2005",323515,28.7094245940967,11.5930592704085,233308.416666667,90206.5833333333,41193.3333333333,201063.03125,122451.96875,102682.268821023,1436992,0.225133473255244,0.231919039581427
"Q4 2005",327042,20.2837891515749,11.5930592704085,247478.25,79563.75,41193.3333333333,207488.1875,119553.8125,102682.268821023,1469436,0.222562942516721,0.231919039581427
"Q1 2006",363523,27.8574418171139,11.5930592704085,264975.416666667,98547.5833333333,41193.3333333333,214393.40625,149129.59375,102682.268821023,1476000,0.246289295392954,0.231919039581427
"Q2 2006",361979,26.2244833911024,11.5930592704085,280547.833333333,81431.1666666667,41193.3333333333,221170.6875,140808.3125,102682.268821023,1490716,0.242822241124399,0.231919039581427
