"Period","Inward Cross-Border Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward Cross-Border Loans to GDP","Mean_of_Ratio"
"Q2 2003",53576,-0.371913121094912,6.0640275944488,57809.3333333333,-4233.33333333334,6678.36363636364,55689.78125,-2113.78125,15188.65625,1237720,0.0432860420773681,0.048892053565645
"Q3 2003",52817,-9.31302690544462,6.0640275944488,57160.8333333333,-4343.83333333334,6678.36363636364,55915.625,-3098.625,15188.65625,1258296,0.0419750201860294,0.048892053565645
"Q4 2003",53660,-9.43459915611814,6.0640275944488,56583.25,-2923.25,6678.36363636364,56057.3125,-2397.3125,15188.65625,1272884,0.0421562373319171,0.048892053565645
"Q1 2004",51947,-8.53274171112637,6.0640275944488,56252,-4305,6678.36363636364,56144.75,-4197.75,15188.65625,1296216,0.0400758824146593,0.048892053565645
"Q2 2004",53347,-0.427430192623563,6.0640275944488,55875.4166666667,-2528.41666666666,6678.36363636364,56181.53125,-2834.53125,15188.65625,1328148,0.0401664573526444,0.048892053565645
"Q3 2004",43548,-17.549273908022,6.0640275944488,54262.8333333333,-10714.8333333333,6678.36363636364,55923.6875,-12375.6875,15188.65625,1351480,0.0322224524225294,0.048892053565645
"Q4 2004",42253,-21.2579202385389,6.0640275944488,53132,-10879,6678.36363636364,55640.40625,-13387.40625,15188.65625,1367080,0.0309074816396992,0.048892053565645
"Q1 2005",50598,-2.59687758677113,6.0640275944488,52483.8333333333,-1885.83333333334,6678.36363636364,55520.84375,-4922.84375,15188.65625,1380324,0.0366566110565346,0.048892053565645
"Q2 2005",52444,-1.69269124786773,6.0640275944488,52372.8333333333,71.1666666666642,6678.36363636364,55331.8125,-2887.8125,15188.65625,1399608,0.0374704917376866,0.048892053565645
"Q3 2005",45968,5.55708643336089,6.0640275944488,51350.0833333333,-5382.08333333334,6678.36363636364,54954.375,-8986.375,15188.65625,1436992,0.0319890437803412,0.048892053565645
"Q4 2005",39128,-7.39592454973611,6.0640275944488,49673.25,-10545.25,6678.36363636364,54562,-15434,15188.65625,1469436,0.0266279034949464,0.048892053565645
"Q1 2006",43345,-14.3345586782086,6.0640275944488,48552.5833333333,-5207.58333333334,6678.36363636364,54287.125,-10942.125,15188.65625,1476000,0.0293665311653117,0.048892053565645
"Q2 2006",48737,-7.0684921058653,6.0640275944488,48149.3333333333,587.666666666664,6678.36363636364,54024.875,-5287.875,15188.65625,1490716,0.0326936854504815,0.048892053565645
"Q3 2006",55853,21.5040898016011,6.0640275944488,48402.3333333333,7450.66666666666,6678.36363636364,53925.375,1927.625,15188.65625,1504936,0.0371132061429855,0.048892053565645
"Q4 2006",56891,45.3971580453895,6.0640275944488,48671.5833333333,8219.41666666666,6678.36363636364,53970.0625,2920.9375,15188.65625,1514764,0.0375576657485919,0.048892053565645
"Q1 2007",64291,48.3239127927097,6.0640275944488,49700.25,14590.75,6678.36363636364,54229.25,10061.75,15188.65625,1547276,0.0415510872009906,0.048892053565645
"Q2 2007",64406,32.1501118246917,6.0640275944488,50621.8333333333,13784.1666666667,6678.36363636364,54535.6875,9870.3125,15188.65625,1576612,0.0408508878531941,0.048892053565645
"Q3 2007",61181,9.53932644620701,6.0640275944488,52091.25,9089.75,6678.36363636364,54668.46875,6512.53125,15188.65625,1582248,0.0386671368837249,0.048892053565645
"Q4 2007",68786,20.9084037897031,6.0640275944488,54302.3333333333,14483.6666666667,6678.36363636364,55021.75,13764.25,15188.65625,1604508,0.0428704624719852,0.048892053565645
"Q1 2008",70863,10.2222706133051,6.0640275944488,55991.0833333333,14871.9166666667,6678.36363636364,55419.3125,15443.6875,15188.65625,1637296,0.0432805063959113,0.048892053565645
"Q2 2008",68441,6.26494425985157,6.0640275944488,57324.1666666667,11116.8333333333,6678.36363636364,55694.25,12746.75,15188.65625,1677448,0.0408006686347356,0.048892053565645
"Q3 2008",71337,16.599924813259,6.0640275944488,59438.25,11898.75,6678.36363636364,56029.8125,15307.1875,15188.65625,1694512,0.0420988461574778,0.048892053565645
"Q4 2008",79044,14.9129183264036,6.0640275944488,62764.5833333333,16279.4166666667,6678.36363636364,56606.46875,22437.53125,15188.65625,1618908,0.0488255045993966,0.048892053565645
"Q1 2009",80905,14.1710060257116,6.0640275944488,65894.5833333333,15010.4166666667,6678.36363636364,57387.1875,23517.8125,15188.65625,1557232,0.051954365181296,0.048892053565645
"Q2 2009",68473,0.046755599713622,6.0640275944488,67539.25,933.75,6678.36363636364,57718.65625,10754.34375,15188.65625,1548488,0.0442192642112822,0.048892053565645
"Q3 2009",66034,-7.43373004191373,6.0640275944488,68387.6666666667,-2353.66666666667,6678.36363636364,57816.625,8217.375,15188.65625,1567924,0.042115561723655,0.048892053565645
"Q4 2009",64434,-18.4833763473508,6.0640275944488,69016.25,-4582.25,6678.36363636364,58085.71875,6348.28125,15188.65625,1611692,0.0399791027069688,0.048892053565645
"Q1 2010",60654,-25.0305914343984,6.0640275944488,68713.1666666667,-8059.16666666667,6678.36363636364,58156.90625,2497.09375,15188.65625,1644032,0.036893442463407,0.048892053565645
"Q2 2010",60544,-11.5797467614972,6.0640275944488,68391.3333333333,-7847.33333333333,6678.36363636364,58368.40625,2175.59375,15188.65625,1653240,0.0366214221770584,0.048892053565645
"Q3 2010",57810,-12.4541902656207,6.0640275944488,68110.4166666667,-10300.4166666667,6678.36363636364,58354.9375,-544.9375,15188.65625,1665372,0.0347129650312363,0.048892053565645
"Q4 2010",65099,1.03206381723935,6.0640275944488,67803.1666666667,-2704.16666666667,6678.36363636364,58537.71875,6561.28125,15188.65625,1701548,0.0382586914973894,0.048892053565645
"Q1 2011",60821,0.275332212220134,6.0640275944488,66966.3333333333,-6145.33333333333,6678.36363636364,58663.59375,2157.40625,15188.65625,1737952,0.0349957881460478,0.048892053565645
"Q2 2011",65541,8.25350158562368,6.0640275944488,66724.6666666667,-1183.66666666667,6678.36363636364,59037.5,6503.5,15188.65625,1759852,0.0372423362873696,0.048892053565645
"Q3 2011",65187,12.7607680332122,6.0640275944488,66212.1666666667,-1025.16666666667,6678.36363636364,59424.0625,5762.9375,15188.65625,1785748,0.0365040308038984,0.048892053565645
"Q4 2011",73361,12.6914391926143,6.0640275944488,65738.5833333333,7622.41666666667,6678.36363636364,60039.71875,13321.28125,15188.65625,1812700,0.040470568764826,0.048892053565645
"Q1 2012",75036,23.3718616925075,6.0640275944488,65249.5,9786.5,6678.36363636364,60761.25,14274.75,15188.65625,1815120,0.0413394155758297,0.048892053565645
"Q2 2012",71283,8.76092827390488,6.0640275944488,65483.6666666667,5799.33333333334,6678.36363636364,61321.75,9961.25,15188.65625,1818984,0.0391883600955259,0.048892053565645
"Q3 2012",78921,21.0686179759768,6.0640275944488,66557.5833333333,12363.4166666667,6678.36363636364,62427.15625,16493.84375,15188.65625,1830636,0.0431112465831547,0.048892053565645
"Q4 2012",89226,21.6259320347324,6.0640275944488,68623.5833333333,20602.4166666667,6678.36363636364,63895.0625,25330.9375,15188.65625,1844064,0.0483855224113697,0.048892053565645
"Q1 2013",91388,21.792206407591,6.0640275944488,71184.75,20203.25,6678.36363636364,65169.75,26218.25,15188.65625,1876844,0.0486923793346703,0.048892053565645
"Q2 2013",95153,33.4862449672432,6.0640275944488,74068.8333333333,21084.1666666667,6678.36363636364,66504.40625,28648.59375,15188.65625,1886592,0.0504364483682746,0.048892053565645
"Q3 2013",92360,17.0284208258892,6.0640275944488,76948,15412,6678.36363636364,67954.15625,24405.84375,15188.65625,1912428,0.0482946286082404,0.048892053565645
"Q4 2013",97578,9.36050030260238,6.0640275944488,79654.5833333333,17923.4166666667,6678.36363636364,69780.71875,27797.28125,15188.65625,1933124,0.0504768447342229,0.048892053565645
"Q1 2014",94979,3.92939992121504,6.0640275944488,82501.0833333333,12477.9166666667,6678.36363636364,71394.28125,23584.71875,15188.65625,1963452,0.0483734769171846,0.048892053565645
"Q2 2014",92599,-2.68409824177903,6.0640275944488,84755.9166666667,7843.08333333333,6678.36363636364,72764.96875,19834.03125,15188.65625,1988404,0.0465695100190907,0.048892053565645
"Q3 2014",91326,-1.11953226504981,6.0640275944488,86934.1666666667,4391.83333333333,6678.36363636364,73873.5,17452.5,15188.65625,2013792,0.0453502645754874,0.048892053565645
"Q4 2014",97980,0.411978109819836,6.0640275944488,88985.75,8994.25,6678.36363636364,75157.53125,22822.46875,15188.65625,2013944,0.0486508065765483,0.048892053565645
"Q1 2015",104661,10.1938323208288,6.0640275944488,91454.5,13206.5,6678.36363636364,76419.09375,28241.90625,15188.65625,1984300,0.0527445446757043,0.048892053565645
"Q2 2015",114372,23.5132128856683,6.0640275944488,95045.25,19326.75,6678.36363636364,77980.53125,36391.46875,15188.65625,1984920,0.0576204582552445,0.048892053565645
"Q3 2015",119355,30.6911503843374,6.0640275944488,98414.75,20940.25,6678.36363636364,79798.46875,39556.53125,15188.65625,2000864,0.0596517304524445,0.048892053565645
"Q4 2015",120585,23.0710349050827,6.0640275944488,101028,19557,6678.36363636364,81417.1875,39167.8125,15188.65625,1991680,0.0605443645565553,0.048892053565645
"Q1 2016",115085,9.95977489227124,6.0640275944488,103002.75,12082.25,6678.36363636364,82799.125,32285.875,15188.65625,1998420,0.0575879945156674,0.048892053565645
"Q2 2016",113135,-1.08155842339034,6.0640275944488,104501.25,8633.75,6678.36363636364,84195.8125,28939.1875,15188.65625,2002152,0.0565066987920997,0.048892053565645
"Q3 2016",116191,-2.6509153366009,6.0640275944488,106487.166666667,9703.83333333333,6678.36363636364,85597.5,30593.5,15188.65625,2035420,0.0570845329219522,0.048892053565645
"Q4 2016",128225,6.33577974043206,6.0640275944488,109041.083333333,19183.9166666667,6678.36363636364,87134.40625,41090.59375,15188.65625,2066148,0.0620599298791761,0.048892053565645
"Q1 2017",131258,14.0530911934657,6.0640275944488,112064.333333333,19193.6666666667,6678.36363636364,88707.9375,42550.0625,15188.65625,2107708,0.0622752297756615,0.048892053565645
"Q2 2017",132670,17.2669819242498,6.0640275944488,115403.583333333,17266.4166666667,6678.36363636364,90714.09375,41955.90625,15188.65625,2130892,0.0622603116441378,0.048892053565645
"Q3 2017",129655,11.5878166123022,6.0640275944488,118597.666666667,11057.3333333333,6678.36363636364,92702.25,36952.75,15188.65625,2143864,0.0604772504226014,0.048892053565645
"Q4 2017",137990,7.61551959446286,6.0640275944488,121931.833333333,16058.1666666667,6678.36363636364,95000.875,42989.125,15188.65625,2181964,0.0632411900471319,0.048892053565645
"Q1 2018",137057,4.41801642566548,6.0640275944488,124631.5,12425.5,6678.36363636364,97388.46875,39668.53125,15188.65625,2202260,0.0622347043491686,0.048892053565645
"Q2 2018",140622,5.99381925077259,6.0640275944488,126819,13803,6678.36363636364,99890.90625,40731.09375,15188.65625,2219616,0.0633542018078803,0.048892053565645
"Q3 2018",146352,12.8780224441788,6.0640275944488,129068.75,17283.25,6678.36363636364,102657.84375,43694.15625,15188.65625,2244092,0.0652165775734685,0.048892053565645
"Q4 2018",163488,18.4781505906225,6.0640275944488,132644,30844,6678.36363636364,105732.5,57755.5,15188.65625,2229456,0.0733308932762073,0.048892053565645
"Q1 2019",162842,18.8133404350015,6.0640275944488,136623.75,26218.25,6678.36363636364,108920.65625,53921.34375,15188.65625,2260360,0.0720425065033888,0.048892053565645
"Q2 2019",174491,24.0851360384577,6.0640275944488,141736.75,32754.25,6678.36363636364,112325.34375,62165.65625,15188.65625,2305088,0.0756981946025488,0.048892053565645
"Q3 2019",167976,14.7753361757953,6.0640275944488,146052.166666667,21923.8333333333,6678.36363636364,115537.5,52438.5,15188.65625,2312284,0.0726450557111497,0.048892053565645
"Q4 2019",176613,8.02811215502055,6.0640275944488,150084.5,26528.5,6678.36363636364,118764.125,57848.875,15188.65625,2337684,0.0755504165661398,0.048892053565645
