"Period","Banks Total Assets","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Total Assets to GDP","Mean_of_Ratio"
"Q3 1997",6332020,21.2015298295126,15.1876968378864,4997565,1334455,2226983.3349359,3657772.59375,2674247.40625,5497149.65024038,934830100,0.0067734447147134,0.00701390800526172
"Q4 1997",6332020,21.2015298295126,15.1876968378864,5280236.33333333,1051783.66666667,2226983.3349359,3753151.75,2578868.25,5497149.65024038,934830100,0.0067734447147134,0.00701390800526172
"Q1 1998",7554812,19.3112466479891,15.1876968378864,5552777.66666667,2002034.33333333,2226983.3349359,3926284.84375,3628527.15625,5497149.65024038,1129023000,0.00669145978425595,0.00701390800526172
"Q2 1998",7554812,19.3112466479891,15.1876968378864,5825319,1729493,2226983.3349359,4099417.9375,3455394.0625,5497149.65024038,1129023000,0.00669145978425595,0.00701390800526172
"Q3 1998",7554812,19.3112466479891,15.1876968378864,6097860.33333333,1456951.66666667,2226983.3349359,4272551.03125,3282260.96875,5497149.65024038,1129023000,0.00669145978425595,0.00701390800526172
"Q4 1998",7554812,19.3112466479891,15.1876968378864,6370401.66666667,1184410.33333333,2226983.3349359,4445684.125,3109127.875,5497149.65024038,1129023000,0.00669145978425595,0.00701390800526172
"Q1 1999",7148283,-5.38106044200703,15.1876968378864,6530727.5,617555.5,2226983.3349359,4556434.875,2591848.125,5497149.65024038,1277815000,0.00559414547489269,0.00701390800526172
"Q2 1999",7148283,-5.38106044200703,15.1876968378864,6691053.33333333,457229.666666667,2226983.3349359,4667185.625,2481097.375,5497149.65024038,1277815000,0.00559414547489269,0.00701390800526172
"Q3 1999",7148283,-5.38106044200703,15.1876968378864,6851379.16666667,296903.833333333,2226983.3349359,4777936.375,2370346.625,5497149.65024038,1277815000,0.00559414547489269,0.00701390800526172
"Q4 1999",7148283,-5.38106044200703,15.1876968378864,7011705,136578,2226983.3349359,4888687.125,2259595.875,5497149.65024038,1277815000,0.00559414547489269,0.00701390800526172
"Q1 2000",9192523,28.5976366632379,15.1876968378864,7250080.25,1942442.75,2226983.3349359,5059030.09375,4133492.90625,5497149.65024038,1272428000,0.00722439540783447,0.00701390800526172
"Q2 2000",9192523,28.5976366632379,15.1876968378864,7488455.5,1704067.5,2226983.3349359,5229373.0625,3963149.9375,5497149.65024038,1272428000,0.00722439540783447,0.00701390800526172
"Q3 2000",9192523,28.5976366632379,15.1876968378864,7726830.75,1465692.25,2226983.3349359,5399716.03125,3792806.96875,5497149.65024038,1272428000,0.00722439540783447,0.00701390800526172
"Q4 2000",9192523,28.5976366632379,15.1876968378864,7965206,1227317,2226983.3349359,5570059,3622464,5497149.65024038,1272428000,0.00722439540783447,0.00701390800526172
"Q1 2001",9759609,6.16899190787992,15.1876968378864,8148939.08333333,1610669.91666667,2226983.3349359,5816166.125,3943442.875,5497149.65024038,1399428000,0.0069739986623106,0.00701390800526172
"Q2 2001",9759609,6.16899190787992,15.1876968378864,8332672.16666667,1426936.83333333,2226983.3349359,6062273.25,3697335.75,5497149.65024038,1399428000,0.0069739986623106,0.00701390800526172
"Q3 2001",9759609,6.16899190787992,15.1876968378864,8516405.25,1243203.75,2226983.3349359,6308380.375,3451228.625,5497149.65024038,1399428000,0.0069739986623106,0.00701390800526172
"Q4 2001",9759609,6.16899190787992,15.1876968378864,8700138.33333333,1059470.66666667,2226983.3349359,6554487.5,3205121.5,5497149.65024038,1399428000,0.0069739986623106,0.00701390800526172
