"Period","Household Debt Service","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Disposable Income","Ratio: Household Debt Service to Disposable Income","Mean_of_Ratio"
"Q4 2011",145944,3.25739351917362,5.61201251016508,138442.666666667,7501.33333333334,8645.64393939394,124083.375,21860.625,21809.5838068182,1056768,0.138104106104651,0.133844412494179
"Q1 2012",146796,2.91074282829982,5.61201251016508,139606,7190,8645.64393939394,125844.875,20951.125,21809.5838068182,1064248,0.137934015379874,0.133844412494179
"Q2 2012",147792,2.69038354641468,5.61201251016508,140920,6872,8645.64393939394,127602.125,20189.875,21809.5838068182,1069720,0.138159518378641,0.133844412494179
"Q3 2012",149136,3.14263583047472,5.61201251016508,142353.666666667,6782.33333333334,8645.64393939394,129359.125,19776.875,21809.5838068182,1082712,0.137743000908829,0.133844412494179
"Q4 2012",149728,2.59277531107822,5.61201251016508,143740.333333333,5987.66666666666,8645.64393939394,131057,18671,21809.5838068182,1089420,0.137438269905087,0.133844412494179
"Q1 2013",151248,3.03278018474618,5.61201251016508,145056,6192,8645.64393939394,132700.75,18547.25,21809.5838068182,1112120,0.135999712261267,0.133844412494179
"Q2 2013",152792,3.38313305185666,5.61201251016508,146306.333333333,6485.66666666666,8645.64393939394,134310.875,18481.125,21809.5838068182,1118172,0.136644451837463,0.133844412494179
"Q3 2013",154296,3.45992919214677,5.61201251016508,147519,6777,8645.64393939394,135909.125,18386.875,21809.5838068182,1125528,0.137087660191483,0.133844412494179
"Q4 2013",155540,3.88170549262663,5.61201251016508,148702.333333333,6837.66666666666,8645.64393939394,137442.5,18097.5,21809.5838068182,1137596,0.13672692238721,0.133844412494179
"Q1 2014",156524,3.48831058923093,5.61201251016508,149859,6665,8645.64393939394,138902,17622,21809.5838068182,1144672,0.136741354728691,0.133844412494179
"Q2 2014",158124,3.48971150322006,5.61201251016508,151042.666666667,7081.33333333334,8645.64393939394,140277.625,17846.375,21809.5838068182,1150296,0.137463748461266,0.133844412494179
"Q3 2014",160712,4.15824130243169,5.61201251016508,152386,8326,8645.64393939394,141614.875,19097.125,21809.5838068182,1168648,0.137519595293022,0.133844412494179
"Q4 2014",163376,5.03793236466504,5.61201251016508,153838.666666667,9537.33333333334,8645.64393939394,142940.125,20435.875,21809.5838068182,1172732,0.139312306648066,0.133844412494179
"Q1 2015",165404,5.67325138636886,5.61201251016508,155389.333333333,10014.6666666667,8645.64393939394,144222.75,21181.25,21809.5838068182,1201800,0.137630221334665,0.133844412494179
"Q2 2015",165568,4.70769775619134,5.61201251016508,156870.666666667,8697.33333333334,8645.64393939394,145402.5,20165.5,21809.5838068182,1206060,0.137280068984959,0.133844412494179
"Q3 2015",165620,3.05391010005476,5.61201251016508,158244.333333333,7375.66666666666,8645.64393939394,146462.375,19157.625,21809.5838068182,1212024,0.136647459126222,0.133844412494179
"Q4 2015",165604,1.36372539418274,5.61201251016508,159567.333333333,6036.66666666666,8645.64393939394,147405.75,18198.25,21809.5838068182,1208948,0.136981904928913,0.133844412494179
"Q1 2016",166568,0.703731469613794,5.61201251016508,160844,5724,8645.64393939394,148352.5,18215.5,21809.5838068182,1187944,0.140215363687177,0.133844412494179
"Q2 2016",168620,1.84335137224584,5.61201251016508,162163,6457,8645.64393939394,149334.625,19285.375,21809.5838068182,1206716,0.139734618584655,0.133844412494179
"Q3 2016",169884,2.574568288854,5.61201251016508,163462,6422,8645.64393939394,150339.625,19544.375,21809.5838068182,1217856,0.139494324452152,0.133844412494179
"Q4 2016",171416,3.50957706335596,5.61201251016508,164785,6631,8645.64393939394,151439.375,19976.625,21809.5838068182,1231968,0.139139977661757,0.133844412494179
"Q1 2017",174144,4.54829258921281,5.61201251016508,166253.333333333,7890.66666666666,8645.64393939394,152730.25,21413.75,21809.5838068182,1234008,0.141120641033121,0.133844412494179
"Q2 2017",177596,5.32321195587712,5.61201251016508,167876,9720,8645.64393939394,154154.375,23441.625,21809.5838068182,1262660,0.140652273771245,0.133844412494179
"Q3 2017",180932,6.50326104871559,5.61201251016508,169561,11371,8645.64393939394,155685.625,25246.375,21809.5838068182,1288248,0.140448112475238,0.133844412494179
"Q4 2017",184864,7.84524198441219,5.61201251016508,171351.666666667,13512.3333333333,8645.64393939394,157303.625,27560.375,21809.5838068182,1302920,0.141884382771007,0.133844412494179
"Q1 2018",188312,8.13579566335906,5.61201251016508,173260.666666667,15051.3333333333,8645.64393939394,158955.25,29356.75,21809.5838068182,1308708,0.143891532717764,0.133844412494179
"Q2 2018",191732,7.95963873060204,5.61201251016508,175441,16291,8645.64393939394,160641,31091,21809.5838068182,1321192,0.145120466972249,0.133844412494179
"Q3 2018",195680,8.1511286008003,5.61201251016508,177946,17734,8645.64393939394,162389,33291,21809.5838068182,1330248,0.147100390303162,0.133844412494179
"Q4 2018",199088,7.6943050025965,5.61201251016508,180736.333333333,18351.6666666667,8645.64393939394,164193.625,34894.375,21809.5838068182,1348328,0.147655466622365,0.133844412494179
"Q1 2019",202112,7.32826373252899,5.61201251016508,183698.333333333,18413.6666666667,8645.64393939394,166052,36060,21809.5838068182,1364580,0.148112972489704,0.133844412494179
"Q2 2019",205660,7.26430642772203,5.61201251016508,186785,18875,8645.64393939394,167981.375,37678.625,21809.5838068182,1388508,0.14811581928228,0.133844412494179
"Q3 2019",208868,6.73957481602617,5.61201251016508,190033.666666667,18834.3333333333,8645.64393939394,169990,38878,21809.5838068182,1397676,0.149439498138338,0.133844412494179
"Q4 2019",211980,6.47552840954754,5.61201251016508,193414,18566,8645.64393939394,172053.625,39926.375,21809.5838068182,1415400,0.149766850360322,0.133844412494179
