"Period","Inward FPI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI to GDP","Mean_of_Ratio"
"Q1 1998",593126,10.4982730162042,7.06840061475162,524784,68342,110232.699810606,408870.9375,184255.0625,279124.223011364,934612,0.634622709744793,0.685749619958473
"Q2 1998",612236,12.9022204764776,7.06840061475162,535929,76307,110232.699810606,420670.8125,191565.1875,279124.223011364,935212,0.654649427081774,0.685749619958473
"Q3 1998",593088,5.44836463719055,7.06840061475162,545098.416666667,47989.5833333334,110232.699810606,431720.59375,161367.40625,279124.223011364,938872,0.631702724120008,0.685749619958473
"Q4 1998",631153,11.7856573564053,7.06840061475162,557000.333333333,74152.6666666666,110232.699810606,443695.90625,187457.09375,279124.223011364,953496,0.661935655734266,0.685749619958473
"Q1 1999",610987,3.011333173727,7.06840061475162,566171.25,44815.75,110232.699810606,454553.4375,156433.5625,279124.223011364,975240,0.626499118165785,0.685749619958473
"Q2 1999",609593,-0.431696273985849,7.06840061475162,574789.75,34803.25,110232.699810606,465281.03125,144311.96875,279124.223011364,994172,0.613166534563436,0.685749619958473
"Q3 1999",615254,3.73738804359555,7.06840061475162,583421.083333333,31832.9166666666,110232.699810606,475904.65625,139349.34375,279124.223011364,1021308,0.602417683989551,0.685749619958473
"Q4 1999",645109,2.21119126424179,7.06840061475162,593053.75,52055.25,110232.699810606,487041.53125,158067.46875,279124.223011364,1040988,0.619708392411824,0.685749619958473
"Q1 2000",680105,11.3125156509058,7.06840061475162,604998,75107,110232.699810606,499026.21875,181078.78125,279124.223011364,1070188,0.635500491502428,0.685749619958473
"Q2 2000",701268,15.0387225575097,7.06840061475162,618247.75,83020.25,110232.699810606,511263.5625,190004.4375,279124.223011364,1099448,0.637836441559764,0.685749619958473
"Q3 2000",705140,14.6095758824811,7.06840061475162,630139.083333333,75000.9166666666,110232.699810606,523414.40625,181725.59375,279124.223011364,1121768,0.628597000449291,0.685749619958473
"Q4 2000",645962,0.132225716894354,7.06840061475162,636918.416666667,9043.58333333337,110232.699810606,533565.625,112396.375,279124.223011364,1132880,0.570194548407598,0.685749619958473
"Q1 2001",635775,-6.5181111740099,7.06840061475162,640472.5,-4697.5,110232.699810606,541819.90625,93955.09375,279124.223011364,1149924,0.552884364531917,0.685749619958473
"Q2 2001",624545,-10.9406104370939,7.06840061475162,641498.25,-16953.25,110232.699810606,549240.0625,75304.9375,279124.223011364,1152860,0.541735336467568,0.685749619958473
"Q3 2001",610008,-13.4912216013841,7.06840061475162,642908.25,-32900.25,110232.699810606,555560.0625,54447.9375,279124.223011364,1138804,0.535656706509636,0.685749619958473
"Q4 2001",649630,0.567835259659237,7.06840061475162,644448,5182,110232.699810606,563008.09375,86621.90625,279124.223011364,1136584,0.571563562393981,0.685749619958473
"Q1 2002",651184,2.42365616766938,7.06840061475162,647797.75,3386.25,110232.699810606,570596.5,80587.5,279124.223011364,1158640,0.562024442449769,0.685749619958473
"Q2 2002",633928,1.50237372807404,7.06840061475162,649825.666666667,-15897.6666666666,110232.699810606,577290.03125,56637.96875,279124.223011364,1185892,0.534557953000779,0.685749619958473
"Q3 2002",642747,5.36697879372074,7.06840061475162,652116.75,-9369.75,110232.699810606,584186.65625,58560.34375,279124.223011364,1204144,0.533779182556239,0.685749619958473
"Q4 2002",665225,2.40059726305743,7.06840061475162,653793.083333333,11431.9166666666,110232.699810606,591678.75,73546.25,279124.223011364,1226100,0.542553625316043,0.685749619958473
"Q1 2003",642589,-1.3199034374309,7.06840061475162,650666.75,-8077.75,110232.699810606,596966.6875,45622.3125,279124.223011364,1250088,0.51403501193516,0.685749619958473
"Q2 2003",657288,3.68496106813392,7.06840061475162,647001.75,10286.25,110232.699810606,602553.9375,54734.0625,279124.223011364,1237720,0.531047409753418,0.685749619958473
"Q3 2003",653612,1.69040073310338,7.06840061475162,642707.75,10904.25,110232.699810606,607883.84375,45728.15625,279124.223011364,1258296,0.519442166231157,0.685749619958473
"Q4 2003",678439,1.98639558044271,7.06840061475162,645414.166666667,33024.8333333334,110232.699810606,613824.75,64614.25,279124.223011364,1272884,0.532993579933442,0.685749619958473
"Q1 2004",700824,9.06255787136101,7.06840061475162,650834.916666667,49989.0833333334,110232.699810606,620071.25,80752.75,279124.223011364,1296216,0.540669147734637,0.685749619958473
"Q2 2004",707411,7.62572875208432,7.06840061475162,657740.416666667,49670.5833333334,110232.699810606,626360,81051,279124.223011364,1328148,0.532629646696001,0.685749619958473
"Q3 2004",708166,8.34654198515327,7.06840061475162,665920.25,42245.75,110232.699810606,632500.25,75665.75,279124.223011364,1351480,0.523992955870601,0.685749619958473
"Q4 2004",726382,7.06666332566377,7.06840061475162,672316.25,54065.75,110232.699810606,638652.28125,87729.71875,279124.223011364,1367080,0.531338326945021,0.685749619958473
"Q1 2005",737675,5.25823887309795,7.06840061475162,679523.833333333,58151.1666666666,110232.699810606,644930.4375,92744.5625,279124.223011364,1380324,0.534421628545182,0.685749619958473
"Q2 2005",752719,6.40476328471002,7.06840061475162,689423.083333333,63295.9166666666,110232.699810606,651506.9375,101212.0625,279124.223011364,1399608,0.537807014535499,0.685749619958473
"Q3 2005",764906,8.01224571639983,7.06840061475162,699603,65303,110232.699810606,657833.875,107072.125,279124.223011364,1436992,0.532296630739768,0.685749619958473
"Q4 2005",763606,5.12457632485386,7.06840061475162,707801.416666667,55804.5833333334,110232.699810606,664052.5,99553.5,279124.223011364,1469436,0.519659243410397,0.685749619958473
"Q1 2006",796973,8.03849933913986,7.06840061475162,720666.75,76306.25,110232.699810606,670422.71875,126550.28125,279124.223011364,1476000,0.53995460704607,0.685749619958473
"Q2 2006",782959,4.01743545732205,7.06840061475162,731139.333333333,51819.6666666666,110232.699810606,675757.8125,107201.1875,279124.223011364,1490716,0.525223449671165,0.685749619958473
"Q3 2006",803469,5.04153451535221,7.06840061475162,743627.416666667,59841.5833333334,110232.699810606,682332.21875,121136.78125,279124.223011364,1504936,0.533889148774433,0.685749619958473
