"Period","Fed Gov Interest-Bearing Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Fed Gov Interest-Bearing Debt to GDP","Mean_of_Ratio"
"Q3 2010",860148,6.71917339129917,2.12157112832393,751012.583333333,109135.416666667,21915.8551587302,683394.875,176753.125,66560.8746279762,1665372,0.516490009439332,0.497860412757959
"Q4 2010",870653,6.48847912740046,2.12157112832393,772242.666666667,98410.3333333334,21915.8551587302,690456.5,180196.5,66560.8746279762,1701548,0.511682891108567,0.497860412757959
"Q1 2011",888229,5.28730808985994,2.12157112832393,793186.416666667,95042.5833333334,21915.8551587302,697787.4375,190441.5625,66560.8746279762,1737952,0.511077981440224,0.497860412757959
"Q2 2011",894590,7.06741396870762,2.12157112832393,812671.666666667,81918.3333333334,21915.8551587302,705378.71875,189211.28125,66560.8746279762,1759852,0.508332518870905,0.497860412757959
"Q3 2011",916199,6.51643670624125,2.12157112832393,833708.333333333,82490.6666666666,21915.8551587302,713955.65625,202243.34375,66560.8746279762,1785748,0.513061753394096,0.497860412757959
"Q4 2011",937155,7.63817502495254,2.12157112832393,851696.833333333,85458.1666666666,21915.8551587302,723189.96875,213965.03125,66560.8746279762,1812700,0.516993986870414,0.497860412757959
"Q1 2012",950069,6.96216853986979,2.12157112832393,865715.416666667,84353.5833333334,21915.8551587302,732339.0625,217729.9375,66560.8746279762,1815120,0.523419388249813,0.497860412757959
"Q2 2012",965178,7.8905420360165,2.12157112832393,882081.583333333,83096.4166666666,21915.8551587302,742432.40625,222745.59375,66560.8746279762,1818984,0.530613793194443,0.497860412757959
"Q3 2012",967125,5.55839943069137,2.12157112832393,895509.333333333,71615.6666666666,21915.8551587302,752969.21875,214155.78125,66560.8746279762,1830636,0.52830000065551,0.497860412757959
"Q4 2012",983490,4.94421947276598,2.12157112832393,909333.25,74156.75,21915.8551587302,764194.125,219295.875,66560.8746279762,1844064,0.533327476703628,0.497860412757959
"Q1 2013",979517,3.09956434743161,2.12157112832393,920657.666666667,58859.3333333334,21915.8551587302,774525.15625,204991.84375,66560.8746279762,1876844,0.521895799544342,0.497860412757959
"Q2 2013",966664,0.153961238237921,2.12157112832393,931584.75,35079.25,21915.8551587302,784377.34375,182286.65625,66560.8746279762,1886592,0.512386355926454,0.497860412757959
"Q3 2013",966234,-0.0921287320666925,2.12157112832393,940425.25,25808.75,21915.8551587302,794197.875,172036.125,66560.8746279762,1912428,0.505239412934761,0.497860412757959
"Q4 2013",947149,-3.69510620341844,2.12157112832393,946799.916666667,349.083333333372,21915.8551587302,803377.78125,143771.21875,66560.8746279762,1933124,0.489957705765383,0.497860412757959
"Q1 2014",947031,-3.31653253593353,2.12157112832393,951700.083333333,-4669.08333333337,21915.8551587302,812331.59375,134699.40625,66560.8746279762,1963452,0.482329590944928,0.497860412757959
"Q2 2014",956351,-1.06686501204141,2.12157112832393,956846.833333333,-495.833333333372,21915.8551587302,822291.21875,134059.78125,66560.8746279762,1988404,0.48096413002589,0.497860412757959
"Q3 2014",952418,-1.42988137449107,2.12157112832393,959865.083333333,-7447.08333333337,21915.8551587302,832180.53125,120237.46875,66560.8746279762,2013792,0.472947553669892,0.497860412757959
"Q4 2014",951816,0.492741902277255,2.12157112832393,961086.833333333,-9270.83333333337,21915.8551587302,841733.0625,110082.9375,66560.8746279762,2013944,0.472612942564441,0.497860412757959
"Q1 2015",996024,5.17332589957457,2.12157112832393,964916.416666667,31107.5833333334,21915.8551587302,852642.6875,143381.3125,66560.8746279762,1984300,0.501952325757194,0.497860412757959
"Q2 2015",976329,2.08898197419148,2.12157112832393,965845.666666667,10483.3333333334,21915.8551587302,863607,112722,66560.8746279762,1984920,0.491873224109788,0.497860412757959
