"Period","Banks Business Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Business Loans to GDP","Mean_of_Ratio"
"Q4 1975",27898,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,188532,NA,0.183723612692649
"Q1 1976",30249,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,196288,NA,0.183723612692649
"Q2 1976",30783,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,206268,NA,0.183723612692649
"Q3 1976",32126,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,208464,NA,0.183723612692649
"Q4 1976",33625,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,213008,NA,0.183723612692649
"Q1 1977",35287,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,219892,NA,0.183723612692649
"Q2 1977",35810,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,224772,NA,0.183723612692649
"Q3 1977",36539,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,229704,NA,0.183723612692649
"Q4 1977",37157,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,235948,NA,0.183723612692649
"Q1 1978",38129,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,241296,NA,0.183723612692649
"Q2 1978",38935,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,248648,NA,0.183723612692649
"Q3 1978",40508,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,255176,NA,0.183723612692649
"Q4 1978",41275,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,263056,NA,0.183723612692649
"Q1 1979",44371,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,271352,NA,0.183723612692649
"Q2 1979",47699,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,284116,NA,0.183723612692649
"Q3 1979",50426,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,292900,NA,0.183723612692649
"Q4 1979",53662,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,301924,NA,0.183723612692649
"Q1 1980",56147,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,309756,NA,0.183723612692649
"Q2 1980",61202,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,317208,NA,0.183723612692649
"Q3 1980",60408,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,324720,NA,0.183723612692649
"Q4 1980",63796,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,339304,NA,0.183723612692649
"Q1 1981",69875,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,355992,NA,0.183723612692649
"Q2 1981",75079,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,367992,NA,0.183723612692649
"Q3 1981",83236,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,372820,NA,0.183723612692649
"Q4 1981",91139,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,376628,NA,0.183723612692649
"Q1 1982",90588,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,383004,NA,0.183723612692649
"Q2 1982",91861,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,386516,NA,0.183723612692649
"Q3 1982",92848,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,389560,NA,0.183723612692649
"Q4 1982",90407,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,393644,NA,0.183723612692649
"Q1 1983",86585,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,403236,NA,0.183723612692649
"Q2 1983",83413,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,415804,NA,0.183723612692649
"Q3 1983",80404,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,428960,NA,0.183723612692649
"Q4 1983",80346,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,437264,NA,0.183723612692649
"Q1 1984",80351,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,447840,NA,0.183723612692649
"Q2 1984",80358,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,459552,NA,0.183723612692649
"Q3 1984",83012,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,465180,NA,0.183723612692649
"Q4 1984",85036,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,475372,NA,0.183723612692649
"Q1 1985",85079,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,486096,NA,0.183723612692649
"Q2 1985",86587,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,495352,NA,0.183723612692649
"Q3 1985",85966,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,503872,NA,0.183723612692649
"Q4 1985",85657,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,514788,NA,0.183723612692649
"Q1 1986",93923,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,518612,NA,0.183723612692649
"Q2 1986",84948,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,523844,NA,0.183723612692649
"Q3 1986",83895,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,530220,NA,0.183723612692649
"Q4 1986",82064,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,533844,NA,0.183723612692649
"Q1 1987",81067,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,552484,NA,0.183723612692649
"Q2 1987",82860,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,567420,NA,0.183723612692649
"Q3 1987",85418,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,581680,NA,0.183723612692649
"Q4 1987",87608,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,595760,NA,0.183723612692649
"Q1 1988",88582,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,610948,NA,0.183723612692649
"Q2 1988",91158,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,621168,NA,0.183723612692649
"Q3 1988",91120,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,631392,NA,0.183723612692649
"Q4 1988",93120,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,644068,NA,0.183723612692649
"Q1 1989",94830,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,656160,NA,0.183723612692649
"Q2 1989",99610,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,669792,NA,0.183723612692649
"Q3 1989",103426,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,679132,NA,0.183723612692649
"Q4 1989",103646,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,681232,NA,0.183723612692649
"Q1 1990",103707,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,691928,NA,0.183723612692649
"Q2 1990",105602,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,695624,NA,0.183723612692649
"Q3 1990",106963,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,697684,NA,0.183723612692649
"Q4 1990",107848,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,696768,NA,0.183723612692649
"Q1 1991",110830,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,694008,NA,0.183723612692649
"Q2 1991",112465,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,701572,NA,0.183723612692649
"Q3 1991",110219,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,704796,NA,0.183723612692649
"Q4 1991",112690,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,706716,NA,0.183723612692649
"Q1 1992",117402,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,710008,NA,0.183723612692649
"Q2 1992",110545,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,714744,NA,0.183723612692649
"Q3 1992",111192,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,721660,NA,0.183723612692649
