"Period","Fed Gov Interest to Foreigners","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Revenue","Ratio: Fed Gov Interest to Foreigners to Revenue","Mean_of_Ratio"
"Q2 1996",1618,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,37046,NA,0.0161281486456186
"Q3 1996",1675,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,38857,NA,0.0161281486456186
"Q4 1996",1730,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,39821,NA,0.0161281486456186
"Q1 1997",1700,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,38530,NA,0.0161281486456186
"Q2 1997",1700,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,42239,NA,0.0161281486456186
"Q3 1997",1670,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,42410,NA,0.0161281486456186
"Q4 1997",1698,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,43987,NA,0.0161281486456186
"Q1 1998",1589,-6.52941176470588,-1.75313656927428,1657,-68,-48.436553030303,1570.84375,18.15625,-124.068181818182,40535,0.0392006907610707,0.0161281486456186
"Q2 1998",1571,-7.58823529411765,-1.75313656927428,1662.91666666667,-91.9166666666667,-48.436553030303,1581.5625,-10.5625,-124.068181818182,44172,0.0355655166168614,0.0161281486456186
"Q3 1998",1535,-8.08383233532934,-1.75313656927428,1651.16666666667,-116.166666666667,-48.436553030303,1588.34375,-53.34375,-124.068181818182,43759,0.035078498137526,0.0161281486456186
"Q4 1998",1439,-15.2532391048292,-1.75313656927428,1629.66666666667,-190.666666666667,-48.436553030303,1589.375,-150.375,-124.068181818182,43688,0.0329381065738876,0.0161281486456186
"Q1 1999",1414,-11.0132158590308,-1.75313656927428,1611.58333333333,-197.583333333333,-48.436553030303,1589.6875,-175.6875,-124.068181818182,42188,0.0335166398027875,0.0161281486456186
"Q2 1999",1409,-10.3119032463399,-1.75313656927428,1594.16666666667,-185.166666666667,-48.436553030303,1589.15625,-180.15625,-124.068181818182,46857,0.0300702136287001,0.0161281486456186
"Q3 1999",1431,-6.77524429967427,-1.75313656927428,1573.83333333333,-142.833333333333,-48.436553030303,1588.40625,-157.40625,-124.068181818182,46479,0.0307880978506422,0.0161281486456186
"Q4 1999",1477,2.64072272411397,-1.75313656927428,1552.75,-75.75,-48.436553030303,1586.34375,-109.34375,-124.068181818182,47275,0.0312427287149656,0.0161281486456186
"Q1 2000",1399,-1.06082036775106,-1.75313656927428,1527.66666666667,-128.666666666667,-48.436553030303,1582.9375,-183.9375,-124.068181818182,47823,0.0292537063755933,0.0161281486456186
"Q2 2000",1382,-1.91625266146203,-1.75313656927428,1501.16666666667,-119.166666666667,-48.436553030303,1577.90625,-195.90625,-124.068181818182,51542,0.0268130844747973,0.0161281486456186
"Q3 2000",1330,-7.05800139762404,-1.75313656927428,1472.83333333333,-142.833333333333,-48.436553030303,1570.65625,-240.65625,-124.068181818182,50626,0.0262710860032394,0.0161281486456186
