"Period","Public NFCs ST Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs ST Debt Securities to GDP","Mean_of_Ratio"
"Q2 2002",34993,13.2386253316937,8.77238435740659,30199.4166666667,4793.58333333333,2207.90340909091,22747.3125,12245.6875,5499.89098011364,1185892,0.0295077460679387,0.0250540123414798
"Q3 2002",36725,21.618041527304,8.77238435740659,31246.75,5478.25,2207.90340909091,23345.4375,13379.5625,5499.89098011364,1204144,0.0304988439920807,0.0250540123414798
"Q4 2002",39153,26.7415512106694,8.77238435740659,32481,6672,2207.90340909091,24025.09375,15127.90625,5499.89098011364,1226100,0.0319329581600196,0.0250540123414798
"Q1 2003",37214,19.1610630803714,8.77238435740659,33105.9166666667,4108.08333333334,2207.90340909091,24558.15625,12655.84375,5499.89098011364,1250088,0.0297691042550604,0.0250540123414798
"Q2 2003",36050,3.02060412082416,8.77238435740659,33448.3333333333,2601.66666666666,2207.90340909091,25084.6875,10965.3125,5499.89098011364,1237720,0.0291261351517306,0.0250540123414798
"Q3 2003",35044,-4.57726344452008,8.77238435740659,33916.8333333333,1127.16666666666,2207.90340909091,25567.6875,9476.3125,5499.89098011364,1258296,0.027850362712748,0.0250540123414798
"Q4 2003",33207,-15.1865757413225,8.77238435740659,33896.4166666667,-689.416666666664,2207.90340909091,26103.53125,7103.46875,5499.89098011364,1272884,0.0260880017346435,0.0250540123414798
"Q1 2004",34120,-8.31407534798732,8.77238435740659,34143.9166666667,-23.9166666666642,2207.90340909091,26620.78125,7499.21875,5499.89098011364,1296216,0.026322773364933,0.0250540123414798
"Q2 2004",28992,-19.5783633841886,8.77238435740659,33984.75,-4992.75,2207.90340909091,26923.3125,2068.6875,5499.89098011364,1328148,0.0218288925631782,0.0250540123414798
"Q3 2004",21541,-38.5315603241639,8.77238435740659,33263.4166666667,-11722.4166666667,2207.90340909091,27036.25,-5495.25,5499.89098011364,1351480,0.0159388226240862,0.0250540123414798
"Q4 2004",18260,-45.0115939410365,8.77238435740659,32210.75,-13950.75,2207.90340909091,27011.21875,-8751.21875,5499.89098011364,1367080,0.0133569359510782,0.0250540123414798
