"Period","Payments Cross-Border Financial Liabilities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Payments Cross-Border Financial Liabilities to GDP","Mean_of_Ratio"
"Q4 1984",7548,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,475372,NA,0.0138480630675787
"Q1 1985",7676,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,486096,NA,0.0138480630675787
"Q2 1985",7901,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,495352,NA,0.0138480630675787
"Q3 1985",8182,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,503872,NA,0.0138480630675787
"Q4 1985",8018,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,514788,NA,0.0138480630675787
"Q1 1986",7705,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,518612,NA,0.0138480630675787
"Q2 1986",7800,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,523844,NA,0.0138480630675787
"Q3 1986",7933,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,530220,NA,0.0138480630675787
"Q4 1986",8093,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,533844,NA,0.0138480630675787
"Q1 1987",8015,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,552484,NA,0.0138480630675787
"Q2 1987",8609,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,567420,NA,0.0138480630675787
"Q3 1987",8812,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,581680,NA,0.0138480630675787
"Q4 1987",9755,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,595760,NA,0.0138480630675787
"Q1 1988",9431,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,610948,NA,0.0138480630675787
"Q2 1988",8797,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,621168,NA,0.0138480630675787
"Q3 1988",9638,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,631392,NA,0.0138480630675787
"Q4 1988",10585,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,644068,NA,0.0138480630675787
"Q1 1989",10271,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,656160,NA,0.0138480630675787
"Q2 1989",10328,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,669792,NA,0.0138480630675787
"Q3 1989",9927,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,679132,NA,0.0138480630675787
