"Period","Inward FPI - Money Markets","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Money Markets to GDP","Mean_of_Ratio"
"Q1 2009",44988,137.541580864882,7.83288952810754,26281.5,18706.5,3882.53125,23276.9375,21711.0625,9418.18288352273,1557232,0.0288897222764495,0.0296628054415963
"Q2 2009",44912,108.456718496171,7.83288952810754,27754,17158,3882.53125,23955.53125,20956.46875,9418.18288352273,1548488,0.0290037765872257,0.0296628054415963
"Q3 2009",36297,52.8552177208793,7.83288952810754,28600.9166666667,7696.08333333333,3882.53125,24481.375,11815.625,9418.18288352273,1567924,0.0231497189914817,0.0296628054415963
"Q4 2009",32923,-6.00947813178029,7.83288952810754,29284.8333333333,3638.16666666667,3882.53125,24839.5,8083.5,9418.18288352273,1611692,0.0204276003107293,0.0296628054415963
"Q1 2010",32563,-27.6184760380546,7.83288952810754,30002.4166666667,2560.58333333333,3882.53125,25072.65625,7490.34375,9418.18288352273,1644032,0.0198067920819059,0.0296628054415963
"Q2 2010",33401,-25.630121125757,7.83288952810754,30762.5833333333,2638.41666666667,3882.53125,25367.3125,8033.6875,9418.18288352273,1653240,0.020203358254095,0.0296628054415963
"Q3 2010",33590,-7.45791663222856,7.83288952810754,31678.5833333333,1911.41666666667,3882.53125,25701.46875,7888.53125,9418.18288352273,1665372,0.0201696677979454,0.0296628054415963
"Q4 2010",35629,8.21917808219178,7.83288952810754,32796.75,2832.25,3882.53125,26021.09375,9607.90625,9418.18288352273,1701548,0.0209391683337761,0.0296628054415963
"Q1 2011",36198,11.1629763842398,7.83288952810754,34235,1963,3882.53125,26419.15625,9778.84375,9418.18288352273,1737952,0.0208279630277476,0.0296628054415963
"Q2 2011",41335,23.7537798269513,7.83288952810754,35884.1666666667,5450.83333333334,3882.53125,26993.96875,14341.03125,9418.18288352273,1759852,0.0234877705625246,0.0296628054415963
"Q3 2011",58576,74.3852337005061,7.83288952810754,38786.6666666667,19789.3333333333,3882.53125,28172.1875,30403.8125,9418.18288352273,1785748,0.0328019406993596,0.0296628054415963
"Q4 2011",67986,90.8164697297146,7.83288952810754,41533.1666666667,26452.8333333333,3882.53125,29624.15625,38361.84375,9418.18288352273,1812700,0.0375053787168312,0.0296628054415963
"Q1 2012",60083,65.9843085253329,7.83288952810754,42791.0833333333,17291.9166666667,3882.53125,30906.71875,29176.28125,9418.18288352273,1815120,0.0331013927453832,0.0296628054415963
"Q2 2012",70726,71.1043909519777,7.83288952810754,44942.25,25783.75,3882.53125,32456.8125,38269.1875,9418.18288352273,1818984,0.0388821451975388,0.0296628054415963
"Q3 2012",74676,27.4856596558317,7.83288952810754,48140.5,26535.5,3882.53125,34221.15625,40454.84375,9418.18288352273,1830636,0.0407923803530576,0.0296628054415963
"Q4 2012",80908,19.0068543523667,7.83288952810754,52139.25,28768.75,3882.53125,36105.90625,44802.09375,9418.18288352273,1844064,0.0438748329775973,0.0296628054415963
"Q1 2013",75522,25.6961203668259,7.83288952810754,55719.1666666667,19802.8333333333,3882.53125,37881.71875,37640.28125,9418.18288352273,1876844,0.0402388264554753,0.0296628054415963
"Q2 2013",85514,20.9088595424596,7.83288952810754,60061.9166666667,25452.0833333333,3882.53125,39934.28125,45579.71875,9418.18288352273,1886592,0.0453272355655065,0.0296628054415963
"Q3 2013",88416,18.3994857785634,7.83288952810754,64630.75,23785.25,3882.53125,42141.3125,46274.6875,9418.18288352273,1912428,0.046232328746494,0.0296628054415963
"Q4 2013",80529,-0.468433282246502,7.83288952810754,68372.4166666667,12156.5833333333,3882.53125,44004.75,36524.25,9418.18288352273,1933124,0.041657441529876,0.0296628054415963
"Q1 2014",76710,1.5730515611345,7.83288952810754,71748.4166666667,4961.58333333333,3882.53125,45683.5,31026.5,9418.18288352273,1963452,0.0390689459177,0.0296628054415963
"Q2 2014",82518,-3.50351989147976,7.83288952810754,75180.3333333333,7337.66666666667,3882.53125,47410.875,35107.125,9418.18288352273,1988404,0.0414996147664157,0.0296628054415963
"Q3 2014",80958,-8.43512486427796,7.83288952810754,77045.5,3912.5,3882.53125,49124.125,31833.875,9418.18288352273,2013792,0.0402017686037088,0.0296628054415963
"Q4 2014",80520,-0.0111760980516336,7.83288952810754,78090,2430,3882.53125,50868,29652,9418.18288352273,2013944,0.0399812507199803,0.0296628054415963
"Q1 2015",70844,-7.64698214052927,7.83288952810754,78986.75,-8142.75,3882.53125,52333.375,18510.625,9418.18288352273,1984300,0.0357022627626871,0.0296628054415963
"Q2 2015",90064,9.14467146561962,7.83288952810754,80598.25,9465.75,3882.53125,54389.15625,35674.84375,9418.18288352273,1984920,0.0453741208713701,0.0296628054415963
"Q3 2015",89345,10.3596926801551,7.83288952810754,81820.6666666667,7524.33333333333,3882.53125,56475,32870,9418.18288352273,2000864,0.0446532098133606,0.0296628054415963
"Q4 2015",95773,18.9431197218082,7.83288952810754,83059.4166666667,12713.5833333333,3882.53125,58773.8125,36999.1875,9418.18288352273,1991680,0.0480865400064267,0.0296628054415963
"Q1 2016",96717,36.5210885890125,7.83288952810754,84825.6666666667,11891.3333333333,3882.53125,61204.375,35512.625,9418.18288352273,1998420,0.0483967334194013,0.0296628054415963
"Q2 2016",97989,8.79929827678096,7.83288952810754,85865.25,12123.75,3882.53125,63593.25,34395.75,9418.18288352273,2002152,0.0489418385816861,0.0296628054415963
"Q3 2016",90689,1.50428115731155,7.83288952810754,86054.6666666667,4634.33333333333,3882.53125,65685.21875,25003.78125,9418.18288352273,2035420,0.0445554234506883,0.0296628054415963
"Q4 2016",100090,4.50753343844298,7.83288952810754,87684.75,12405.25,3882.53125,67718.40625,32371.59375,9418.18288352273,2066148,0.0484428027421075,0.0296628054415963
"Q1 2017",95160,-1.60985142219051,7.83288952810754,89222.25,5937.75,3882.53125,69286.28125,25873.71875,9418.18288352273,2107708,0.0451485689668588,0.0296628054415963
"Q2 2017",94827,-3.22689281449959,7.83288952810754,90248,4579,3882.53125,70846.125,23980.875,9418.18288352273,2130892,0.0445010821759151,0.0296628054415963
"Q3 2017",88233,-2.7081564467576,7.83288952810754,90854.25,-2621.25,3882.53125,72469.125,15763.875,9418.18288352273,2143864,0.04115606213827,0.0296628054415963
"Q4 2017",85401,-14.6757917873913,7.83288952810754,91261,-5860,3882.53125,74109.0625,11291.9375,9418.18288352273,2181964,0.0391395091761367,0.0296628054415963
"Q1 2018",102472,7.6839007986549,7.83288952810754,93896.6666666667,8575.33333333333,3882.53125,76293.71875,26178.28125,9418.18288352273,2202260,0.0465303824253267,0.0296628054415963
"Q2 2018",97973,3.31762050892678,7.83288952810754,94555.75,3417.25,3882.53125,78311.59375,19661.40625,9418.18288352273,2219616,0.0441396169427505,0.0296628054415963
"Q3 2018",107271,21.576961000986,7.83288952810754,96049.5833333333,11221.4166666667,3882.53125,80614.125,26656.875,9418.18288352273,2244092,0.0478015161588741,0.0296628054415963
"Q4 2018",106413,24.6039273544806,7.83288952810754,96936.25,9476.75,3882.53125,82826.125,23586.875,9418.18288352273,2229456,0.047730477748832,0.0296628054415963
"Q1 2019",103798,1.29401202279647,7.83288952810754,97526.3333333333,6271.66666666667,3882.53125,84938.625,18859.375,9418.18288352273,2260360,0.0459210037339185,0.0296628054415963
"Q2 2019",104167,6.32214998009656,7.83288952810754,98041.1666666667,6125.83333333333,3882.53125,86902.125,17264.875,9418.18288352273,2305088,0.0451900317905434,0.0296628054415963
"Q3 2019",102017,-4.89787547426611,7.83288952810754,98985.1666666667,3031.83333333333,3882.53125,88259.65625,13757.34375,9418.18288352273,2312284,0.0441195804667593,0.0296628054415963
"Q4 2019",107761,1.26676251961696,7.83288952810754,99624.4166666667,8136.58333333333,3882.53125,89502.625,18258.375,9418.18288352273,2337684,0.0460973339424832,0.0296628054415963
