"Period","Income Cross-Border Financial Asset","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Income Cross-Border Financial Asset to GDP","Mean_of_Ratio"
"Q2 1990",4588,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,695624,NA,0.00982547485180916
"Q3 1990",4389,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,697684,NA,0.00982547485180916
"Q4 1990",4597,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,696768,NA,0.00982547485180916
"Q1 1991",3977,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,694008,NA,0.00982547485180916
"Q2 1991",3418,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,701572,NA,0.00982547485180916
"Q3 1991",3606,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,704796,NA,0.00982547485180916
"Q4 1991",4008,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,706716,NA,0.00982547485180916
"Q1 1992",3610,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,710008,NA,0.00982547485180916
"Q2 1992",3607,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,714744,NA,0.00982547485180916
"Q3 1992",3367,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,721660,NA,0.00982547485180916
"Q4 1992",3352,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,727332,NA,0.00982547485180916
"Q1 1993",3618,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,733952,NA,0.00982547485180916
"Q2 1993",3575,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,745360,NA,0.00982547485180916
"Q3 1993",3236,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,750068,NA,0.00982547485180916
"Q4 1993",3508,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,758768,NA,0.00982547485180916
"Q1 1994",4516,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,772656,NA,0.00982547485180916
"Q2 1994",4873,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,783660,NA,0.00982547485180916
"Q3 1994",5684,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,800784,NA,0.00982547485180916
"Q4 1994",6138,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,810788,NA,0.00982547485180916
"Q1 1995",6199,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,823972,NA,0.00982547485180916
"Q2 1995",5952,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,828856,NA,0.00982547485180916
"Q3 1995",6845,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,832976,NA,0.00982547485180916
"Q4 1995",7047,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,840680,NA,0.00982547485180916
"Q1 1996",6276,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,844208,NA,0.00982547485180916
"Q2 1996",6512,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,852904,NA,0.00982547485180916
"Q3 1996",6427,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,864544,NA,0.00982547485180916
"Q4 1996",7128,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,877680,NA,0.00982547485180916
"Q1 1997",7644,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,891748,NA,0.00982547485180916
"Q2 1997",8853,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,899412,NA,0.00982547485180916
"Q3 1997",8003,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,912564,NA,0.00982547485180916
"Q4 1997",8839,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,923980,NA,0.00982547485180916
"Q1 1998",8127,6.31868131868132,8.79394507192908,7304.41666666667,822.583333333333,1711.61363636364,5359.96875,2767.03125,4051.07421875,934612,0.00869558704574733,0.00982547485180916
"Q2 1998",7954,-10.1547498023269,8.79394507192908,7471.25,482.75,1711.61363636364,5465.15625,2488.84375,4051.07421875,935212,0.00850502345992139,0.00982547485180916
"Q3 1998",7213,-9.87129826315132,8.79394507192908,7501.91666666667,-288.916666666667,1711.61363636364,5553.40625,1659.59375,4051.07421875,938872,0.00768262340340323,0.00982547485180916
"Q4 1998",8297,-6.13191537504243,8.79394507192908,7606.08333333333,690.916666666667,1711.61363636364,5669.03125,2627.96875,4051.07421875,953496,0.00870166209402032,0.00982547485180916
"Q1 1999",7637,-6.02928509905254,8.79394507192908,7719.5,-82.5,1711.61363636364,5783.40625,1853.59375,4051.07421875,975240,0.00783089290841229,0.00982547485180916
"Q2 1999",7874,-1.00578325370883,8.79394507192908,7833,41,1711.61363636364,5922.65625,1951.34375,4051.07421875,994172,0.0079201586848151,0.00982547485180916
"Q3 1999",8232,14.1272702065715,8.79394507192908,7983.41666666667,248.583333333333,1711.61363636364,6067.21875,2164.78125,4051.07421875,1021308,0.00806025214724647,0.00982547485180916
